player,debut_season,contract_length
Blake Griffin,2010,4
James Harden,2010,4
Tyreke Evans,2010,4
Hasheem Thabeet,2010,3
Stephen Curry,2010,4
DeMar DeRozan,2010,4
Jonny Flynn,2010,3
Gerald Henderson,2010,4
Jerryd Bayless,2010,4
Tyler Hansbrough,2010,4
Taj Gibson,2010,4
Austin Daye,2010,4
Robin Lopez,2010,4
Jordan Hill,2010,3
James Johnson,2010,4
Jrue Holiday,2010,4
Ty Lawson,2010,4
Jeff Teague,2010,4
Darren Collison,2010,4
Omri Casspi,2010,4
Serge Ibaka,2010,4
B.J. Mullens,2010,4
Rodrigue Beaubois,2010,4
Wayne Ellington,2010,4
Toney Douglas,2010,4
Earl Clark,2010,2
DeJaun Blair,2010,4
Chase Budinger,2010,4
Sam Young,2010,3
Jermaine Taylor,2010,3
A.J. Price,2010,3
Jodie Meeks,2010,3
Jeff Ayres,2010,3
DeMarre Carroll,2010,2
Marcus Thornton,2010,2
Lester Hudson,2010,2
Danny Green,2010,2
Jonas Jerebko,2010,2
Dante Cunningham,2010,2
Derrick Brown,2010,2
Robert Vaden,2010,1
Taylor Griffin,2010,1
Jon Brockman,2010,1
Wesley Matthews,2010,1
Greg Stiemsma,2010,1
