player,debut_season,contract_length
Kyrie Irving,2012,4
Enes Freedom,2012,4
Tristan Thompson,2012,4
Ricky Rubio,2012,4
Derrick Williams,2012,3
Bismack Biyombo,2012,4
Brandon Knight,2012,4
Kemba Walker,2012,4
Klay Thompson,2012,4
Jan Vesely,2012,3
Alec Burks,2012,4
Markieff Morris,2012,4
Marcus Morris Sr.,2012,4
Kawhi Leonard,2012,4
Nikola Vucevic,2012,4
Iman Shumpert,2012,4
Jimmer Fredette,2012,3
Tobias Harris,2012,4
Kenneth Faried,2012,4
Reggie Jackson,2012,4
Jimmy Butler,2012,4
Cory Joseph,2012,4
Chris Singleton,2012,3
Gustavo Ayon,2012,3
MarShon Brooks,2012,3
Jordan Hamilton,2012,3
Norris Cole,2012,3
Nolan Smith,2012,2
Chandler Parsons,2012,3
Tyler Honeycutt,2012,3
Jeremy Tyler,2012,3
Malcolm Lee,2012,3
Ryan Reid,2012,3
Trey Thompkins,2012,3
Travis Leslie,2012,3
Isaiah Thomas,2012,3
Greg Smith,2012,3
Josh Selby,2012,2
Justin Harper,2012,2
Shelvin Mack,2012,2
Jon Leuer,2012,2
Charles Jenkins,2012,2
Andrew Goudelock,2012,2
E'Twaun Moore,2012,2
Julyan Stone,2012,2
JaJuan Johnson,2012,1
Terrel Harris,2012,1
Cory Higgins,2012,1
Luke Zeller,2012,1
Jerome Jordan,2012,1
Jordan Williams,2012,1
Darius Morris,2012,1
Josh Harrellson,2012,1
LaVoy Allen,2012,1
Vernon Macklin,2012,1
DeAndre Liggins,2012,1
Ivan Johnson,2012,1
Carldell Johnson,2012,1
