player,debut_season,contract_length
Karl-Anthony Towns,2016,4
D'Angelo Russell,2016,4
Kristaps Porzingis,2016,4
Willie Cauley-Stein,2016,4
Jahlil Okafor,2016,3
Emmanuel Mudiay,2016,4
Stanley Johnson,2016,4
Frank Kaminsky,2016,4
Mario Hezonja,2016,3
Nemanja Bjelica,2016,3
Justise Winslow,2016,4
Myles Turner,2016,4
Trey Lyles,2016,4
Devin Booker,2016,4
Cameron Payne,2016,4
Kelly Oubre Jr.,2016,4
Terry Rozier,2016,4
Rashad Vaughn,2016,4
Sam Dekker,2016,4
Jerian Grant,2016,4
Delon Wright,2016,4
Justin Anderson,2016,4
Bobby Portis,2016,4
Rondae Hollis-Jefferson,2016,4
Tyus Jones,2016,4
Jarell Martin,2016,4
Larry Nance Jr.,2016,4
Richaun Holmes,2016,4
Chris McCullough,2016,3
Jordan Mickey,2016,3
Josh Huestis,2016,3
Kevon Looney,2016,3
Joseph Young,2016,3
Rakeem Christmas,2016,3
Walter Tavares,2016,3
Raul Neto,2016,3
Sasha Kaun,2016,2
Anthony Brown,2016,3
Norman Powell,2016,3
Pat Connaughton,2016,3
Darrun Hilliard II,2016,3
Josh Richardson,2016,3
Luis Montero,2016,3
Christian Wood,2016,3
R.J. Hunter,2016,2
Thanasis Antetokounmpo,2016,2
Brandon Dawson,2016,2
Ryan Boatright,2016,2
Robert Upshaw,2016,2
Aaron Harrison,2016,2
Cliff Alexander,2016,2
Corey Walden,2016,2
Michael Frazier,2016,2
Treveon Graham,2016,1
Marcelo Huertas,2016,1
Jaleel Roberts,2016,1
Chris Udofia,2016,1
Briante Weber,2016,1
Michael Cobbins,2016,1
Julian Washburn,2016,1
Erik Atkins,2016,1
Jordan Railey,2016,1
