player,debut_season,contract_length
Anthony Edwards,2021,4
James Wiseman,2021,4
LaMelo Ball,2021,4
Patrick Williams,2021,4
Isaac Okoro,2021,4
Onyeka Okongwu,2021,4
Killian Hayes,2021,4
Obi Toppin,2021,4
Deni Avdija,2021,4
Jalen Smith,2021,4
Devin Vassell,2021,4
Tyrese Haliburton,2021,4
Kira Lewis Jr.,2021,4
Aaron Nesmith,2021,4
Cole Anthony,2021,4
Chuma Okeke,2021,4
Isaiah Stewart,2021,4
Aleksej Pokusevski,2021,4
Josh Green,2021,4
Saddiq Bey,2021,4
Precious Achiuwa,2021,4
Tyrese Maxey,2021,4
Zeke Nnaji,2021,4
RJ Hampton,2021,4
Immanuel Quickley,2021,4
Payton Pritchard,2021,4
Udoka Azubuike,2021,4
Jaden McDaniels,2021,4
Malachi Flynn,2021,4
Desmond Bane,2021,4
Vernon Carey Jr.,2021,3
Xavier Tillman,2021,4
Tyrell Terry,2021,4
Kenyon Martin Jr.,2021,4
Theo Maledon,2021,3
Robert Woodard II,2021,3
Nick Richards,2021,3
Jahmi'us Ramsey,2021,3
Deividas Sirvydis,2021,3
Tre Jones,2021,3
Isaiah Joe,2021,3
Daniel Oturu,2021,2
Jordan Nwora,2021,2
CJ Elleby,2021,2
