player,season,contract_length
Chris Paul,2014,5
Blake Griffin,2014,5
Dwight Howard,2014,4
James Harden,2014,5
Nikola Pekovic,2014,5
Josh Smith,2014,4
Serge Ibaka,2014,4
Andre Iguodala,2014,4
Ty Lawson,2014,4
Tyreke Evans,2014,4
Stephen Curry,2014,4
Jrue Holiday,2014,4
Al Jefferson,2014,3
DeMar DeRozan,2014,4
David West,2014,3
Tiago Splitter,2014,4
Taj Gibson,2014,4
Jeff Teague,2014,4
Jose Calderon,2014,4
J.J. Redick,2014,4
Kevin Martin,2014,4
Carl Landry,2014,4
Jarrett Jack,2014,4
Monta Ellis,2014,3
Andrew Bynum,2014,2
Kyle Korver,2014,4
O.J. Mayo,2014,3
Brandon Jennings,2014,3
Brad Stevens,2014,6
Martell Webster,2014,4
Victor Oladipo,2014,4
Tony Allen,2014,4
Otto Porter Jr.,2014,4
Paul Millsap,2014,2
Rick Carlisle,2014,4
Gerald Henderson,2014,3
J.R. Smith,2014,3
Cody Zeller,2014,4
Anthony Bennett,2014,3
J.J Hickson,2014,3
Alex Len,2014,4
Keith Bogans,2014,3
Zaza Pachulia,2014,3
Chase Budinger,2014,3
Manu Ginobili,2014,2
Nerlens Noel,2014,4
Corey Brewer,2014,3
Timofey Mozgov,2014,3
Ben McLemore,2014,4
Kentavious Caldwell-Pope,2014,4
Trey Burke,2014,4
Marreese Speights,2014,3
C.J. McCollum,2014,4
Matt Barnes,2014,3
Michael Carter-Williams,2014,4
Brandan Wright,2014,2
Steven Adams,2014,4
Kelly Olynyk,2014,4
Randy Foye,2014,3
Earl Clark,2014,2
Shabazz Muhammad,2014,4
Giannis Antetokounmpo,2014,4
Dave Joerger,2014,4
Samuel Dalembert,2014,2
Dennis Schröder,2014,4
Tony Snell,2014,4
Gorgui Dieng,2014,4
Mike Dunleavy,2014,2
Andrei Kirilenko,2014,2
Tyler Hansbrough,2014,2
Carlos Delfino,2014,2
Gary Neal,2014,2
Mason Plumlee,2014,4
Vitor Faverani,2014,3
Dorell Wright,2014,2
Chris Copeland,2014,2
Tim Hardaway Jr.,2014,4
