player,season,contract_length
Anfernee Hardaway,2000,7
Scottie Pippen,2000,5
Ray Allen,2000,6
Zydrunas Ilgauskas,2000,6
Stephon Marbury,2000,6
Allen Iverson,2000,6
Antoine Walker,2000,6
Karl Malone,2000,4
Antonio McDyess,2000,5
Kobe Bryant,2000,5
Erick Dampier,2000,7
Marcus Camby,2000,5
Clifford Robinson,2000,4
Steve Nash,2000,5
Jermaine O'Neal,2000,4
Elton Brand,2000,4
Derek Fisher,2000,5
Baron Davis,2000,4
Lamar Odom,2000,4
Charles Barkley,2000,1
Richard Hamilton,2000,4
Andre Miller,2000,4
Shawn Marion,2000,4
Jason Terry,2000,4
Corey Maggette,2000,4
Metta World Peace,2000,4
James Posey,2000,4
Ron Harper,2000,2
Al Harrington,2000,4
Peja Stojakovic,2000,2
Dickey Simpkins,2000,1
Jud Buechler,2000,1
Scott Burrell,2000,1
Rafer Alston,2000,2
Joe Kleine,2000,1
Bill Wennington,2000,1
Dennis Rodman,2000,1
Brad Miller,2000,1
Jeff Foster,2000,4
