player,season,contract_length
Carmelo Anthony,2015,5
Chris Bosh,2015,5
Paul George,2015,5
John Wall,2015,5
Eric Bledsoe,2015,5
DeMarcus Cousins,2015,4
Gordon Hayward,2015,4
Marcin Gortat,2015,5
Kobe Bryant,2015,2
Kyle Lowry,2015,4
Derrick Favors,2015,4
Chandler Parsons,2015,3
Larry Sanders,2015,4
LeBron James,2015,2
Andrew Bogut,2015,3
Stan Van Gundy,2015,5
Trevor Ariza,2015,4
Channing Frye,2015,4
Avery Bradley,2015,4
Dwyane Wade,2015,2
Boris Diaw,2015,4
Isaiah Thomas,2015,4
Dirk Nowitzki,2015,3
Derek Fisher,2015,5
Andrew Wiggins,2015,4
Josh McRoberts,2015,4
Spencer Hawes,2015,4
Pau Gasol,2015,3
Jabari Parker,2015,3
Nick Young,2015,4
David Blatt,2015,4
Joel Embiid,2015,4
Luol Deng,2015,2
Jodie Meeks,2015,3
Patrick Patterson,2015,3
Aaron Gordon,2015,4
Lance Stephenson,2015,2
C.J. Miles,2015,4
Byron Scott,2015,4
Shaun Livingston,2015,3
Nikola Mirotic,2015,3
Devin Harris,2015,4
P.J. Tucker,2015,3
Dante Exum,2015,4
Darren Collison,2015,3
Marcus Smart,2015,4
Marvin Williams,2015,2
Quincy Pondexter,2015,4
Julius Randle,2015,4
Kris Humphries,2015,3
Patty Mills,2015,3
Greivis Vasquez,2015,2
Nik Stauskas,2015,4
Vince Carter,2015,3
Thabo Sefolosha,2015,3
Furkan Aldemir,2015,4
Noah Vonleh,2015,4
Dwane Casey,2015,3
Elfrid Payton,2015,4
Paul Pierce,2015,2
Doug McDermott,2015,4
Chris Andersen,2015,2
Bojan Bogdanovic,2015,3
Anthony Morrow,2015,3
Mike Scott,2015,3
Chris Kaman,2015,2
Trevor Booker,2015,2
Zach LaVine,2015,4
Kostas Papanikolaou,2015,2
T.J. Warren,2015,4
Ben Gordon,2015,2
Caron Butler,2015,2
Jordan Hill,2015,1
Lucas Nogueira,2015,4
Jusuf Nurkic,2015,4
Mario Chalmers,2015,2
Gary Harris,2015,4
Shelvin Mack,2015,3
Bruno Caboclo,2015,4
Evan Turner,2015,2
Rodney Hood,2015,4
Shabazz Napier,2015,4
Clint Capela,2015,4
D.J. Augustin,2015,2
Jerryd Bayless,2015,2
DeJaun Blair,2015,3
Anthony Tolliver,2015,2
Adreian Payne,2015,3
Kirk Hinrich,2015,2
Mike Miller,2015,2
Udonis Haslem,2015,2
Jameer Nelson,2015,2
Brian Roberts,2015,2
Luke Ridnour,2015,2
Greg Monroe,2015,1
James Young,2015,3
Joffrey Lauvergne,2015,3
James Johnson,2015,2
Tyler Ennis,2015,3
Robert Covington,2015,4
Mitch McGary,2015,3
Malcolm Thomas,2015,4
Danny Granger,2015,2
Jordan Farmar,2015,2
Ramon Sessions,2015,2
Steve Blake,2015,2
Beno Udrih,2015,2
Jerami Grant,2015,4
Jordan Adams,2015,3
Malcolm Thomas,2015,4
Kent Bazemore,2015,2
Frank Vogel,2015,2
Kevin Seraphin,2015,1
Grant Jerrett,2015,4
Mo Williams,2015,1
C.J. Wilcox,2015,3
Kyle Anderson,2015,3
Zoran Dragic,2015,2
Ryan Kelly,2015,2
Jason Smith,2015,1
Carlos Boozer,2015,1
Joe Harris,2015,3
Roy Devyn Marble,2015,3
Damien Inglis,2015,3
Alan Anderson,2015,2
Aaron Gray,2015,2
Shawne Williams,2015,2
Jarnell Stokes,2015,3
Spencer Dinwiddie,2015,3
Johnny O'Bryant,2015,3
Cartier Martin,2015,2
Brandon Rush,2015,2
P.J. Hairston,2015,2
Drew Gordon,2015,3
Erick Green,2015,3
James Ennis III,2015,3
Eric Griffin,2015,3
Dee Bost,2015,3
Nick Johnson,2015,3
Russ Smith,2015,3
Cameron Bairstow,2015,3
Eric Moreland,2015,3
Jack Cooley,2015,3
Ronald Roberts,2015,3
JaKarr Sampson,2015,3
Damjan Rudez,2015,2
Christapher Johnson,2015,3
Garrett Temple,2015,2
Ed Davis,2015,2
Josh Smith,2015,1
Aron Baynes,2015,1
Elijah Millsap,2015,3
Elton Brand,2015,1
John Salmons,2015,1
Toure Murry,2015,2
Joey Dorsey,2015,2
E'Twaun Moore,2015,2
JaMychal Green,2015,3
Bryce Cotton,2015,3
Ivan Johnson,2015,2
Darius Miller,2015,2
Diante Garrett,2015,2
Jack Cooley,2015,3
