player,season,contract_length
Anthony Davis,2021,5
Ben Simmons,2021,5
Brandon Ingram,2021,5
Jamal Murray,2021,5
Pascal Siakam,2021,4
Gordon Hayward,2021,4
Jaylen Brown,2021,4
Draymond Green,2021,4
Buddy Hield,2021,4
Fred VanVleet,2021,4
Davis Bertans,2021,5
Eric Gordon,2021,4
Joe Harris,2021,4
Domantas Sabonis,2021,4
Bogdan Bogdanovic,2021,4
Marcus Morris Sr.,2021,4
Dejounte Murray,2021,4
Danilo Gallinari,2021,3
Jerami Grant,2021,3
Malik Beasley,2021,4
Caris LeVert,2021,3
Jordan Clarkson,2021,4
Anthony Edwards,2021,4
Christian Wood,2021,3
Doc Rivers,2021,5
James Wiseman,2021,4
Kentavious Caldwell-Pope,2021,3
Royce O'Neale,2021,4
LaMelo Ball,2021,4
Dillon Brooks,2021,3
De'Anthony Melton,2021,4
Dwight Powell,2021,3
Patrick Williams,2021,4
Nick Nurse,2021,4
Cedi Osman,2021,4
Kyle Lowry,2021,1
Andre Iguodala,2021,2
Derrick Favors,2021,3
Jae Crowder,2021,3
Isaac Okoro,2021,4
Dario Saric,2021,3
Onyeka Okongwu,2021,4
Jakob Poeltl,2021,3
Taurean Prince,2021,2
Mason Plumlee,2021,3
Killian Hayes,2021,4
Billy Donovan,2021,4
Obi Toppin,2021,4
Juancho Hernangomez,2021,3
D.J. Augustin,2021,3
Rodney Hood,2021,2
Deni Avdija,2021,4
Jalen Smith,2021,4
Serge Ibaka,2021,2
Tristan Thompson,2021,2
Montrezl Harrell,2021,2
Derrick Jones Jr.,2021,2
Devin Vassell,2021,4
Justin Holiday,2021,3
Goran Dragic,2021,1
Tyrese Haliburton,2021,4
Kira Lewis Jr.,2021,4
Aaron Nesmith,2021,4
Pat Connaughton,2021,3
Cole Anthony,2021,4
Chuma Okeke,2021,4
Isaiah Stewart,2021,4
Rajon Rondo,2021,2
JaMychal Green,2021,2
Aron Baynes,2021,2
Aleksej Pokusevski,2021,4
Josh Green,2021,4
Chris Boucher,2021,2
Saddiq Bey,2021,4
Precious Achiuwa,2021,4
Tyrese Maxey,2021,4
Zeke Nnaji,2021,4
Jevon Carter,2021,3
RJ Hampton,2021,4
Immanuel Quickley,2021,4
Payton Pritchard,2021,4
Udoka Azubuike,2021,4
Jaden McDaniels,2021,4
Malachi Flynn,2021,4
Paul Millsap,2021,1
Kris Dunn,2021,2
Austin Rivers,2021,3
Desmond Bane,2021,4
Josh Jackson,2021,2
Trey Burke,2021,3
Meyers Leonard,2021,1
John Konchar,2021,4
Bobby Portis,2021,2
Robin Lopez,2021,1
Vernon Carey Jr.,2021,3
Xavier Tillman,2021,4
Tyrell Terry,2021,4
Facundo Campazzo,2021,2
Kenyon Martin Jr.,2021,4
Alec Burks,2021,1
Michael Carter-Williams,2021,2
Kenrich Williams,2021,3
Theo Maledon,2021,3
Jontay Porter,2021,3
Avery Bradley,2021,1
Joshia Gray,2021,3
Chimezie Metu,2021,3
Drew Eubanks,2021,3
Marc Gasol,2021,2
Nerlens Noel,2021,1
Zylan Cheatham,2021,3
Robert Woodard II,2021,3
Bryn Forbes,2021,2
Garrett Temple,2021,1
Elfrid Payton,2021,1
Denzel Valentine,2021,1
Nick Richards,2021,3
Jahmi'us Ramsey,2021,3
Bol Bol,2021,2
Deividas Sirvydis,2021,3
Tre Jones,2021,3
Isaiah Joe,2021,3
Willie Cauley-Stein,2021,1
Gary Clark,2021,2
Jahlil Okafor,2021,2
Jerian Grant,2021,2
Justin Anderson,2021,2
Damyean Dotson,2021,2
Henry Ellenson,2021,2
DeAndre' Bembry,2021,2
Damian Jones,2021,2
Wesley Matthews,2021,1
Maurice Harkless,2021,1
Frank Jackson,2021,2
Wesley Iwundu,2021,2
Dwayne Bacon,2021,2
Bismack Biyombo,2021,1
Wenyen Gabriel,2021,2
Isaiah Hartenstein,2021,2
James Ennis III,2021,1
Paul Watson,2021,2
Oshae Brissett,2021,2
Kelan Martin,2021,2
Patrick Patterson,2021,1
Jae’Sean Tate,2021,2
Jared Dudley,2021,1
Jose Barea,2021,1
Carmelo Anthony,2021,1
Udonis Haslem,2021,1
Dwight Howard,2021,1
Jeff Green,2021,1
Gerald Green,2021,1
Courtney Lee,2021,1
Nicolas Batum,2021,1
Jeff Teague,2021,1
Wayne Ellington,2021,1
Daniel Oturu,2021,2
Elijah Hughes,2021,2
Jordan Nwora,2021,2
CJ Elleby,2021,2
Sam Merrill,2021,2
Anthony Gill,2021,2
DeMarcus Cousins,2021,1
Markieff Morris,2021,1
Reggie Jackson,2021,1
E'Twaun Moore,2021,1
Hassan Whiteside,2021,1
Michael Kidd-Gilchrist,2021,1
Kent Bazemore,2021,1
Alex Len,2021,1
Brad Wanamaker,2021,1
Solomon Hill,2021,1
Matthew Dellavedova,2021,1
Noah Vonleh,2021,1
Bruno Caboclo,2021,1
Glenn Robinson III,2021,1
Tyler Johnson,2021,1
Langston Galloway,2021,1
Nik Stauskas,2021,1
Raul Neto,2021,1
JaKarr Sampson,2021,1
Frank Kaminsky,2021,1
Rondae Hollis-Jefferson,2021,1
James Young,2021,1
Willy Hernangomez,2021,1
Treveon Graham,2021,1
Quinn Cook,2021,1
Thon Maker,2021,1
Skal Labissiere,2021,1
Yogi Ferrell,2021,1
Malcolm Miller,2021,1
Chasson Randle,2021,1
Shaquille Harrison,2021,1
Justin Patton,2021,1
Harry Giles,2021,1
Frank Mason III,2021,1
Jordan Bell,2021,1
Sterling Brown,2021,1
Sindarius Thornwell,2021,1
Johnathan Motley,2021,1
Torrey Craig,2021,1
Naz Mitrou-Long,2021,1
Axel Toupane,2021,1
Jarrod Uthoff,2021,1
Ike Anigbogu,2021,1
Devin Robinson,2021,1
Derrick Walton Jr.,2021,1
Antonius Cleveland,2021,1
Amile Jefferson,2021,1
Joshia Gray,2021,1
Zhaire Smith,2021,1
Élie Okobo,2021,1
Melvin Frazier Jr.,2021,1
Khyri Thomas,2021,1
Alize Johnson,2021,1
Ryan Broekhoff,2021,1
Yuta Watanabe,2021,1
B.J. Johnson,2021,1
Chris Chiozza,2021,1
Cam Reynolds,2021,1
Levi Randolph,2021,1
Andrew White III,2021,1
London Perrantes,2021,1
Vince Edwards,2021,1
Norvel Pelle,2021,1
Justin Wright-Foreman,2021,1
Dewan Hernandez,2021,1
Jaylen Hoard,2021,1
Zach Norvell Jr.,2021,1
Charlie Brown Jr.,2021,1
Louis King,2021,1
Robert Franks,2021,1
Max Strus,2021,1
Ky Bowman,2021,1
Zylan Cheatham,2021,1
Josh Reaves,2021,1
DaQuan Jeffries,2021,1
Tyler Cook,2021,1
Rayjon Tucker,2021,1
Marques Bolden,2021,1
Trey Mourning,2021,1
Elijah Pemberton,2021,1
Jeff Dowtin,2021,1
Christian Vital,2021,1
Tre Scott,2021,1
Tre Kelley,2021,1
Amida Brimah,2021,1
Tony Carr,2021,1
Trevon Bluiett,2021,1
Tyler Hall,2021,1
Kaiser Gates,2021,1
Justin Robinson,2021,1
Bryce Brown,2021,1
Simisola Shittu,2021,1
Ahmad Caver,2021,1
Devin Cannady,2021,1
Shaq Buchanan,2021,1
Bennie Boatwright,2021,1
Reggie Perry,2021,1
Omer Yurtseven,2021,1
Zavier Simpson,2021,1
Freddie Gillespie,2021,1
Jordan Ford,2021,1
Jahlil Tripp,2021,1
Trevelin Queen,2021,1
Rayshaun Hammonds,2021,1
Tres Tinkle,2021,1
Tres Tinkle,2021,1
Malik Fitts,2021,1
Quinton Rose,2021,1
Devonte Patterson,2021,1
Caleb Homesley,2021,1
EJ Montgomery,2021,1
Breein Tyree,2021,1
Breein Tyree,2021,1
Paul Eboua,2021,1
Anthony Lamb,2021,1
Dwayne Sutton,2021,1
Kevon Harris,2021,1
Jake Toolson,2021,1
Jon Teske,2021,1
Charles Matthews,2021,1
Myles Powell,2021,1
Marlon Taylor,2021,1
Yoeli Childs,2021,1
Romaro Gill,2021,1
Kaleb Wesson,2021,1
Nate Sestina,2021,1
Jordan Bowden,2021,1
Brodric Thomas,2021,1
Javin DeLaurier,2021,1
Xavier Sneed,2021,1
Kahlil Whitney,2021,1
Keandre Cook,2021,1
Lamine Diane,2021,1
LiAngelo Ball,2021,1
Ade Murkey,2021,1
