player,season,contract_length
Troy Williams,2020,1
David Stockton,2020,1
Devin Robinson,2020,1
C.J. Williams,2020,1
Demetrius Jackson,2020,1
Kobi Simmons,2020,1
Davon Reed,2020,1
Walter Lemon Jr.,2020,1
Reggie Hearn,2020,1
Brad Wanamaker,2020,1
Jarrod Uthoff,2020,1
Daryl Macon,2020,1
Marcus Derrickson,2020,1
Donte Grantham,2020,1
Thomas Welsh,2020,1
Jaron Blossomgame,2020,1
Isaac Humphries,2020,1
Vince Edwards,2020,1
Jermerrio Jones,2020,1
Justin Bibbs,2020,1
Haywood Highsmith,2020,1
Chris Chiozza,2020,1
Theo Pinson,2020,1
Wenyen Gabriel,2020,1
B.J. Johnson,2020,1
Ray Spalding,2020,1
Milton Doyle,2020,1
Myke Henry,2020,1
Yante Maten,2020,1
DeVaughn Akoon-Purcell,2020,1
Jordan Sibert,2020,1
Daniel Hamilton,2020,1
Jaylen Adams,2020,1
Joe Chealey,2020,1
Derrick Walton Jr.,2020,1
J.P. Macura,2020,1
Troy Caupain,2020,1
Deng Adel,2020,1
London Perrantes,2020,1
Kyle Collinsworth,2020,1
Dusty Hannahs,2020,1
Johnathan Williams,2020,1
Galen Robinson Jr,2020,1
Kenny Williams,2020,1
Ahmad Caver,2020,1
Armoni Brooks,2020,1
Devin Cannady,2020,1
Mychal Mulder,2020,1
C.J. Massinburg,2020,1
Yudai Baba,2020,1
Anzejs Pasecniks,2020,1
Kenny Wooten,2020,1
B.J. Taylor,2020,1
Oshae Brissett,2020,1
Skyler Flatten,2020,1
Bubu Palo,2020,1
Jakeenan Gant,2020,1
Tahjere McCall,2020,1
Matt Morgan,2020,1
Stephan Hicks,2020,1
Dikembe Dixson,2020,1
Matur Maker,2020,1
Isaac Haas,2020,1
Mike Scott,2020,1
Chad Brown,2020,1
Trevor Lacey,2020,1
Zak Irvin,2020,1
Craig Sword,2020,1
Tre'Shawn Thurman,2020,1
Shaq Buchanan,2020,1
Aric Holman,2020,1
Bennie Boatwright,2020,1
Marcus Allen,2020,1
Kenny Gabriel,2020,1
Devontae Cacok,2020,1
Isaiah Miles,2020,1
Norense Odiase,2020,1
Hassani Gravett,2020,1
Eric Mika,2020,1
Nick Zeisloft,2020,1
Jeremiah Martin,2020,1
Chris Silva,2020,1
Kadeem Jack,2020,1
Julian Washburn,2020,1
Shizz Alston,2020,1
Kellen Dunham,2020,1
Terry Harris,2020,1
Jalen Adams,2020,1
Jared Brownridge,2020,1
Tacko Fall,2020,1
Javon Bess,2020,1
Mark Ogden,2020,1
Perrion Callandret,2020,1
Sedrick Barefield,2020,1
Luke Maye,2020,1
Andre Dawkins,2020,1
Aaron Epps,2020,1
Dorian Pickens,2020,1
