player,season,contract_length
Kevin Garnett,1999,6
Rasheed Wallace,1999,6
Theo Ratliff,1999,7
Michael Finley,1999,5
Jerry Stackhouse,1999,7
Jason Caffey,1999,7
Luc Longley,1999,6
Brent Barry,1999,6
Mike Bibby,1999,4
Steve Kerr,1999,5
Antawn Jamison,1999,4
Vince Carter,1999,4
Larry Hughes,1999,4
Dirk Nowitzki,1999,4
Paul Pierce,1999,4
Kurt Thomas,1999,2
Clifford Robinson,1999,1
Nazr Mohammed,1999,3
Ben Wallace,1999,2
Dennis Rodman,1999,1
Charles Barkley,1999,1
Bill Wennington,1999,1
Scott Burrell,1999,1
Joe Kleine,1999,1
Jud Buechler,1999,1
Rashard Lewis,1999,2
Dickey Simpkins,1999,1
