player,season,contract_length
Stephen Curry,2018,5
Blake Griffin,2018,5
Gordon Hayward,2018,4
Jrue Holiday,2018,5
C.J. McCollum,2018,4
Otto Porter Jr.,2018,4
Rudy Gobert,2018,4
Kyle Lowry,2018,3
Steven Adams,2018,4
Giannis Antetokounmpo,2018,4
Paul Millsap,2018,3
Victor Oladipo,2018,4
Tim Hardaway Jr.,2018,4
Dennis Schröder,2018,4
Serge Ibaka,2018,3
Danilo Gallinari,2018,3
Gorgui Dieng,2018,4
George Hill,2018,3
Jeff Teague,2018,3
Cody Zeller,2018,4
Dion Waiters,2018,4
Joe Ingles,2018,4
Kevin Durant,2018,2
Kelly Olynyk,2018,4
Patty Mills,2018,4
Pau Gasol,2018,3
Andre Iguodala,2018,3
Tony Snell,2018,4
James Johnson,2018,3
Mason Plumlee,2018,3
Markelle Fultz,2018,4
Rick Carlisle,2018,5
Lonzo Ball,2018,4
Cristiano Felicio,2018,4
P.J. Tucker,2018,4
Jayson Tatum,2018,4
Andre Roberson,2018,3
Taj Gibson,2018,2
Josh Jackson,2018,4
Bogdan Bogdanovic,2018,3
C.J. Miles,2018,3
De'Aaron Fox,2018,4
Zach Randolph,2018,2
Shaun Livingston,2018,3
J.J. Redick,2018,1
Jonathan Isaac,2018,4
Kyle Korver,2018,3
Bojan Bogdanovic,2018,2
Langston Galloway,2018,3
Lauri Markkanen,2018,4
Darren Collison,2018,2
Jonathon Simmons,2018,3
Frank Ntilikina,2018,4
Kentavious Caldwell-Pope,2018,1
Rudy Gay,2018,2
Dennis Smith Jr.,2018,4
Alan Williams,2018,3
Patrick Patterson,2018,3
Zach Collins,2018,4
JaMychal Green,2018,2
Malik Monk,2018,4
Luke Kennard,2018,4
Nikola Mirotic,2018,2
Terry Stotts,2018,3
Donovan Mitchell,2018,4
Dewayne Dedmon,2018,2
Bam Adebayo,2018,4
Justin Jackson,2018,4
Justin Patton,2018,4
Guerschon Yabusele,2018,4
Milos Teodosic,2018,2
DJ Wilson,2018,4
Shelvin Mack,2018,2
TJ Leaf,2018,4
John Collins,2018,4
Amir Johnson,2018,1
Nene Hilario,2018,3
Ben McLemore,2018,2
Harry Giles,2018,4
Thabo Sefolosha,2018,2
Terrance Ferguson,2018,4
Jarrett Allen,2018,4
Mike Muscala,2018,2
Kenny Atkinson,2018,4
Ante Zizic,2018,4
OG Anunoby,2018,4
Tyler Lydon,2018,4
Justin Holiday,2018,2
Furkan Korkmaz,2018,4
Caleb Swanigan,2018,4
Jamal Crawford,2018,2
Ron Baker,2018,2
Kyle Kuzma,2018,4
Tony Bradley,2018,4
Derrick White,2018,4
Josh Hart,2018,4
Cedi Osman,2018,3
Jonas Jerebko,2018,2
Vince Carter,2018,1
Jodie Meeks,2018,2
Ekpe Udoh,2018,2
Sean Kilpatrick,2018,3
Ersan Ilyasova,2018,1
Zhou Qi,2018,4
Davon Reed,2018,4
Eric Moreland,2018,3
Nick Young,2018,1
Dirk Nowitzki,2018,1
Manu Ginobili,2018,2
Greg Monroe,2018,1
Reggie Bullock,2018,2
Troy Williams,2018,3
Aron Baynes,2018,1
Darius Miller,2018,2
Semi Ojeleye,2018,3
Alex Len,2018,1
Nerlens Noel,2018,1
Frank Mason III,2018,3
Abdel Nader,2018,3
Damyean Dotson,2018,3
Wesley Iwundu,2018,3
Ivan Rabb,2018,3
