player,season,contract_length
Kevin Durant,2012,5
Kobe Bryant,2012,3
Zach Randolph,2012,4
Nene Hilario,2012,5
Al Horford,2012,5
Joakim Noah,2012,5
Marc Gasol,2012,4
Pau Gasol,2012,3
Tyson Chandler,2012,4
Tony Parker,2012,4
DeAndre Jordan,2012,4
Thaddeus Young,2012,5
Mike Conley,2012,5
Arron Afflalo,2012,5
Travis Outlaw,2012,5
Doc Rivers,2012,5
Wilson Chandler,2012,5
Marcus Thornton,2012,4
Tayshaun Prince,2012,4
Glen Davis,2012,4
Rodney Stuckey,2012,3
Jason Richardson,2012,4
Caron Butler,2012,3
Kyrie Irving,2012,4
Chuck Hayes,2012,4
Jared Dudley,2012,5
David West,2012,2
Luc Richard Mbah a Moute,2012,4
Enes Freedom,2012,4
Jose Barea,2012,4
Jonas Jerebko,2012,4
Tristan Thompson,2012,4
Ricky Rubio,2012,4
Derrick Williams,2012,3
Samuel Dalembert,2012,2
Bismack Biyombo,2012,4
Travis Outlaw,2012,4
Mario Chalmers,2012,3
Brandon Knight,2012,4
Nick Collison,2012,4
Kemba Walker,2012,4
Richard Hamilton,2012,2
Klay Thompson,2012,4
Jan Vesely,2012,3
Shane Battier,2012,3
Alec Burks,2012,4
Vince Carter,2012,3
Markieff Morris,2012,4
Carl Landry,2012,1
Jeff Green,2012,1
Marcus Morris Sr.,2012,4
Kawhi Leonard,2012,4
Kris Humphries,2012,1
Nikola Vucevic,2012,4
Iman Shumpert,2012,4
Mike Dunleavy,2012,2
Jason Smith,2012,3
Jimmer Fredette,2012,3
Tobias Harris,2012,4
Kwame Brown,2012,1
Grant Hill,2012,1
Daequan Cook,2012,2
Dante Cunningham,2012,3
Kenneth Faried,2012,4
Josh McRoberts,2012,2
Reggie Jackson,2012,4
Jimmy Butler,2012,4
Cory Joseph,2012,4
Reggie Williams,2012,2
Jamal Crawford,2012,2
Chris Singleton,2012,3
James Jones,2012,3
Gustavo Ayon,2012,3
Spencer Hawes,2012,1
Earl Watson,2012,2
Nazr Mohammed,2012,1
Nick Young,2012,1
Shannon Brown,2012,1
MarShon Brooks,2012,3
Jordan Hamilton,2012,3
Norris Cole,2012,3
Sebastian Telfair,2012,2
Jeff Foster,2012,1
Shawne Williams,2012,1
Chris Wilcox,2012,1
Jeff Ayres,2012,2
Gary Forbes,2012,2
Kurt Thomas,2012,2
Nolan Smith,2012,2
Jamaal Tinsley,2012,2
Aaron Gray,2012,1
Kenyon Martin,2012,1
DeShawn Stevenson,2012,1
Chandler Parsons,2012,3
Tyler Honeycutt,2012,3
Rasual Butler,2012,1
Earl Clark,2012,2
J.R. Smith,2012,1
Derek Fisher,2012,1
Jeremy Tyler,2012,3
Anthony Parker,2012,1
Josh Howard,2012,1
Malcolm Lee,2012,3
Ryan Reid,2012,3
Trey Thompkins,2012,3
Travis Leslie,2012,3
Isaiah Thomas,2012,3
Greg Smith,2012,3
Greg Smith,2012,3
Chauncey Billups,2012,1
Jermey Pargo,2012,2
Brandan Wright,2012,2
Sean Williams,2012,2
DaJuan Summers,2012,2
Trey Johnson,2012,2
Jeff Adrien,2012,2
Greg Oden,2012,1
DeMarre Carroll,2012,2
Brian Cardinal,2012,1
Mike Bibby,2012,1
Brian Scalabrine,2012,1
Juwan Howard,2012,1
Jamaal Magloire,2012,1
Jerry Stackhouse,2012,1
Tracy McGrady,2012,1
Troy Murphy,2012,1
Vladimir Radmanovic,2012,1
Tony Battie,2012,1
Willie Green,2012,1
Jason Collins,2012,1
Josh Selby,2012,2
Michael Redd,2012,1
Hamed Haddadi,2012,1
Justin Harper,2012,2
Shelvin Mack,2012,2
Jon Leuer,2012,2
Charles Jenkins,2012,2
Andrew Goudelock,2012,2
E'Twaun Moore,2012,2
Julyan Stone,2012,2
Rasual Butler,2012,1
Mike James,2012,1
Eddy Curry,2012,1
Jared Jeffries,2012,1
Reggie Evans,2012,1
Jannero Pargo,2012,1
Sasha Pavlovic,2012,1
Mickael Pietrus,2012,1
Marquis Daniels,2012,1
Maurice Evans,2012,1
Jason Kapono,2012,1
Delonte West,2012,1
T.J. Ford,2012,1
Damien Wilkins,2012,1
John Lucas III,2012,2
Jamorio Moon,2012,2
Nate Robinson,2012,1
Ronnie Price,2012,1
JaJuan Johnson,2012,1
Solomon Jones,2012,1
Steve Novak,2012,1
Ike Diogu,2012,1
Craig Smith,2012,1
Von Wafer,2012,1
Shelden Williams,2012,1
Danny Green,2012,1
Larry Owens,2012,1
Sean Williams,2012,2
Dominic McGuire,2012,1
Francisco Elson,2012,1
Derrick Brown,2012,1
DeMarre Carroll,2012,1
Josh Davis,2012,1
Keith Bogans,2012,1
Magnum Rolle,2012,2
D.J. Kennedy,2012,2
Yi Jianlian,2012,1
Darington Hobson,2012,1
Larry Owens,2012,1
Greg Stiemsma,2012,1
Joel Przybilla,2012,1
Mike James,2012,1
Ishmael Smith,2012,1
Terrel Harris,2012,1
Carldell Johnson,2012,1
Courtney Fortson,2012,1
Cory Higgins,2012,1
Luke Zeller,2012,1
Ron Howard,2012,1
Jerome Jordan,2012,1
Jordan Williams,2012,1
Darius Morris,2012,1
Josh Harrellson,2012,1
LaVoy Allen,2012,1
Vernon Macklin,2012,1
DeAndre Liggins,2012,1
Chris Wright,2012,1
Mickell Gladness,2012,1
Ivan Johnson,2012,1
Donald Sloan,2012,1
Kyrylo Fesenko,2012,1
Andre Emmett,2012,1
Larry Hughes,2012,1
Gilbert Arenas,2012,1
Carlos Arroyo,2012,1
Malcolm Thomas,2012,1
Walker Russell Jr,2012,1
Bobby Simmons,2012,1
Boris Diaw,2012,1
Gerald Green,2012,1
Kelenna Azubuike,2012,1
Patty Mills,2012,1
Ryan Hollins,2012,1
Mike James,2012,1
Manny Harris,2012,1
Terrence Williams,2012,1
Carldell Johnson,2012,1
Lance Thomas,2012,24
Earl Boykins,2012,1
Mikki Moore,2012,1
Courtney Fortson,2012,1
Mickell Gladness,2012,1
James Singleton,2012,1
Alan Anderson,2012,1
Dan Gadzuric,2012,1
Diamon Simpson,2012,1
Lester Hudson,2012,1
Blake Ahearn,2012,1
Edwin Ubiles,2012,10
Armon Johnson,2012,1
Xavier Silas,2012,1
Morris Almond,2012,1
