player,season,contract_length
Russell Westbrook,2019,5
Chris Paul,2019,4
LeBron James,2019,4
Andrew Wiggins,2019,5
Joel Embiid,2019,5
Nikola Jokic,2019,5
Paul George,2019,4
Clint Capela,2019,5
Gary Harris,2019,4
Aaron Gordon,2019,4
Zach LaVine,2019,4
Kevin Durant,2019,2
Will Barton,2019,4
Marcus Smart,2019,4
Jusuf Nurkic,2019,4
T.J. Warren,2019,4
Robert Covington,2019,4
Josh Richardson,2019,4
Norman Powell,2019,4
Deandre Ayton,2019,4
Derrick Favors,2019,2
Kyle Anderson,2019,4
Marvin Bagley III,2019,4
Dwane Casey,2019,5
Dante Exum,2019,3
Luka Doncic,2019,4
Jaren Jackson Jr.,2019,4
Jerami Grant,2019,3
Trae Young,2019,4
Avery Bradley,2019,2
Mohamed Bamba,2019,4
Louis Williams,2019,3
DeAndre Jordan,2019,1
Wendell Carter Jr.,2019,4
Doug McDermott,2019,3
Ersan Ilyasova,2019,3
Nemanja Bjelica,2019,3
Collin Sexton,2019,4
Jabari Parker,2019,1
Kevin Knox,2019,4
Fred VanVleet,2019,2
Julius Randle,2019,2
Mikal Bridges,2019,4
Shai Gilgeous-Alexander,2019,4
Miles Bridges,2019,4
Joe Harris,2019,2
Jerome Robinson,2019,4
Michael Porter Jr.,2019,4
Trevor Ariza,2019,1
Troy Brown Jr.,2019,4
Davis Bertans,2019,2
Zhaire Smith,2019,4
Donte DiVincenzo,2019,4
Lonnie Walker IV,2019,4
Tyreke Evans,2019,1
J.J. Redick,2019,1
Marco Belinelli,2019,2
Kentavious Caldwell-Pope,2019,1
Montrezl Harrell,2019,2
Kevin Huerter,2019,4
Josh Okogie,2019,4
Dwight Howard,2019,2
Aron Baynes,2019,2
Aaron Holiday,2019,4
Anfernee Simons,2019,4
Rudy Gay,2019,1
Tony Parker,2019,2
Moritz Wagner,2019,4
Landry Shamet,2019,4
Robert Williams III,2019,4
Jacob Evans,2019,4
Dzanan Musa,2019,4
Omari Spellman,2019,4
Rajon Rondo,2019,1
Alex Len,2019,2
Grayson Allen,2019,4
Jonah Bolden,2019,4
Allonzo Trier,2019,2
Chandler Hutchison,2019,4
Mario Hezonja,2019,1
Wayne Ellington,2019,1
Yogi Ferrell,2019,2
Jalen Brunson,2019,4
Patrick McCaw,2019,2
Bryn Forbes,2019,2
Isaiah Briscoe,2019,4
Anthony Tolliver,2019,1
Ray Spalding,2019,4
DeMarcus Cousins,2019,1
Rodions Kurucs,2019,3
Dirk Nowitzki,2019,1
Georges Niang,2019,3
Mitchell Robinson,2019,3
Monte Morris,2019,3
Sviatoslav Mykhailiuk,2019,3
Ed Davis,2019,1
Lance Stephenson,2019,1
Kyle O'Quinn,2019,1
Raul Neto,2019,2
Luc Richard Mbah a Moute,2019,1
Mike Scott,2019,1
Élie Okobo,2019,3
Isaac Bonga,2019,3
Glenn Robinson III,2019,1
Devonte' Graham,2019,3
Torrey Craig,2019,2
Hamidou Diallo,2019,3
Keita Bates-Diop,2019,3
Isaiah Hartenstein,2019,3
Gary Trent Jr.,2019,3
Khyri Thomas,2019,3
Jarred Vanderbilt,2019,3
Bruce Brown Jr.,2019,3
Chimezie Metu,2019,3
Shabazz Napier,2019,2
Nerlens Noel,2019,2
Gary Clark,2019,3
Michael Beasley,2019,1
Rodney Hood,2019,1
Darius Morris,2019,2
James Ennis III,2019,2
Brook Lopez,2019,1
Pat Connaughton,2019,2
Jahlil Okafor,2019,2
Chris Chiozza,2019,3
Treveon Graham,2019,2
Christian Wood,2019,2
Derrick Jones Jr.,2019,2
Elfrid Payton,2019,1
Tyrone Wallace,2019,2
James Nunnally,2019,2
Jabari Bird,2019,2
Antonio Blakeney,2019,2
Alfonzo McKinnie,2019,2
Shaquille Harrison,2019,2
Seth Curry,2019,1
Dante Cunningham,2019,1
Melvin Frazier Jr.,2019,2
Zaza Pachulia,2019,1
Raymond Felton,2019,1
Emeka Okafor,2019,1
Luol Deng,2019,1
Carmelo Anthony,2019,1
Amir Johnson,2019,1
Udonis Haslem,2019,1
Dwyane Wade,2019,1
Vince Carter,2019,1
Devin Harris,2019,1
Jamal Crawford,2019,1
Channing Frye,2019,1
Jarrett Jack,2019,1
Jeff Green,2019,1
Jose Calderon,2019,1
Derrick Rose,2019,1
Gerald Green,2019,1
JaVale McGee,2019,1
Wayne Ellington,2019,1
Bruno Caboclo,2019,2
De'Anthony Melton,2019,2
Kenrich Williams,2019,2
Jevon Carter,2019,2
Alize Johnson,2019,2
Ryan Broekhoff,2019,2
Garlon Green,2019,2
Jonas Jerebko,2019,1
Omri Casspi,2019,1
Greg Monroe,2019,1
Cole Aldrich,2019,1
Quincy Pondexter,2019,1
Tyson Chandler,2019,1
Edmond Sumner,2019,2
Malcolm Miller,2019,2
Chris Boucher,2019,2
Shelvin Mack,2019,1
Isaiah Thomas,2019,1
Corey Brewer,2019,1
Henry Ellenson,2019,2
LaVoy Allen,2019,1
DeAndre Liggins,2019,1
Donald Sloan,2019,1
Thomas Robinson,2019,1
John Jenkins,2019,1
Michael Carter-Williams,2019,1
Shabazz Muhammad,2019,1
Isaiah Canaan,2019,1
Ian Clark,2019,1
Joakim Noah,2019,1
Walter Lemon Jr.,2019,2
Jaylen Adams,2019,2
Xavier Silas,2019,1
Nick Young,2019,1
Lorenzo Brown,2019,1
Nik Stauskas,2019,1
Noah Vonleh,2019,1
James Young,2019,1
Bruno Caboclo,2019,1
Tim Frazier,2019,1
Rashad Vaughn,2019,1
Luke Kornet,2019,1
Dairis Bertans,2019,2
Deonte Burton,2019,2
Josh Huestis,2019,1
K.J. McDaniels,2019,1
Eric Moreland,2019,1
JaKarr Sampson,2019,1
R.J. Hunter,2019,1
Chris McCullough,2019,1
Kevon Looney,2019,1
Anthony Brown,2019,1
Salah Mejri,2019,1
Briante Weber,2019,1
Cam Reynolds,2019,2
Scotty Hopson,2019,1
Jarnell Stokes,2019,1
Cory Jefferson,2019,1
Deyonta Davis,2019,1
Tyler Ulis,2019,1
Chinanu Onuaku,2019,1
Kay Felder,2019,1
Gary Payton II,2019,1
Isaiah Taylor,2019,1
Okaro White,2019,1
