player,season,contract_length
Deron Williams,2013,5
Derrick Rose,2013,5
Russell Westbrook,2013,5
Carmelo Anthony,2013,3
Kevin Love,2013,4
Brook Lopez,2013,4
Roy Hibbert,2013,4
Eric Gordon,2013,4
Nicolas Batum,2013,4
JaVale McGee,2013,4
Danilo Gallinari,2013,4
Gerald Wallace,2013,4
George Hill,2013,5
Ersan Ilyasova,2013,5
Kevin Garnett,2013,3
Jeff Green,2013,4
Ryan Anderson,2013,4
Tim Duncan,2013,3
Jason Thompson,2013,5
Goran Dragic,2013,4
Steve Nash,2013,3
Jameer Nelson,2013,3
Omer Asik,2013,3
Jeremy Lin,2013,3
Kris Humphries,2013,2
Andray Blatche,2013,3
Anthony Davis,2013,4
Jamal Crawford,2013,4
Courtney Lee,2013,4
Michael Kidd-Gilchrist,2013,4
Andrei Kirilenko,2013,2
Brandon Bass,2013,3
Landry Fields,2013,3
Bradley Beal,2013,4
Michael Beasley,2013,3
Scott Brooks,2013,4
Tom Thibodeau,2013,4
Brendan Haywood,2013,4
Dion Waiters,2013,4
Ian Mahinmi,2013,4
Jason Terry,2013,3
Louis Williams,2013,3
Robin Lopez,2013,3
Jonas Valanciunas,2013,4
Steve Novak,2013,4
Raymond Felton,2013,4
Andre Miller,2013,3
Damian Lillard,2013,4
Luis Scola,2013,3
Marcus Camby,2013,3
Spencer Hawes,2013,2
John Henson,2013,4
Mike D'Antoni,2013,3
Terrence Ross,2013,4
Danny Green,2013,3
Monty Williams,2013,4
Andre Drummond,2013,4
Thomas Robinson,2013,3
Gerald Green,2013,3
Brandon Roy,2013,2
Stephen Jackson,2013,1
Ramon Sessions,2013,2
Alonzo Gee,2013,3
Meyers Leonard,2013,4
Mirza Teletovic,2013,3
Darrell Arthur,2013,2
Alexey Shved,2013,3
Jeremy Lamb,2013,4
Boris Diaw,2013,2
Jason Kidd,2013,3
Kosta Koufos,2013,3
Joel Freeland,2013,3
Harrison Barnes,2013,4
Marreese Speights,2013,2
Maurice Harkless,2013,4
O.J. Mayo,2013,2
Kirk Hinrich,2013,2
Carl Landry,2013,2
Chris Kaman,2013,1
Brandon Rush,2013,2
Tyler Zeller,2013,4
Terrence Jones,2013,4
Austin Rivers,2013,3
Shannon Brown,2013,2
Jordan Hill,2013,2
Andrew Nicholson,2013,4
DeShawn Stevenson,2013,3
Aaron Brooks,2013,2
Donatas Motiejunas,2013,4
Evan Fournier,2013,4
Jared Sullinger,2013,4
Ray Allen,2013,2
Jerryd Bayless,2013,2
LaVoy Allen,2013,2
Carlos Delfino,2013,2
Kwame Brown,2013,2
Erik Spoelstra,2013,2
J.R. Smith,2013,2
Tony Wroten Jr.,2013,3
Nick Young,2013,1
Miles Plumlee,2013,4
Perry Jones III,2013,4
Aaron Gray,2013,2
Greg Stiemsma,2013,2
Anthony Randolph,2013,3
Jeremy Evans,2013,3
Festus Ezeli,2013,4
Reggie Evans,2013,3
Aaron Brooks,2013,2
Jared Jeffries,2013,3
C.J. Miles,2013,2
Willie Green,2013,3
Sasha Pavlovic,2013,3
Grant Hill,2013,2
Chauncey Billups,2013,1
J.J Hickson,2013,1
Victor Claver,2013,3
Kendall Marshall,2013,2
John Jenkins,2013,3
Hasheem Thabeet,2013,3
D.J. Augustin,2013,1
Royce White,2013,2
Arnett Moultrie,2013,3
Kyle Singler,2013,3
John Lucas III,2013,2
Marquis Teague,2013,3
Jodie Meeks,2013,2
Vyacheslav Kravtsov,2013,2
Nando De Colo,2013,2
Ishmael Smith,2013,3
Rashard Lewis,2013,2
Daniel Orton,2013,3
Hamed Haddadi,2013,2
Draymond Green,2013,3
Fab Melo,2013,2
Randy Foye,2013,1
Kyle O'Quinn,2013,3
James Anderson,2013,3
Ronnie Price,2013,2
Quincy Acy,2013,3
Jared Cunningham,2013,2
Doron Lamb,2013,3
Jae Crowder,2013,3
Jeff Taylor,2013,3
Orlando Johnson,2013,3
Will Barton,2013,3
Patty Mills,2013,2
Quincy Miller,2013,3
Khris Middleton,2013,3
Kevin Jones,2013,3
Scott Machado,2013,3
Michael Eric,2013,3
Elton Brand,2013,1
C.J. Watson,2013,2
Hollis Thompson,2013,3
Patrick Beverley,2013,3
Marco Belinelli,2013,1
Jerel McNeal,2013,3
Tim Ohlbrecht,2013,3
James White,2013,2
Daniel Orton,2013,2
Martell Webster,2013,1
DeAndre Liggins,2013,2
E'Twaun Moore,2013,2
Lance Thomas,2013,2
P.J. Tucker,2013,2
Cory Higgins,2013,2
Jeff Adrien,2013,2
Micah Downs,2013,2
Nazr Mohammed,2013,1
Jerry Stackhouse,2013,1
Anthony Carter,2013,1
Jermaine O'Neal,2013,1
Vladimir Radmanovic,2013,1
Dan Gadzuric,2013,1
Eddy Curry,2013,1
Keyon Dooling,2013,1
Joel Przybilla,2013,1
Chris Wilcox,2013,1
Antawn Jamison,2013,1
Jason Collins,2013,1
Troy Murphy,2013,1
Jamaal Magloire,2013,1
Chris Quinn,2013,2
Shavlik Randolph,2013,2
Chris Johnson,2013,2
Mickael Gelabale,2013,1
Bernard James,2013,2
Tyshawn Taylor,2013,2
Mike Scott,2013,2
Kim English,2013,2
Darius Miller,2013,2
Kevin Murphy,2013,2
Kris Joseph,2013,2
Tornike Shengelia,2013,2
Dionte Christmas,2013,2
Kent Bazemore,2013,2
Maalik Wayns,2013,2
Chris Smith,2013,2
Brian Roberts,2013,2
Henry Sims,2013,2
Matt Barnes,2013,1
Marquis Daniels,2013,1
Darko Milicic,2013,1
Keith Bogans,2013,1
Brian Cook,2013,1
Leandro Barbosa,2013,1
Roger Mason,2013,1
Jannero Pargo,2013,1
Damien Wilkins,2013,1
Eddie Gill,2013,1
Delonte West,2013,1
Royal Ivey,2013,1
Marko Jaric,2013,1
Melvin Ely,2013,1
Flip Murray,2013,1
Solomon Jones,2013,2
Terrence Williams,2013,2
D.J. White,2013,2
Kevin Jones,2013,2
Ike Diogu,2013,1
Ronny Turiaf,2013,1
Nate Robinson,2013,1
Andray Blatche,2013,1
Derek Fisher,2013,1
Dwayne Jones,2013,2
Josh Howard,2013,1
Shaun Livingston,2013,1
Solomon Jones,2013,1
Ryan Hollins,2013,1
Josh Powell,2013,1
Louis Amundson,2013,1
Ronnie Brewer,2013,1
Josh Childress,2013,1
Ronald Dupree,2013,1
Earl Barron,2013,1
Devin Ebanks,2013,1
Donte Greene,2013,2
Aron Baynes,2013,2
DaJuan Summers,2013,2
Jarvis Varnado,2013,2
Mickael Pietrus,2013,1
Chris Quinn,2013,1
Rodney Carney,2013,1
Shavlik Randolph,2013,1
Dominic McGuire,2013,1
Shelvin Mack,2013,2
Terrel Harris,2013,2
Darius Morris,2013,1
Ivan Johnson,2013,1
Malcolm Thomas,2013,2
Adam Morrison,2013,1
Sean Williams,2013,1
Cartier Martin,2013,1
Anthony Tolliver,2013,1
Orien Greene,2013,1
Alando Tucker,2013,1
Darnell Jackson,2013,1
Chris Douglas-Roberts,2013,1
Chris Douglas-Roberts,2013,1
Kyle Weaver,2013,1
Derrick Brown,2013,1
DaJuan Summers,2013,1
A.J. Price,2013,1
Sam Young,2013,1
Jonny Flynn,2013,1
Terrence Williams,2013,1
Sundiata Gaines,2013,1
Alan Anderson,2013,1
Blake Ahearn,2013,1
Othyus Jeffers,2013,1
Garrett Temple,2013,1
Will Conroy,2013,1
James Anderson,2013,1
James Anderson,2013,1
Damion James,2013,1
Armon Johnson,2013,1
Solomon Alabi,2013,1
Hamady N'Diaye,2013,1
Ben Uzoh,2013,1
Ben Uzoh,2013,1
Derrick Byars,2013,1
Coby Karl,2013,1
Maalik Wayns,2013,2
Justin Holiday,2013,2
Kris Joseph,2013,2
Josh Akognon,2013,2
Scott Machado,2013,2
Willie Reed,2013,2
Jermaine Taylor,2013,1
Andy Rautins,2013,1
Jerome Jordan,2013,1
Josh Harrellson,2013,1
Marqus Blakely,2013,1
Chris Wright,2013,1
Mickell Gladness,2013,1
Donald Sloan,2013,1
Terrel Harris,2013,1
Carldell Johnson,2013,1
Walker Russell Jr,2013,1
Diamon Simpson,2013,1
Trey Gilder,2013,1
Dominic McGuire,2013,1
Mike James,2013,1
Chris Douglas-Roberts,2013,1
Daequan Cook,2013,1
Garrett Temple,2013,1
Lazar Hayward,2013,1
Chris Andersen,2013,1
Shelvin Mack,2013,1
Darius Johnson-Odom,2013,1
Robert Sacre,2013,1
Pablo Prigioni,2013,1
Chris Copeland,2013,1
Jamar Smith,2013,1
Reeves Nelson,2013,1
Greg Somogyi,2013,1
John Shurna,2013,1
Carleton Scott,2013,1
James Mays,2013,1
Ben Hansbrough,2013,1
Stephen Dennis,2013,1
Steven Gray,2013,1
Luke Nevill,2013,1
Oscar Bellfield,2013,1
Tony Mitchell,2013,1
Brian Butch,2013,1
Rick Jackson,2013,1
Demonte Harper,2013,1
Wesley Witherspoon,2013,1
Michael Dunigan,2013,1
Josh Akognon,2013,1
Ronnie Aguilar,2013,1
DeQuan Jones,2013,1
Devin Searcy,2013,1
Justin Holiday,2013,1
Mustapha Farrakhan,2013,1
Christapher Johnson,2013,1
Seth Tarver,2013,1
Phil Jones,2013,1
Jerel McNeal,2013,1
Chris Wright,2013,1
Ryan Allen,2013,1
Carlon Brown,2013,1
Lance Goulbourne,2013,1
D'Aundray Brown,2013,1
Hank Thorns,2013,1
Trent Plaisted,2013,1
Dallas Lauderdale,2013,1
Josh Owens,2013,1
Luke Zeller,2013,1
Diante Garrett,2013,1
Robert Dozier,2013,1
Jarvis Varnado,2013,1
Sam Young,2013,1
Derek Fisher,2013,1
Jarvis Varnado,2013,1
Kenyon Martin,2013,1
Juwan Howard,2013,1
Keyon Dooling,2013,1
Jannero Pargo,2013,10
Terrel Harris,2013,10
Scott Machado,2013,10
Andrew Goudelock,2013,1
Tracy McGrady,2013,1
Quentin Richardson,2013,1
Earl Barron,2013,1
