game,winner,loser
Finals,Miami Heat,Oklahoma City Thunder
Conference Finals,Miami Heat,Boston Celtics
Conference Finals,Oklahoma City Thunder,San Antonio Spurs
Conference Semifinals,Boston Celtics,Philadelphia 76ers
Conference Semifinals,Miami Heat,Indiana Pacers
Conference Semifinals,Oklahoma City Thunder,Los Angeles Lakers
Conference Semifinals,San Antonio Spurs,Los Angeles Clippers
Conference First Round,Boston Celtics,Atlanta Hawks
Conference First Round,Indiana Pacers,Orlando Magic
Conference First Round,Miami Heat,New York Knicks
Conference First Round,Philadelphia 76ers,Chicago Bulls
Conference First Round,Los Angeles Clippers,Memphis Grizzlies
Conference First Round,Los Angeles Lakers,Denver Nuggets
Conference First Round,Oklahoma City Thunder,Dallas Mavericks
Conference First Round,San Antonio Spurs,Utah Jazz
