game,winner,loser
Finals,Toronto Raptors,Golden State Warriors
Conference Finals,Toronto Raptors,Milwaukee Bucks
Conference Finals,Golden State Warriors,Portland Trail Blazers
Conference Semifinals,Milwaukee Bucks,Boston Celtics
Conference Semifinals,Toronto Raptors,Philadelphia 76ers
Conference Semifinals,Golden State Warriors,Houston Rockets
Conference Semifinals,Portland Trail Blazers,Denver Nuggets
Conference First Round,Boston Celtics,Indiana Pacers
Conference First Round,Milwaukee Bucks,Detroit Pistons
Conference First Round,Philadelphia 76ers,Brooklyn Nets
Conference First Round,Toronto Raptors,Orlando Magic
Conference First Round,Denver Nuggets,San Antonio Spurs
Conference First Round,Golden State Warriors,Los Angeles Clippers
Conference First Round,Houston Rockets,Utah Jazz
Conference First Round,Portland Trail Blazers,Oklahoma City Thunder
