game,winner,loser
Finals,San Antonio Spurs,Cleveland Cavaliers
Conference Finals,Cleveland Cavaliers,Detroit Pistons
Conference Finals,San Antonio Spurs,Utah Jazz
Conference Semifinals,Cleveland Cavaliers,New Jersey Nets
Conference Semifinals,Detroit Pistons,Chicago Bulls
Conference Semifinals,San Antonio Spurs,Phoenix Suns
Conference Semifinals,Utah Jazz,Golden State Warriors
Conference First Round,Chicago Bulls,Miami Heat
Conference First Round,Cleveland Cavaliers,Washington Wizards
Conference First Round,Detroit Pistons,Orlando Magic
Conference First Round,New Jersey Nets,Toronto Raptors
Conference First Round,Golden State Warriors,Dallas Mavericks
Conference First Round,Phoenix Suns,Los Angeles Lakers
Conference First Round,San Antonio Spurs,Denver Nuggets
Conference First Round,Utah Jazz,Houston Rockets
