game,winner,loser
Finals,Golden State Warriors,Cleveland Cavaliers
Conference Finals,Cleveland Cavaliers,Boston Celtics
Conference Finals,Golden State Warriors,Houston Rockets
Conference Semifinals,Boston Celtics,Philadelphia 76ers
Conference Semifinals,Cleveland Cavaliers,Toronto Raptors
Conference Semifinals,Golden State Warriors,New Orleans Pelicans
Conference Semifinals,Houston Rockets,Utah Jazz
Conference First Round,Boston Celtics,Milwaukee Bucks
Conference First Round,Cleveland Cavaliers,Indiana Pacers
Conference First Round,Philadelphia 76ers,Miami Heat
Conference First Round,Toronto Raptors,Washington Wizards
Conference First Round,Golden State Warriors,San Antonio Spurs
Conference First Round,Houston Rockets,Minnesota Timberwolves
Conference First Round,New Orleans Pelicans,Portland Trail Blazers
Conference First Round,Utah Jazz,Oklahoma City Thunder
