game,winner,loser
Finals,San Antonio Spurs,Detroit Pistons
Conference Finals,Detroit Pistons,Miami Heat
Conference Finals,San Antonio Spurs,Phoenix Suns
Conference Semifinals,Detroit Pistons,Indiana Pacers
Conference Semifinals,Miami Heat,Washington Wizards
Conference Semifinals,Phoenix Suns,Dallas Mavericks
Conference Semifinals,San Antonio Spurs,Seattle SuperSonics
Conference First Round,Detroit Pistons,Philadelphia 76ers
Conference First Round,Indiana Pacers,Boston Celtics
Conference First Round,Miami Heat,New Jersey Nets
Conference First Round,Washington Wizards,Chicago Bulls
Conference First Round,Dallas Mavericks,Houston Rockets
Conference First Round,Phoenix Suns,Memphis Grizzlies
Conference First Round,San Antonio Spurs,Denver Nuggets
Conference First Round,Seattle SuperSonics,Sacramento Kings
