const,age,games_played_perc,games_started_perc,minutes_played,avg_minutes_played,WS48,PER,team_successes,player_successes
1.0,35,0.6626506024096386,0.6506024096385542,1389,25.255,0.124,13.332,1,0
1.0,24,0.524390243902439,0.0121951219512195,503,11.698,0.067,12.9,0,0
1.0,27,0.5609756097560976,0.1341463414634146,457,9.935,0.126,14.7,0,0
1.0,25,0.7831325301204819,0.7831325301204819,2358,36.277,0.144,19.958,1,0
1.0,26,0.7674418604651163,0.0,548,8.303,-0.01,8.338,1,0
1.0,23,0.6329113924050633,0.5189873417721519,1252,25.04,0.151,23.044,1,0
1.0,27,0.7195121951219512,0.0,717,12.153,-0.047,5.5,0,0
1.0,31,0.8333333333333334,0.358974358974359,1238,19.046,0.064,9.43,1,0
1.0,29,0.8536585365853658,0.2317073170731707,1372,19.6,0.052,12.4,0,0
1.0,21,0.9680851063829788,0.0212765957446808,1393,15.308,-0.004,11.737,1,0
1.0,27,0.967391304347826,0.967391304347826,2729,30.663,0.101,18.225,1,0
1.0,32,0.98989898989899,0.7575757575757576,2732,27.878,0.082,13.638,2,0
1.0,29,1.0,0.5465116279069767,2015,23.43,0.132,16.701,1,0
1.0,27,0.8611111111111112,0.0416666666666666,1036,16.71,0.032,10.1,0,0
1.0,28,0.5280898876404494,0.0,337,7.17,0.088,11.175,1,0
1.0,22,0.7375,0.025,634,10.746,0.04,9.638,2,0
1.0,23,0.2560975609756097,0.0121951219512195,307,14.619,0.078,15.1,0,0
1.0,25,0.4,0.1285714285714285,421,15.036,0.069,13.407,1,0
1.0,27,0.3780487804878049,0.3292682926829268,830,26.774,0.052,12.4,0,0
1.0,26,0.9789473684210528,0.3684210526315789,2318,24.925,0.137,17.873,1,0
1.0,31,0.6067415730337079,0.2584269662921348,1264,23.407,0.123,21.542,1,0
1.0,23,0.8902439024390244,0.6829268292682927,2049,28.068,0.056,15.4,0,0
1.0,23,0.5681818181818182,0.0681818181818181,518,10.36,0.065,9.0,1,0
1.0,21,0.7263157894736842,0.2736842105263158,2049,29.696,0.112,13.679,1,0
1.0,30,0.8725490196078431,0.8725490196078431,3337,37.494,0.2,34.465,3,2
1.0,29,0.8640776699029126,0.8640776699029126,3132,35.191,0.215,34.712,5,6
1.0,29,0.9540229885057472,0.0,2319,27.94,0.132,14.939,1,0
1.0,30,0.375,0.0833333333333333,602,22.296,-0.008,6.3,0,0
1.0,33,0.9565217391304348,0.9456521739130436,2811,31.943,0.215,27.714,1,3
1.0,33,0.6951219512195121,0.6463414634146342,2093,36.719,0.067,15.8,1,0
1.0,35,0.9090909090909092,0.9090909090909092,2492,31.15,0.141,18.962,1,0
1.0,26,0.5849056603773585,0.0,654,10.548,0.161,14.406,3,0
1.0,20,0.2777777777777778,0.0,133,6.65,0.0,5.7,0,0
1.0,29,0.926829268292683,0.0609756097560975,2085,27.434,0.117,17.0,0,0
1.0,23,0.2926829268292683,0.0,372,15.5,0.129,15.1,0,0
1.0,26,0.7638888888888888,0.1666666666666666,970,17.636,0.124,17.7,0,0
1.0,28,0.926829268292683,0.1097560975609756,1426,18.763,0.081,13.9,0,0
1.0,28,0.926829268292683,0.5,1615,21.25,0.024,10.1,0,0
1.0,28,0.2195121951219512,0.0,195,10.833,-0.025,5.9,1,0
1.0,24,0.6219512195121951,0.2073170731707317,824,16.157,0.093,14.8,0,0
1.0,27,0.8441558441558441,0.8441558441558441,2342,36.031,0.132,24.289,1,2
1.0,30,0.6129032258064516,0.6129032258064516,1825,32.018,0.183,21.739,1,0
1.0,20,1.0,1.0,2920,32.809,0.075,16.15,1,0
1.0,26,0.5853658536585366,0.0609756097560975,668,13.917,0.115,12.2,1,0
1.0,23,0.8472222222222222,0.0555555555555555,1074,17.607,0.036,12.7,0,0
1.0,34,0.1219512195121951,0.0121951219512195,162,16.2,-0.119,3.4,1,0
1.0,28,0.7804878048780488,0.1097560975609756,1810,28.281,0.066,16.0,0,0
1.0,25,0.3870967741935484,0.075268817204301,656,18.222,0.092,16.042,1,0
1.0,30,0.6585365853658537,0.0121951219512195,1193,22.093,0.024,11.1,0,0
1.0,24,0.6976744186046512,0.6627906976744186,1923,32.05,0.182,24.179,1,0
1.0,24,0.3536585365853658,0.0121951219512195,385,13.276,0.062,9.3,0,0
1.0,28,0.9878048780487804,0.7682926829268293,1991,24.58,0.058,10.2,0,0
1.0,27,0.8313253012048193,0.0,862,12.493,0.223,20.926,1,0
1.0,25,1.0,0.0588235294117647,2418,23.706,0.029,10.264,3,0
1.0,25,0.9878048780487804,0.3170731707317073,1985,24.506,0.08,11.0,0,0
1.0,33,0.9069767441860463,0.8023255813953488,2614,33.513,0.087,12.649,1,0
1.0,24,0.7419354838709677,0.0,1978,28.667,0.096,14.173,1,0
1.0,26,0.8172043010752689,0.7849462365591398,2661,35.013,0.143,22.514,1,0
1.0,24,0.6219512195121951,0.0,373,7.314,0.0,11.1,0,0
1.0,23,0.4146341463414634,0.2317073170731707,800,23.529,0.09,12.4,0,0
1.0,32,0.970873786407767,0.0970873786407767,1598,15.98,0.059,10.456,5,0
1.0,23,0.5833333333333334,0.1111111111111111,684,16.286,0.189,20.7,0,0
1.0,25,0.8536585365853658,0.8536585365853658,2526,36.086,0.182,25.0,0,0
1.0,26,0.8255813953488372,0.0930232558139534,967,13.62,0.161,20.339,1,0
1.0,23,0.4305555555555556,0.0,235,7.581,-0.02,8.5,0,0
1.0,28,0.9770114942528736,0.9770114942528736,2657,31.259,0.193,26.092,1,0
1.0,29,0.8769230769230769,0.0615384615384615,821,14.404,0.012,8.1,0,0
1.0,34,0.7073170731707317,0.1951219512195122,1397,24.086,0.086,12.0,0,0
1.0,24,0.9117647058823528,0.0686274509803921,2082,22.387,0.099,14.818,2,0
1.0,40,0.8977272727272727,0.2386363636363636,1994,25.241,0.107,12.578,1,0
1.0,35,0.8780487804878049,0.7926829268292683,2091,29.042,0.034,10.5,0,0
1.0,25,0.7638888888888888,0.6111111111111112,1659,30.164,0.098,14.6,0,0
1.0,27,0.5609756097560976,0.5609756097560976,1433,31.152,-0.007,9.6,0,0
1.0,23,0.1097560975609756,0.1097560975609756,265,29.444,-0.036,7.5,1,0
1.0,29,0.9509803921568628,0.9509803921568628,3665,37.784,0.263,37.451,3,3
1.0,22,0.4878048780487805,0.073170731707317,344,8.6,0.167,18.5,0,0
1.0,36,0.6341463414634146,0.048780487804878,946,18.192,0.137,12.0,0,0
1.0,25,0.6703296703296703,0.0219780219780219,558,9.148,0.095,10.478,1,0
1.0,27,0.9302325581395348,0.9302325581395348,2848,35.6,0.134,20.28,1,2
1.0,25,0.5813953488372093,0.2093023255813953,646,12.92,0.055,9.143,1,0
1.0,30,0.8055555555555556,0.0277777777777777,985,16.983,0.125,14.289,1,0
1.0,33,0.6091954022988506,0.6091954022988506,1381,26.057,0.105,15.648,1,0
1.0,26,0.7083333333333334,0.1666666666666666,972,19.059,0.059,11.2,0,0
1.0,30,0.9032258064516128,0.2043010752688172,1213,14.44,0.144,13.834,1,0
1.0,31,0.8658536585365854,0.5121951219512195,1939,27.31,0.079,12.4,0,0
1.0,29,0.9390243902439024,0.9390243902439024,2424,31.481,0.186,20.2,0,0
1.0,22,0.6585365853658537,0.1951219512195122,875,16.204,0.088,12.8,0,0
1.0,27,0.7468354430379747,0.2025316455696202,969,16.424,0.148,15.274,1,0
1.0,22,0.6046511627906976,0.2209302325581395,788,15.154,0.014,10.099,1,0
1.0,24,0.8472222222222222,0.1805555555555555,1006,16.492,0.048,8.8,0,0
1.0,36,1.0,0.0112359550561797,2353,26.438,0.042,12.963,1,0
1.0,37,0.8651685393258427,0.1797752808988764,1248,16.208,0.096,11.797,1,0
1.0,25,0.4946236559139785,0.1397849462365591,1120,24.348,0.113,12.776,1,0
1.0,27,0.8414634146341463,0.2560975609756097,1880,27.246,0.092,13.9,0,0
1.0,24,0.2073170731707317,0.1463414634146341,347,20.412,0.014,6.7,0,0
1.0,29,0.9456521739130436,0.5434782608695652,1614,18.552,0.08,7.679,1,0
1.0,35,0.303030303030303,0.303030303030303,607,30.35,0.134,16.1,1,0
1.0,28,1.0,1.0,2863,34.915,0.124,21.7,0,2
1.0,25,0.9767441860465116,0.9767441860465116,2936,34.952,0.13,20.551,1,0
1.0,27,0.5487804878048781,0.2804878048780488,1198,26.622,-0.004,10.8,0,0
1.0,27,0.8472222222222222,0.0,988,16.197,0.113,14.757,1,0
1.0,29,0.7439024390243902,0.2195121951219512,1262,20.689,0.095,14.7,0,0
1.0,23,0.6829268292682927,0.6829268292682927,1942,34.679,0.114,20.9,0,0
1.0,38,0.9438202247191012,0.9438202247191012,2477,29.488,0.207,25.317,1,3
1.0,26,0.9696969696969696,0.0909090909090909,1127,17.609,0.064,11.8,0,0
1.0,25,0.4024390243902439,0.0,335,10.152,-0.014,6.9,0,0
1.0,30,0.9878048780487804,0.5,2098,25.901,0.105,11.7,0,0
1.0,27,1.0,0.1046511627906976,2148,24.977,0.081,11.556,1,0
1.0,25,0.3414634146341463,0.0,203,7.25,-0.071,6.6,1,0
1.0,26,0.8536585365853658,0.1951219512195122,1182,16.886,0.073,10.7,0,0
1.0,26,0.2264150943396226,0.0,122,5.083,0.186,19.533,3,0
1.0,25,0.3780487804878049,0.0121951219512195,292,9.419,-0.066,5.4,1,0
1.0,35,0.4302325581395348,0.0,512,13.838,0.021,11.105,1,0
1.0,28,0.9565217391304348,0.9565217391304348,3075,34.943,0.178,23.947,1,0
1.0,29,0.3448275862068966,0.0804597701149425,539,17.967,-0.023,16.203,1,0
1.0,24,0.8701298701298701,0.3116883116883117,1055,15.746,0.106,9.657,1,0
1.0,22,0.7804878048780488,0.0,964,15.062,0.075,11.6,1,0
1.0,23,0.859375,0.21875,1209,21.982,0.048,12.7,0,0
1.0,27,0.3626373626373626,0.0219780219780219,623,18.879,0.095,16.24,1,0
1.0,23,0.2560975609756097,0.0,290,13.81,-0.099,6.9,0,0
1.0,32,0.9146341463414634,0.2804878048780488,2064,27.52,0.114,17.4,0,0
1.0,26,0.573170731707317,0.048780487804878,980,20.851,0.059,14.4,0,0
1.0,39,0.946236559139785,0.1397849462365591,2061,23.42,0.072,9.993,1,0
1.0,33,0.1829268292682926,0.0,134,8.933,0.0,6.1,0,0
1.0,23,0.8490566037735849,0.7735849056603774,2785,30.944,0.115,15.429,3,0
1.0,30,0.8586956521739131,0.4782608695652174,1962,24.835,0.111,16.841,1,0
1.0,31,0.925925925925926,0.0185185185185185,2394,23.94,0.163,16.468,5,0
1.0,34,0.9166666666666666,0.90625,2731,31.034,0.104,24.971,1,0
1.0,23,0.9894736842105264,0.9894736842105264,3379,35.947,0.11,18.318,1,0
1.0,24,0.9431818181818182,0.9318181818181818,3136,37.783,0.176,23.499,1,2
1.0,24,0.8857142857142857,0.3142857142857143,1832,19.699,0.179,20.645,5,0
1.0,31,0.6714285714285714,0.3,1054,22.426,0.024,11.148,1,0
1.0,28,0.9305555555555556,0.3055555555555556,1529,22.821,0.119,15.1,0,0
1.0,26,0.9886363636363636,0.0,1964,22.575,0.147,22.979,1,0
1.0,26,1.0,0.0898876404494382,1693,19.022,0.151,23.826,1,0
1.0,25,0.1585365853658536,0.0,119,9.154,0.04,8.7,1,0
1.0,24,0.9390243902439024,0.4878048780487805,2268,29.455,0.104,17.2,0,0
1.0,26,0.9195402298850576,0.9195402298850576,2536,31.7,0.105,16.357,1,0
1.0,37,0.9494949494949496,0.3535353535353535,2128,22.638,0.105,14.397,2,0
1.0,25,0.946808510638298,0.3085106382978723,2220,24.944,0.092,15.569,1,0
1.0,33,0.7317073170731707,0.7317073170731707,1884,31.4,0.076,19.3,0,0
1.0,23,0.9325842696629212,0.1573033707865168,1466,17.663,0.15,15.764,1,0
1.0,33,0.868421052631579,0.5131578947368421,1867,28.288,0.067,10.864,1,0
1.0,23,0.8181818181818182,0.2878787878787879,1244,23.037,0.066,14.9,0,0
1.0,28,0.8292682926829268,0.8170731707317073,2408,35.412,0.122,19.7,0,0
1.0,31,0.9659090909090908,0.9659090909090908,3298,38.8,0.144,21.585,1,0
1.0,28,0.5454545454545454,0.0795454545454545,839,17.479,0.066,11.401,1,0
1.0,30,0.3372093023255814,0.0,374,12.897,0.03,8.893,1,0
1.0,34,0.7978723404255319,0.7978723404255319,2227,29.693,0.107,14.648,1,0
1.0,33,0.6867469879518072,0.6867469879518072,1674,29.368,0.195,21.374,1,0
1.0,33,0.7083333333333334,0.1666666666666666,1043,20.451,0.055,11.4,0,0
1.0,25,0.8488372093023255,0.1511627906976744,1467,20.096,0.077,14.663,1,0
1.0,25,0.6097560975609756,0.0853658536585365,600,12.0,0.056,13.9,0,0
1.0,34,0.7777777777777778,0.3472222222222222,1528,27.286,0.05,8.2,0,0
1.0,24,0.6082474226804123,0.0,696,11.797,0.114,13.021,2,0
1.0,24,0.9080459770114944,0.057471264367816,1516,19.19,0.116,16.64,1,0
1.0,24,1.0,0.9878048780487804,3086,37.634,0.067,13.7,0,0
1.0,35,0.3611111111111111,0.3194444444444444,674,25.923,0.078,15.7,1,0
1.0,28,0.7317073170731707,0.7317073170731707,2024,33.733,0.147,16.1,1,0
1.0,34,0.8048780487804879,0.8048780487804879,1895,28.712,0.109,16.0,0,0
1.0,21,0.2948717948717949,0.0,177,7.696,-0.057,8.192,1,0
1.0,36,0.925531914893617,0.851063829787234,2466,28.345,0.119,19.449,1,0
1.0,27,0.7195121951219512,0.4634146341463415,911,15.441,0.1,12.3,1,0
1.0,23,0.3402061855670103,0.0,198,6.0,0.051,11.659,2,0
1.0,24,0.2682926829268293,0.2682926829268293,692,31.455,0.035,15.2,0,0
1.0,32,0.9550561797752808,0.9550561797752808,2404,28.282,0.105,15.25,1,0
1.0,29,0.4024390243902439,0.0,277,8.394,0.017,5.5,0,0
1.0,34,0.9361702127659576,0.7978723404255319,2755,31.307,0.119,16.491,1,0
1.0,29,0.9090909090909092,0.8961038961038961,2111,30.157,0.113,11.723,1,0
1.0,25,1.0,0.9325842696629212,3303,37.112,0.11,18.602,1,0
1.0,26,0.1931818181818181,0.1136363636363636,519,30.529,0.068,20.677,1,0
1.0,21,0.5714285714285714,0.1038961038961039,442,10.045,0.0,3.646,1,0
1.0,22,0.8,0.8,2853,35.662,0.159,31.961,2,2
1.0,25,1.0,0.1829268292682926,2140,26.098,0.126,15.6,0,0
1.0,30,0.9431818181818182,0.7840909090909091,2494,30.048,0.137,17.239,1,0
1.0,27,0.8780487804878049,0.8780487804878049,2544,35.333,0.058,15.7,0,0
1.0,23,0.1707317073170731,0.0,188,13.429,0.051,11.8,0,0
1.0,23,0.2560975609756097,0.0,305,14.524,0.047,7.1,0,0
1.0,34,1.0,0.1875,1895,19.74,0.127,13.847,2,0
1.0,23,0.979591836734694,0.979591836734694,3320,34.583,0.114,19.424,2,0
1.0,38,0.6585365853658537,0.6585365853658537,1424,26.37,0.084,17.0,0,0
1.0,27,0.8372093023255814,0.0930232558139534,809,11.236,0.096,11.006,1,0
1.0,29,0.902439024390244,0.3658536585365853,1653,22.338,0.07,17.8,0,0
1.0,26,0.946236559139785,0.9247311827956988,2439,27.716,0.178,20.979,1,0
1.0,27,1.0,0.2947368421052631,2876,30.274,0.11,14.843,1,0
1.0,20,0.7317073170731707,0.0853658536585365,614,10.233,0.086,11.6,0,0
1.0,31,0.7926829268292683,0.1097560975609756,1477,22.723,0.075,11.1,0,0
1.0,22,0.8170731707317073,0.7317073170731707,1365,20.373,0.105,10.4,0,0
1.0,26,0.6219512195121951,0.4390243902439024,1156,22.667,0.05,8.8,0,0
1.0,26,0.8205128205128205,0.0769230769230769,1337,20.891,0.095,11.399,1,0
1.0,30,0.7659574468085106,0.0851063829787234,1069,14.847,0.132,17.513,3,0
1.0,24,0.6,0.1692307692307692,687,17.615,-0.056,6.1,0,0
1.0,28,0.970873786407767,0.7087378640776699,2385,23.85,0.197,21.323,3,0
1.0,25,0.6886792452830188,0.0188679245283018,1243,17.027,0.095,18.263,3,0
1.0,24,0.5487804878048781,0.0,388,8.622,0.074,11.1,0,0
1.0,22,0.5774647887323944,0.056338028169014,565,13.78,0.124,14.191,1,0
1.0,26,1.0,0.2926829268292683,2059,25.11,0.04,10.7,0,0
1.0,27,0.6847826086956522,0.3369565217391304,1603,25.444,0.14,16.889,1,0
1.0,34,0.5904761904761905,0.0,927,14.952,0.208,29.491,5,0
1.0,28,0.9361702127659576,0.6808510638297872,2299,26.125,0.107,16.657,1,0
1.0,30,0.8068181818181818,0.5,1910,26.901,0.06,14.433,1,0
1.0,27,0.9634146341463414,0.3902439024390244,1673,21.177,0.063,9.6,0,0
1.0,24,0.5487804878048781,0.4634146341463415,812,18.044,-0.006,8.5,0,0
1.0,34,0.8023255813953488,0.7906976744186046,2152,31.188,0.122,17.496,1,0
1.0,31,0.9615384615384616,0.1442307692307692,2351,23.51,0.102,17.747,3,0
1.0,28,0.6341463414634146,0.3902439024390244,1607,30.904,0.125,21.1,0,0
1.0,23,0.9310344827586208,0.9310344827586208,2838,35.037,0.181,25.772,1,2
1.0,23,0.7073170731707317,0.0121951219512195,563,9.707,0.034,10.5,0,0
1.0,22,0.4305555555555556,0.4027777777777778,853,27.516,0.191,17.7,1,0
1.0,22,0.975609756097561,0.8048780487804879,2047,25.588,0.122,14.8,0,0
1.0,24,0.7073170731707317,0.0,983,16.948,0.063,13.6,0,0
1.0,29,0.946236559139785,0.0,2459,27.943,0.157,18.147,1,0
1.0,25,0.9775280898876404,0.0674157303370786,1628,18.713,0.084,16.285,1,0
1.0,25,0.2045454545454545,0.0113636363636363,157,8.722,0.07,12.458,1,0
1.0,22,0.1463414634146341,0.0,107,8.917,0.0,7.4,0,0
1.0,26,0.8045977011494253,0.2758620689655172,1069,15.271,0.085,15.025,1,0
1.0,33,0.896551724137931,0.7586206896551724,2283,29.269,0.086,11.447,1,0
1.0,28,0.8953488372093024,0.4651162790697674,1497,19.442,0.17,21.418,1,0
1.0,22,0.6341463414634146,0.048780487804878,654,12.577,0.125,12.4,0,0
1.0,24,0.7741935483870968,0.010752688172043,752,10.444,0.135,13.243,1,0
1.0,29,0.9722222222222222,0.8611111111111112,1997,28.529,0.123,16.4,0,0
1.0,25,1.0,0.0581395348837209,1547,17.988,0.081,9.657,1,0
1.0,32,0.8446601941747572,0.0097087378640776,1211,13.92,0.137,18.402,5,0
1.0,28,0.9223300970873788,0.9223300970873788,2739,28.832,0.219,23.42,5,1
1.0,29,0.9393939393939394,0.1111111111111111,888,9.548,0.227,30.624,5,0
1.0,34,0.7105263157894737,0.1710526315789473,1454,26.926,0.047,14.111,1,0
1.0,27,1.0,1.0,3422,34.918,0.181,26.963,2,2
1.0,32,0.648936170212766,0.3936170212765957,751,12.311,0.049,6.412,1,0
1.0,23,0.4512195121951219,0.024390243902439,379,10.243,0.101,15.9,0,0
1.0,31,0.7804878048780488,0.7804878048780488,2034,31.781,0.142,17.6,0,0
1.0,27,0.6341463414634146,0.2195121951219512,1505,28.942,0.077,12.4,0,0
1.0,24,0.2317073170731707,0.0,149,7.842,-0.064,9.0,0,0
1.0,26,0.6944444444444444,0.0555555555555555,723,14.46,0.1,12.2,0,0
1.0,23,0.3953488372093023,0.0348837209302325,207,6.088,-0.024,3.611,1,0
1.0,24,0.4390243902439024,0.2195121951219512,796,22.111,0.072,12.8,0,0
1.0,27,0.8414634146341463,0.0365853658536585,1365,19.783,0.067,13.3,0,0
1.0,22,0.1511627906976744,0.0,161,12.385,0.03,9.72,1,0
1.0,22,0.3977272727272727,0.034090909090909,438,12.514,0.058,12.998,1,0
1.0,28,0.3902439024390244,0.1829268292682926,862,26.938,0.011,12.6,0,0
1.0,26,0.7241379310344828,0.0114942528735632,953,15.127,0.087,10.754,1,0
1.0,26,0.975609756097561,0.975609756097561,2913,36.412,0.076,15.2,0,0
1.0,25,0.7831325301204819,0.072289156626506,1161,17.862,0.145,15.698,1,0
1.0,39,0.9390243902439024,0.9390243902439024,1900,24.675,0.121,16.7,0,0
1.0,23,1.0,1.0,2919,35.598,0.127,22.7,0,0
1.0,37,0.9651162790697676,0.5,1954,23.542,0.038,11.076,3,0
1.0,26,0.632183908045977,0.0114942528735632,735,13.364,0.209,21.303,1,0
1.0,29,0.8522727272727273,0.1818181818181818,1877,25.027,0.013,11.517,1,0
1.0,22,0.1585365853658536,0.0,104,8.0,0.138,14.0,1,0
1.0,29,0.9239130434782608,0.0543478260869565,1576,18.541,0.06,9.402,1,0
1.0,25,0.7195121951219512,0.3536585365853658,876,14.847,0.137,14.7,0,0
1.0,26,0.9897959183673468,0.4183673469387755,2625,27.062,0.14,17.185,2,0
1.0,24,0.902439024390244,0.902439024390244,2529,34.176,0.133,21.5,0,0
1.0,32,0.8902439024390244,0.2926829268292683,1549,21.219,0.053,9.1,0,0
1.0,23,0.8522727272727273,0.8295454545454546,2569,34.253,0.149,19.34,1,1
1.0,21,0.8194444444444444,0.0277777777777777,797,13.508,0.012,9.1,0,0
1.0,32,0.9878048780487804,0.9878048780487804,2463,30.407,0.133,20.5,0,0
1.0,33,0.5753424657534246,0.3835616438356164,934,22.238,0.108,15.2,0,0
1.0,25,0.6447368421052632,0.4605263157894737,1470,30.0,0.054,17.9,1,0
1.0,34,0.8048780487804879,0.3902439024390244,1221,18.5,0.035,10.6,0,0
1.0,30,0.9029126213592232,0.0776699029126213,1821,19.581,0.146,13.119,3,0
1.0,23,0.1463414634146341,0.0121951219512195,231,19.25,0.083,12.1,0,0
1.0,34,0.9895833333333334,0.9895833333333334,3195,33.632,0.048,14.111,1,0
1.0,34,0.813953488372093,0.7790697674418605,2245,32.071,0.115,15.251,1,0
