ID,salary_perc,age,games_played_perc,games_started_perc,minutes_played,avg_minutes_played,WS48,PER,team_successes,player_successes,WS
kiddja01,0.3,29,0.9803921568627451,0.9803921568627451,3841,38.41,0.181,27.673,3,3,14.483770833333333
richaqu01,0.041,22,0.7195121951219512,0.15853658536585366,1368,23.186,0.035,12.5,0,0,0.9975
scalabr01,0.018,24,0.6470588235294118,0.06862745098039216,744,11.273,0.066,9.002,3,0,1.023
bellra01,0.016,26,0.9019607843137255,0.38235294117647056,1478,16.065,0.07,11.514,2,0,2.155416666666667
onealsh01,0.565,30,0.8404255319148937,0.8297872340425532,3016,38.177,0.25,35.306,1,3,15.708333333333334
allenma01,0.034,24,0.975609756097561,0.8902439024390244,2318,28.975,0.019,9.9,0,0,0.9175416666666667
hamilri01,0.148,24,1.0,1.0,3299,33.323,0.133,22.894,2,0,9.140979166666666
lewisra02,0.16,23,0.9390243902439024,0.9390243902439024,3044,39.532,0.123,16.7,0,0,7.800249999999999
poseyja01,0.112,26,1.0,0.8658536585365854,2518,30.337,0.103,13.5,0,0,5.403208333333333
pippesc01,0.112,37,0.7640449438202247,0.6629213483146067,1986,29.206,0.095,15.673,1,0,3.9306250000000005
millebr01,0.16,26,0.8977272727272727,0.8863636363636364,2405,30.443,0.203,20.257,1,0,10.171145833333334
malonka01,0.034,39,0.9885057471264368,0.9885057471264368,3127,36.36,0.181,22.676,1,0,11.791395833333333
anderch01,0.036,25,0.8735632183908046,0.0,1063,13.987,0.112,14.849,1,0,2.4803333333333333
nashst01,0.199,29,0.9540229885057471,0.9540229885057471,2809,33.843,0.162,21.669,1,0,9.480375
przybjo01,0.034,24,0.2073170731707317,0.14634146341463414,347,20.412,0.014,6.7,0,0,0.10120833333333334
arroyca01,0.091,24,0.8658536585365854,0.8658536585365854,2008,28.282,0.112,16.8,0,0,4.685333333333333
dampier01,0.176,28,0.9024390243902439,0.9024390243902439,2403,32.473,0.178,20.1,0,0,8.911125
okurme01,0.171,24,0.8857142857142857,0.3142857142857143,1832,19.699,0.179,20.645,5,0,6.831833333333333
mcdyean01,0.112,29,0.5121951219512195,0.24390243902439024,927,22.071,0.062,12.6,0,0,1.1973749999999999
bryanko01,0.323,25,0.8365384615384616,0.8269230769230769,3420,39.31,0.21,32.05,3,3,14.962499999999999
garneke01,0.365,27,1.0,1.0,4014,40.14,0.272,35.458,2,8,22.746
crawfja01,0.131,23,0.975609756097561,0.8902439024390244,2811,35.138,0.07,15.9,0,0,4.099375
thomaet01,0.112,25,0.9634146341463414,0.18292682926829268,1901,24.063,0.114,16.4,0,0,4.514875
barrybr01,0.097,32,0.7195121951219512,0.6463414634146342,1803,30.559,0.152,18.3,0,0,5.709499999999999
ginobma01,0.151,26,0.9456521739130435,0.41304347826086957,2540,29.195,0.193,21.25,1,0,10.212916666666667
fishede01,0.112,29,1.0,0.028846153846153848,2276,21.885,0.065,15.312,3,0,3.0820833333333333
houseed01,0.032,25,0.7317073170731707,0.12195121951219512,1188,19.8,0.028,12.0,0,0,0.6930000000000001
paytoga01,0.123,35,1.0,1.0,3597,34.587,0.138,20.333,3,0,10.341375000000001
alstora01,0.08,27,1.0,0.29473684210526313,2876,30.274,0.11,14.843,1,0,6.590833333333333
butlera01,0.027,24,0.5789473684210527,0.0,733,13.327,0.114,14.859,1,0,1.740875
kukocto01,0.068,35,0.896551724137931,0.0,1627,20.859,0.098,17.073,1,0,3.3217916666666665
millemi01,0.137,23,0.8023255813953488,0.8023255813953488,1868,27.072,0.106,15.404,1,0,4.125166666666666
stevede01,0.057,22,0.975609756097561,0.9512195121951219,2444,30.55,0.029,11.6,0,0,1.4765833333333334
pargoja01,0.016,24,0.3780487804878049,0.012195121951219513,479,15.452,0.01,11.5,0,0,0.09979166666666667
wallara01,0.222,29,0.8666666666666667,0.8476190476190476,3193,35.088,0.125,22.941,5,0,8.315104166666666
mournal01,0.123,33,0.14634146341463414,0.0,215,17.917,0.134,13.3,1,0,0.6002083333333333
thomaku01,0.134,31,0.9767441860465116,0.9186046511627907,2687,31.988,0.094,14.891,1,0,5.262041666666667
doolike01,0.017,23,0.7073170731707317,0.2926829268292683,1137,19.603,0.013,10.0,0,0,0.3079375
daniema01,0.112,23,0.7011494252873564,0.22988505747126436,1223,20.049,0.148,22.756,1,0,3.7709166666666665
jacksst02,0.116,25,0.975609756097561,0.9512195121951219,2940,36.75,0.072,16.1,0,0,4.409999999999999
richaqu01,0.132,23,0.7926829268292683,0.7804878048780488,2338,35.969,0.049,15.1,0,0,2.3867083333333334
cambyma01,0.194,29,0.8850574712643678,0.8850574712643678,2356,30.597,0.153,19.334,1,0,7.50975
cardibr01,0.112,26,0.926829268292683,0.13414634146341464,1634,21.5,0.212,19.4,0,0,7.216833333333334
martike01,0.216,26,0.8172043010752689,0.7849462365591398,2661,35.013,0.143,22.514,1,0,7.9275625
boozeca01,0.25,22,0.9146341463414634,0.9146341463414634,2592,34.56,0.174,20.8,0,0,9.395999999999999
anderch01,0.071,26,0.8170731707317073,0.024390243902439025,1430,21.343,0.151,18.5,0,0,4.498541666666667
ilgauzy01,0.177,29,0.9512195121951219,0.9512195121951219,2615,33.526,0.149,19.5,0,0,8.117395833333333
collija04,0.111,26,0.9767441860465116,0.9767441860465116,2670,31.786,0.074,8.615,1,0,4.11625
gasolpa01,0.222,24,0.6976744186046512,0.6627906976744186,1923,32.05,0.182,24.179,1,0,7.2913749999999995
gadzuda01,0.096,26,0.9878048780487805,0.9878048780487805,1783,22.012,0.14,18.1,0,0,5.200416666666667
robincl02,0.051,38,0.872093023255814,0.3372093023255814,1760,23.467,0.048,10.8,1,0,1.76
atkinch01,0.091,30,1.0,1.0,2903,35.402,0.074,13.4,0,0,4.475458333333333
hughela01,0.209,26,0.7717391304347826,0.7717391304347826,2759,38.859,0.157,24.423,1,1,9.024229166666666
pachuza01,0.081,20,0.9024390243902439,0.04878048780487805,1397,18.878,0.1,14.4,0,0,2.910416666666667
murphtr01,0.149,24,0.8536585365853658,0.8414634146341463,2375,33.929,0.107,16.8,0,0,5.294270833333333
curryed01,0.149,22,0.7682926829268293,0.7317073170731707,1808,28.698,0.114,16.3,1,0,4.294
waltolu01,0.025,24,0.7439024390243902,0.06097560975609756,768,12.59,0.031,11.4,0,0,0.496
blakest01,0.02,24,0.5217391304347826,0.010869565217391304,665,13.854,0.022,8.376,1,0,0.3047916666666666
ratlith01,0.236,31,0.7682926829268293,0.5487804878048781,1731,27.476,0.064,10.1,0,0,2.3080000000000003
iversal01,0.332,29,0.9195402298850575,0.9195402298850575,3412,42.65,0.136,24.97,1,2,9.667333333333334
houseed01,0.017,26,0.8160919540229885,0.08045977011494253,914,12.873,0.097,16.154,1,0,1.8470416666666667
chandty01,0.182,22,0.9772727272727273,0.11363636363636363,2361,27.453,0.182,17.909,1,0,8.952125
hasleud01,0.101,24,0.979381443298969,0.979381443298969,3218,33.874,0.165,17.936,2,0,11.061875
paytoga01,0.023,36,0.9438202247191011,0.9438202247191011,2780,33.095,0.102,16.313,1,0,5.9075
kukocto01,0.04,36,0.6463414634146342,0.07317073170731707,1099,20.736,0.066,12.8,0,0,1.511125
pargoja01,0.018,25,0.42045454545454547,0.0,529,14.297,0.021,13.096,1,0,0.2314375
barnema02,0.014,24,0.524390243902439,0.10975609756097561,715,16.628,0.027,9.0,1,0,0.4021875
randoza01,0.215,23,0.5609756097560976,0.45121951219512196,1603,34.848,0.093,18.6,0,0,3.1058125000000003
wallage01,0.101,22,0.8536585365853658,0.8292682926829268,2147,30.671,0.054,14.1,0,0,2.415375
jefferi01,0.206,24,0.43023255813953487,0.3953488372093023,1495,40.405,0.085,17.871,1,0,2.6473958333333334
evansre01,0.022,24,0.967741935483871,0.967741935483871,2089,23.211,0.097,14.15,1,0,4.221520833333334
johnsjo02,0.242,23,0.9381443298969072,0.9381443298969072,3595,39.505,0.113,17.116,2,0,8.463229166666666
bonnema01,0.04,24,1.0,0.0,1553,18.939,0.13,14.7,0,0,4.206041666666667
allenra02,0.267,29,0.956989247311828,0.956989247311828,3500,39.326,0.168,24.244,1,2,12.25
stackje01,0.169,30,0.7263157894736842,0.07368421052631578,2020,29.275,0.104,19.962,1,0,4.376666666666666
kaponja01,0.022,23,0.9878048780487805,0.17073170731707318,1491,18.407,0.042,11.8,0,0,1.3046250000000001
