salary_cap_perc
0.257
0.16
0.08
0.011
0.107
0.094
0.085
0.061
0.136
0.015
0.021
0.014
0.086
0.023
0.032
0.233
0.014
0.067
0.019
0.015
0.095
0.121
0.029
0.021
0.097
0.13
0.002
0.034
0.015
0.219
0.012
0.25
0.092
0.004
0.069
0.042
0.138
0.044
0.034
0.037
0.021
0.217
0.172
0.148
0.013
0.003
0.142
0.034
0.25
0.14
0.007
0.087
0.132
0.143
0.152
0.043
0.292
0.023
0.124
0.023
0.231
0.037
0.019
0.052
0.146
0.04
0.093
0.224
0.044
0.044
0.138
0.088
0.023
0.016
0.013
0.195
0.014
0.112
0.018
0.023
0.02
0.021
0.202
0.193
0.043
0.009
0.021
0.016
0.001
0.015
0.052
0.076
0.109
0.113
0.016
0.063
0.328
0.294
0.06
0.023
0.322
0.021
0.202
0.016
0.014
0.139
0.001
0.036
0.051
0.064
0.017
0.054
0.3
0.202
0.04
0.015
0.036
0.046
0.079
0.051
0.031
0.222
0.046
0.096
0.06
0.034
0.037
0.159
0.064
0.216
0.016
0.017
0.003
0.016
0.25
0.065
0.003
0.257
0.02
0.021
0.106
0.081
0.039
0.098
0.118
0.25
0.327
0.007
0.023
0.017
0.35
0.017
0.024
0.043
0.02
0.021
0.1
0.225
0.016
0.038
0.016
0.012
0.154
0.023
0.032
0.033
0.034
0.028
0.052
0.3
0.242
0.003
0.017
0.006
0.25
0.075
0.021
0.017
0.111
0.11
0.017
0.043
0.017
0.014
0.023
0.248
0.021
0.018
0.03
0.123
0.02
0.041
0.054
0.016
0.03
0.023
0.235
0.069
0.095
0.246
0.114
0.3
0.171
0.019
0.056
0.216
0.156
0.001
0.199
0.167
0.021
0.098
0.113
0.1
0.044
0.069
0.177
0.169
0.033
0.02
0.069
0.187
0.023
0.057
0.001
0.044
0.016
0.115
0.095
0.023
0.234
0.021
0.016
0.084
0.017
0.015
0.181
0.232
0.01
0.124
0.085
0.173
0.25
0.015
0.3
0.073
0.119
0.192
0.002
0.01
0.032
0.211
0.05
0.017
0.034
0.166
0.08
0.03
0.053
0.016
0.016
0.077
0.043
0.015
0.17
0.072
0.015
0.006
0.083
0.153
0.106
0.084
0.064
0.03
0.081
0.033
0.023
0.122
0.3
0.02
0.016
0.174
0.05
0.111
0.053
0.013
0.007
0.063
0.043
0.026
0.017
0.028
0.108
0.016
0.036
0.226
0.021
0.172
0.284
0.023
0.016
0.054
0.1
0.012
0.016
0.013
0.06
0.025
0.008
0.015
0.02
0.002
0.182
0.005
0.049
0.187
0.026
0.027
0.332
0.006
0.024
0.032
0.09
0.161
0.021
0.125
0.006
0.238
0.064
0.148
0.002
0.026
0.005
0.117
0.101
0.112
0.034
0.018
0.023
0.042
0.055
0.015
0.021
0.015
0.016
0.233
0.116
0.115
0.042
0.015
0.034
0.044
0.035
0.138
0.204
0.304
0.093
0.052
0.019
0.242
0.02
0.021
0.021
0.023
0.034
0.015
0.106
0.166
0.101
0.044
0.049
0.052
0.095
0.002
0.245
0.144
0.027
0.165
0.016
0.001
0.122
0.161
0.093
0.028
0.136
0.026
0.009
0.078
0.049
0.023
0.143
0.005
0.021
0.23
0.016
0.057
0.134
0.149
0.139
0.3
0.136
0.009
0.054
0.267
0.015
0.062
0.013
0.115
0.046
0.054
0.069
0.021
0.172
0.015
0.165
0.013
0.119
0.048
0.101
0.146
0.015
0.122
0.063
0.033
0.019
0.043
0.025
0.013
0.25
0.043
0.136
0.109
0.068
0.136
0.227
0.014
0.281
0.141
0.224
0.209
0.023
0.014
0.119
0.005
0.019
0.06
0.234
0.16
0.015
0.042
0.155
0.101
0.007
0.023
0.099
0.071
0.076
0.092
0.015
0.132
0.004
0.17
0.02
0.071
0.089
0.284
0.015
0.018
0.024
0.014
0.023
0.023
0.026
0.001
0.127
0.041
0.085
0.067
0.147
0.108
0.18
0.065
0.023
0.016
0.069
0.081
0.121
0.018
0.052
0.019
0.141
0.082
0.024
0.099
0.25
0.016
0.041
0.035
0.021
0.008
0.06
0.016
0.075
0.021
0.142
0.096
0.205
0.015
0.065
0.044
0.148
0.019
0.059
0.04
0.07
0.238
0.044
0.25
0.129
0.02
0.017
0.148
0.024
0.17
0.088
0.169
0.193
0.093
0.012
0.091
0.002
0.038
0.103
0.133
0.044
0.167
0.062
0.235
0.067
0.003
0.013
0.048
0.039
0.017
0.032
0.078
0.019
0.015
0.013
0.014
0.023
0.015
0.023
0.053
0.02
0.163
0.103
0.143
0.002
0.012
0.038
0.002
0.234
0.033
0.126
0.235
0.023
0.014
0.022
0.072
0.296
0.138
0.017
0.052
0.023
0.021
0.142
0.023
0.096
0.024
0.013
0.043
0.308
0.148
0.053
0.265
0.015
0.005
0.09
0.053
0.138
0.002
0.027
0.021
0.009
0.004
0.119
0.085
0.301
0.084
0.1
0.039
0.023
0.046
0.023
0.034
0.229
0.015
0.015
0.044
0.033
0.035
0.025
0.366
0.565
0.048
0.014
0.053
0.073
0.019
0.059
0.015
0.085
0.008
0.016
0.04
0.178
0.016
0.163
0.335
0.006
0.069
0.016
0.117
0.223
0.001
0.161
0.202
0.35
0.005
0.048
0.165
0.052
0.25
0.017
0.012
0.085
0.215
0.147
0.046
0.147
0.065
0.021
0.023
0.122
0.019
0.021
0.023
0.001
0.114
0.08
0.04
0.404
0.015
0.086
0.327
0.02
0.043
0.238
0.017
0.155
0.137
0.036
0.028
0.051
0.214
0.019
0.078
0.176
0.004
0.005
0.088
0.284
0.119
0.071
0.11
0.106
0.031
0.069
0.001
0.233
0.048
0.009
0.234
0.068
0.17
0.123
0.25
0.008
0.006
0.018
0.023
0.019
0.204
0.001
0.114
0.011
0.031
0.003
0.043
0.132
0.186
0.016
0.014
0.057
0.107
0.059
0.105
0.098
0.152
0.001
0.015
0.064
0.194
0.3
0.088
0.067
0.245
0.018
0.087
0.012
0.016
0.112
0.25
0.02
0.024
0.025
0.016
0.071
0.02
0.048
0.063
0.051
0.001
0.021
0.056
0.011
0.017
0.023
0.046
0.126
0.138
0.04
0.187
0.229
0.023
0.014
0.023
0.023
0.25
0.179
0.086
0.178
0.12
0.122
0.096
0.281
0.036
0.021
0.043
0.052
0.037
0.119
0.234
0.052
0.023
0.086
0.023
0.12
0.015
0.057
0.096
0.029
0.091
0.018
0.077
0.075
0.01
0.102
0.105
0.067
0.027
0.042
0.003
0.12
0.069
0.019
0.14
0.017
0.023
0.036
0.127
0.062
0.282
0.044
0.3
0.19
0.066
0.078
0.212
0.015
0.063
0.104
0.167
0.234
0.046
0.033
0.046
0.015
0.267
0.111
0.022
0.007
0.014
0.014
0.015
0.13
0.019
0.016
0.043
0.115
0.008
0.205
0.117
0.017
0.18
0.015
0.04
0.002
0.044
