game,winner,loser
Finals,Los Angeles Lakers,Boston Celtics
Conference Finals,Boston Celtics,Orlando Magic
Conference Finals,Los Angeles Lakers,Phoenix Suns
Conference Semifinals,Boston Celtics,Cleveland Cavaliers
Conference Semifinals,Orlando Magic,Atlanta Hawks
Conference Semifinals,Los Angeles Lakers,Utah Jazz
Conference Semifinals,Phoenix Suns,San Antonio Spurs
Conference First Round,Atlanta Hawks,Milwaukee Bucks
Conference First Round,Boston Celtics,Miami Heat
Conference First Round,Cleveland Cavaliers,Chicago Bulls
Conference First Round,Orlando Magic,Charlotte Bobcats
Conference First Round,Los Angeles Lakers,Oklahoma City Thunder
Conference First Round,Phoenix Suns,Portland Trail Blazers
Conference First Round,San Antonio Spurs,Dallas Mavericks
Conference First Round,Utah Jazz,Denver Nuggets
