game,winner,loser
Finals,Dallas Mavericks,Miami Heat
Conference Finals,Miami Heat,Chicago Bulls
Conference Finals,Dallas Mavericks,Oklahoma City Thunder
Conference Semifinals,Chicago Bulls,Atlanta Hawks
Conference Semifinals,Miami Heat,Boston Celtics
Conference Semifinals,Dallas Mavericks,Los Angeles Lakers
Conference Semifinals,Oklahoma City Thunder,Memphis Grizzlies
Conference First Round,Atlanta Hawks,Orlando Magic
Conference First Round,Boston Celtics,New York Knicks
Conference First Round,Chicago Bulls,Indiana Pacers
Conference First Round,Miami Heat,Philadelphia 76ers
Conference First Round,Dallas Mavericks,Portland Trail Blazers
Conference First Round,Los Angeles Lakers,New Orleans Hornets
Conference First Round,Memphis Grizzlies,San Antonio Spurs
Conference First Round,Oklahoma City Thunder,Denver Nuggets
