game,winner,loser
Finals,Milwaukee Bucks,Phoenix Suns
Conference Finals,Milwaukee Bucks,Atlanta Hawks
Conference Finals,Phoenix Suns,Los Angeles Clippers
Conference Semifinals,Atlanta Hawks,Philadelphia 76ers
Conference Semifinals,Milwaukee Bucks,Brooklyn Nets
Conference Semifinals,Los Angeles Clippers,Utah Jazz
Conference Semifinals,Phoenix Suns,Denver Nuggets
Conference First Round,Atlanta Hawks,New York Knicks
Conference First Round,Brooklyn Nets,Boston Celtics
Conference First Round,Milwaukee Bucks,Miami Heat
Conference First Round,Philadelphia 76ers,Washington Wizards
Conference First Round,Denver Nuggets,Portland Trail Blazers
Conference First Round,Los Angeles Clippers,Dallas Mavericks
Conference First Round,Phoenix Suns,Los Angeles Lakers
Conference First Round,Utah Jazz,Memphis Grizzlies
