game,winner,loser
Finals,San Antonio Spurs,New Jersey Nets
Conference Finals,New Jersey Nets,Detroit Pistons
Conference Finals,San Antonio Spurs,Dallas Mavericks
Conference Semifinals,Detroit Pistons,Philadelphia 76ers
Conference Semifinals,New Jersey Nets,Boston Celtics
Conference Semifinals,Dallas Mavericks,Sacramento Kings
Conference Semifinals,San Antonio Spurs,Los Angeles Lakers
Conference First Round,Boston Celtics,Indiana Pacers
Conference First Round,Detroit Pistons,Orlando Magic
Conference First Round,New Jersey Nets,Milwaukee Bucks
Conference First Round,Philadelphia 76ers,New Orleans Hornets
Conference First Round,Dallas Mavericks,Portland Trail Blazers
Conference First Round,Los Angeles Lakers,Minnesota Timberwolves
Conference First Round,Sacramento Kings,Utah Jazz
Conference First Round,San Antonio Spurs,Phoenix Suns
