game,winner,loser
Finals,Golden State Warriors,Cleveland Cavaliers
Conference Finals,Cleveland Cavaliers,Atlanta Hawks
Conference Finals,Golden State Warriors,Houston Rockets
Conference Semifinals,Atlanta Hawks,Washington Wizards
Conference Semifinals,Cleveland Cavaliers,Chicago Bulls
Conference Semifinals,Golden State Warriors,Memphis Grizzlies
Conference Semifinals,Houston Rockets,Los Angeles Clippers
Conference First Round,Atlanta Hawks,Brooklyn Nets
Conference First Round,Chicago Bulls,Milwaukee Bucks
Conference First Round,Cleveland Cavaliers,Boston Celtics
Conference First Round,Washington Wizards,Toronto Raptors
Conference First Round,Golden State Warriors,New Orleans Pelicans
Conference First Round,Houston Rockets,Dallas Mavericks
Conference First Round,Los Angeles Clippers,San Antonio Spurs
Conference First Round,Memphis Grizzlies,Portland Trail Blazers
