game,winner,loser
Finals,Los Angeles Lakers,Orlando Magic
Conference Finals,Orlando Magic,Cleveland Cavaliers
Conference Finals,Los Angeles Lakers,Denver Nuggets
Conference Semifinals,Cleveland Cavaliers,Atlanta Hawks
Conference Semifinals,Orlando Magic,Boston Celtics
Conference Semifinals,Denver Nuggets,Dallas Mavericks
Conference Semifinals,Los Angeles Lakers,Houston Rockets
Conference First Round,Atlanta Hawks,Miami Heat
Conference First Round,Boston Celtics,Chicago Bulls
Conference First Round,Cleveland Cavaliers,Detroit Pistons
Conference First Round,Orlando Magic,Philadelphia 76ers
Conference First Round,Dallas Mavericks,San Antonio Spurs
Conference First Round,Denver Nuggets,New Orleans Hornets
Conference First Round,Houston Rockets,Portland Trail Blazers
Conference First Round,Los Angeles Lakers,Utah Jazz
