game,winner,loser
Finals,Miami Heat,San Antonio Spurs
Conference Finals,Miami Heat,Indiana Pacers
Conference Finals,San Antonio Spurs,Memphis Grizzlies
Conference Semifinals,Indiana Pacers,New York Knicks
Conference Semifinals,Miami Heat,Chicago Bulls
Conference Semifinals,Memphis Grizzlies,Oklahoma City Thunder
Conference Semifinals,San Antonio Spurs,Golden State Warriors
Conference First Round,Chicago Bulls,Brooklyn Nets
Conference First Round,Indiana Pacers,Atlanta Hawks
Conference First Round,Miami Heat,Milwaukee Bucks
Conference First Round,New York Knicks,Boston Celtics
Conference First Round,Golden State Warriors,Denver Nuggets
Conference First Round,Memphis Grizzlies,Los Angeles Clippers
Conference First Round,Oklahoma City Thunder,Houston Rockets
Conference First Round,San Antonio Spurs,Los Angeles Lakers
