game,winner,loser
Finals,Golden State Warriors,Boston Celtics
Conference Finals,Boston Celtics,Miami Heat
Conference Finals,Golden State Warriors,Dallas Mavericks
Conference Semifinals,Boston Celtics,Milwaukee Bucks
Conference Semifinals,Miami Heat,Philadelphia 76ers
Conference Semifinals,Dallas Mavericks,Phoenix Suns
Conference Semifinals,Golden State Warriors,Memphis Grizzlies
Conference First Round,Boston Celtics,Brooklyn Nets
Conference First Round,Miami Heat,Atlanta Hawks
Conference First Round,Milwaukee Bucks,Chicago Bulls
Conference First Round,Philadelphia 76ers,Toronto Raptors
Conference First Round,Dallas Mavericks,Utah Jazz
Conference First Round,Golden State Warriors,Denver Nuggets
Conference First Round,Memphis Grizzlies,Minnesota Timberwolves
Conference First Round,Phoenix Suns,New Orleans Pelicans
