game,winner,loser
Finals,Cleveland Cavaliers,Golden State Warriors
Conference Finals,Cleveland Cavaliers,Toronto Raptors
Conference Finals,Golden State Warriors,Oklahoma City Thunder
Conference Semifinals,Cleveland Cavaliers,Atlanta Hawks
Conference Semifinals,Toronto Raptors,Miami Heat
Conference Semifinals,Golden State Warriors,Portland Trail Blazers
Conference Semifinals,Oklahoma City Thunder,San Antonio Spurs
Conference First Round,Atlanta Hawks,Boston Celtics
Conference First Round,Cleveland Cavaliers,Detroit Pistons
Conference First Round,Miami Heat,Charlotte Hornets
Conference First Round,Toronto Raptors,Indiana Pacers
Conference First Round,Golden State Warriors,Houston Rockets
Conference First Round,Oklahoma City Thunder,Dallas Mavericks
Conference First Round,Portland Trail Blazers,Los Angeles Clippers
Conference First Round,San Antonio Spurs,Memphis Grizzlies
