game,winner,loser
Finals,Los Angeles Lakers,Philadelphia 76ers
Conference Finals,Philadelphia 76ers,Milwaukee Bucks
Conference Finals,Los Angeles Lakers,San Antonio Spurs
Conference Semifinals,Milwaukee Bucks,Charlotte Hornets
Conference Semifinals,Philadelphia 76ers,Toronto Raptors
Conference Semifinals,Los Angeles Lakers,Sacramento Kings
Conference Semifinals,San Antonio Spurs,Dallas Mavericks
Conference First Round,Charlotte Hornets,Miami Heat
Conference First Round,Milwaukee Bucks,Orlando Magic
Conference First Round,Philadelphia 76ers,Indiana Pacers
Conference First Round,Toronto Raptors,New York Knicks
Conference First Round,Dallas Mavericks,Utah Jazz
Conference First Round,Los Angeles Lakers,Portland Trail Blazers
Conference First Round,Sacramento Kings,Phoenix Suns
Conference First Round,San Antonio Spurs,Minnesota Timberwolves
