Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
138,Malik Rose,PF,28,SAS,24,0,23.3,3.1,7.5,.419,0.0,0.1,.000,3.1,7.3,.426,.419,3.0,3.9,.766,2.0,3.7,5.8,1.0,0.7,0.5,1.8,3.0,9.3,rosema01
139,Kareem Rush,PG,22,LAL,9,0,7.1,1.2,3.2,.379,0.4,1.2,.364,0.8,2.0,.389,.448,0.4,0.4,1.000,0.2,0.1,0.3,0.2,0.1,0.0,0.3,0.2,3.3,rushka01
140,Arvydas Sabonis*,C,38,POR,6,1,14.3,4.0,6.0,.667,0.0,0.0,,4.0,6.0,.667,.667,2.0,2.5,.800,1.0,3.0,4.0,0.8,0.7,0.7,1.0,2.3,10.0,sabonar01
141,John Salmons,PG,23,PHI,6,0,2.7,0.0,0.2,.000,0.0,0.2,.000,0.0,0.0,,.000,0.0,0.3,.000,0.0,0.5,0.5,0.0,0.0,0.0,0.3,0.0,0.0,salmojo01
142,Jeryl Sasser,SG,23,ORL,6,0,4.2,0.3,1.2,.286,0.2,0.7,.250,0.2,0.5,.333,.357,0.0,0.0,,0.2,0.7,0.8,0.2,0.2,0.2,0.2,0.2,0.8,sasseje01
143,Brian Scalabrine,PF,24,NJN,7,0,2.9,0.3,0.6,.500,0.0,0.1,.000,0.3,0.4,.667,.500,0.0,0.0,,0.1,0.4,0.6,0.0,0.0,0.0,0.1,0.4,0.6,scalabr01
144,Brian Shaw,PG,36,LAL,12,1,17.9,1.3,4.1,.306,0.5,2.2,.231,0.8,1.9,.391,.367,0.2,0.3,.667,0.1,3.1,3.2,2.0,0.3,0.4,0.8,1.5,3.2,shawbr01
145,Brian Skinner,PF,26,PHI,8,0,4.8,0.1,0.8,.167,0.0,0.1,.000,0.1,0.6,.200,.167,0.5,0.5,1.000,0.4,0.4,0.8,0.0,0.0,0.1,0.3,0.8,0.8,skinnbr01
146,Tamar Slay,SG,22,NJN,6,0,1.8,0.2,0.7,.250,0.2,0.2,1.000,0.0,0.5,.000,.375,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.2,0.5,slayta01
147,Joe Smith,SF,27,MIN,5,1,8.0,0.8,1.2,.667,0.0,0.0,,0.8,1.2,.667,.667,1.2,1.2,1.000,0.0,1.2,1.2,0.0,0.2,0.2,0.6,2.8,2.8,smithjo02
148,Steve Smith,SG,33,SAS,9,0,7.3,0.6,2.7,.208,0.2,1.3,.167,0.3,1.3,.250,.250,0.4,0.4,1.000,0.1,0.7,0.8,0.7,0.1,0.0,0.2,0.3,1.8,smithst01
149,Eric Snow,PG,29,PHI,12,12,34.6,3.6,8.5,.422,0.1,0.8,.100,3.5,7.7,.457,.426,4.3,4.8,.879,0.8,2.6,3.3,5.6,1.5,0.0,2.5,3.9,11.5,snower01
150,DeShawn Stevenson,SG,21,UTA,4,0,9.3,1.5,3.8,.400,0.0,0.5,.000,1.5,3.3,.462,.400,1.5,1.5,1.000,0.5,1.3,1.8,1.0,0.3,0.0,0.0,0.8,4.5,stevede01
151,John Stockton*,PG,40,UTA,5,5,29.8,3.6,7.8,.462,0.0,0.2,.000,3.6,7.6,.474,.462,4.0,4.0,1.000,1.0,2.2,3.2,5.2,1.6,0.2,2.8,2.6,11.2,stockjo01
152,Peja Stojaković,SF,25,SAC,12,12,40.5,8.1,16.8,.480,2.7,5.8,.457,5.4,11.0,.492,.559,4.3,5.0,.850,1.4,5.5,6.9,2.5,0.8,0.4,1.0,2.8,23.1,stojape01
153,Damon Stoudamire,PG,29,POR,7,6,33.1,5.1,11.3,.456,2.1,4.4,.484,3.0,6.9,.438,.551,2.9,3.0,.952,1.0,4.1,5.1,5.6,0.9,0.3,1.7,3.1,15.3,stoudda01
154,Amar'e Stoudemire,PF,20,PHO,6,6,33.8,5.7,10.8,.523,0.2,0.2,1.000,5.5,10.7,.516,.531,2.7,4.7,.571,2.7,5.2,7.8,1.2,1.7,1.5,3.2,4.7,14.2,stoudam01
155,Erick Strickland,SG,29,IND,5,0,8.4,1.2,2.8,.429,0.2,1.0,.200,1.0,1.8,.556,.464,1.6,2.0,.800,0.6,0.8,1.4,1.6,0.2,0.0,0.2,0.8,4.2,stricer01
156,Rod Strickland,PG,36,MIN,6,0,12.2,1.8,3.5,.524,0.0,0.0,,1.8,3.5,.524,.524,1.0,1.0,1.000,0.0,1.0,1.0,2.8,0.7,0.3,1.3,0.8,4.7,stricro02
157,Wally Szczerbiak,SF,25,MIN,6,6,42.0,4.8,10.2,.475,0.5,2.3,.214,4.3,7.8,.553,.500,4.3,5.0,.867,1.0,4.0,5.0,2.2,1.0,0.2,3.0,3.2,14.5,szczewa02
158,Kenny Thomas,PF,25,PHI,12,12,32.4,4.5,8.4,.535,0.0,0.0,,4.5,8.4,.535,.535,1.6,2.4,.655,3.5,5.8,9.3,0.9,0.7,0.4,1.6,3.5,10.6,thomake01
159,Tim Thomas,SF,25,MIL,6,5,31.8,6.0,13.0,.462,2.0,3.5,.571,4.0,9.5,.421,.538,3.8,5.3,.719,1.3,3.5,4.8,1.3,0.5,1.0,1.3,4.5,17.8,thomati01
160,Jamaal Tinsley,PG,24,IND,6,6,30.8,3.3,5.8,.571,1.3,2.2,.615,2.0,3.7,.545,.686,0.5,1.0,.500,1.0,2.0,3.0,6.5,0.7,0.0,1.3,3.3,8.5,tinslja01
161,Robert Traylor,C,25,NOH,6,0,15.7,1.7,3.7,.455,0.0,0.0,,1.7,3.7,.455,.455,0.2,0.7,.250,1.8,3.2,5.0,0.7,0.5,0.8,1.0,2.8,3.5,traylro01
162,Gary Trent,SF,28,MIN,6,0,7.0,0.8,2.3,.357,0.0,0.0,,0.8,2.3,.357,.357,0.7,1.0,.667,0.7,0.5,1.2,0.2,0.2,0.0,0.7,1.0,2.3,trentga01
163,Hedo Türkoğlu,SF,23,SAC,10,5,17.4,1.8,5.0,.360,0.4,1.4,.286,1.4,3.6,.389,.400,1.3,1.8,.722,0.5,2.4,2.9,1.4,1.2,0.5,0.5,1.9,5.3,turkohe01
164,Nick Van Exel,SG,31,DAL,20,3,33.6,7.5,16.3,.460,2.2,5.6,.393,5.3,10.7,.495,.528,2.3,3.2,.703,0.9,2.5,3.4,4.1,0.6,0.0,2.0,2.4,19.5,vanexni01
165,Keith Van Horn,PF,27,PHI,12,12,33.5,3.5,9.2,.382,1.2,2.7,.438,2.3,6.5,.359,.445,2.3,2.5,.900,2.0,5.5,7.5,0.8,0.8,0.2,2.2,3.4,10.4,vanhoke01
166,Jacque Vaughn,PG,27,ORL,7,6,18.7,1.7,4.7,.364,0.0,0.1,.000,1.7,4.6,.375,.364,1.4,1.9,.769,0.1,0.7,0.9,3.6,0.6,0.1,1.3,2.6,4.9,vaughja01
167,Jake Voskuhl,C,25,PHO,6,0,16.3,2.0,2.8,.706,0.0,0.0,,2.0,2.8,.706,.706,2.0,2.2,.923,1.5,2.2,3.7,0.3,0.7,0.7,1.0,3.5,6.0,voskuja01
168,Antoine Walker,PF,26,BOS,10,10,44.0,7.3,17.6,.415,1.6,4.5,.356,5.7,13.1,.435,.460,1.1,2.2,.500,2.0,6.7,8.7,4.3,1.7,0.4,3.7,4.4,17.3,walkean02
169,Samaki Walker,C,26,LAL,9,0,5.4,0.2,0.6,.400,0.0,0.0,,0.2,0.6,.400,.400,0.0,0.0,,0.4,1.0,1.4,0.2,0.1,0.2,0.3,1.2,0.4,walkesa01
170,Ben Wallace*,C,28,DET,17,17,42.5,3.1,6.4,.486,0.0,0.1,.000,3.1,6.4,.491,.486,2.6,5.9,.446,5.1,11.2,16.3,1.6,2.5,3.1,0.9,2.9,8.9,wallabe01
171,Gerald Wallace,SF,20,SAC,7,0,2.6,0.3,0.7,.400,0.0,0.0,,0.3,0.7,.400,.400,0.3,0.3,1.000,0.0,0.7,0.7,0.0,0.0,0.1,0.3,0.6,0.9,wallage01
172,Rasheed Wallace,PF,28,POR,7,7,37.1,6.3,13.9,.454,2.0,5.0,.400,4.3,8.9,.484,.526,2.9,4.0,.714,1.4,3.7,5.1,2.6,0.6,0.7,0.9,3.7,17.4,wallara01
173,Chris Webber*,PF,29,SAC,7,7,35.1,9.6,19.3,.496,0.0,0.4,.000,9.6,18.9,.508,.496,4.6,7.0,.653,2.6,5.7,8.3,3.6,1.4,1.1,3.3,3.6,23.7,webbech01
174,Bonzi Wells,SG,26,POR,7,7,38.3,7.0,17.7,.395,1.3,4.3,.300,5.7,13.4,.426,.431,3.7,5.6,.667,2.0,4.9,6.9,3.7,2.1,0.4,3.0,4.3,19.0,wellsbo01
175,David Wesley,SG,32,NOH,6,6,30.8,4.8,12.0,.403,2.3,5.7,.412,2.5,6.3,.395,.500,1.2,1.2,1.000,0.2,1.0,1.2,2.2,0.8,0.2,2.5,3.8,13.2,wesleda01
176,Chris Whitney,PG,31,ORL,7,0,15.9,1.1,3.0,.381,0.6,1.3,.444,0.6,1.7,.333,.476,0.3,0.3,1.000,0.4,1.1,1.6,1.0,0.3,0.3,0.3,3.0,3.1,whitnch01
177,Mike Wilks,PG,23,MIN,4,0,1.8,0.3,0.5,.500,0.3,0.3,1.000,0.0,0.3,.000,.750,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,wilksmi01
178,Aaron Williams,C,31,NJN,19,0,17.9,2.6,5.6,.472,0.0,0.0,,2.6,5.6,.472,.472,1.2,1.6,.742,1.7,2.8,4.6,0.9,0.3,0.9,0.7,2.8,6.5,williaa01
179,Eric Williams,SF,30,BOS,10,2,31.0,3.3,8.8,.375,0.3,1.5,.200,3.0,7.3,.411,.392,2.7,3.4,.794,1.2,2.0,3.2,1.7,0.9,0.0,1.2,4.2,9.6,willier01
180,Monty Williams,SF,31,PHI,10,0,9.6,0.8,2.3,.348,0.0,0.1,.000,0.8,2.2,.364,.348,0.3,0.4,.750,0.7,0.8,1.5,0.0,0.2,0.0,0.4,1.2,1.9,willimo01
181,Scott Williams,C,34,PHO,6,6,13.8,1.8,5.3,.344,0.0,0.0,,1.8,5.3,.344,.344,0.3,0.3,1.000,1.0,1.5,2.5,0.2,0.7,0.5,0.2,2.8,4.0,willisc01
182,Walt Williams,SF,32,DAL,15,3,15.1,2.1,5.4,.395,0.9,2.7,.341,1.2,2.7,.450,.481,0.5,0.5,1.000,0.8,2.1,2.9,1.0,0.3,0.8,1.1,1.9,5.7,williwa02
183,Corliss Williamson,SF,29,DET,15,0,15.5,2.5,6.0,.411,0.0,0.0,,2.5,6.0,.411,.411,2.9,3.9,.741,0.9,1.3,2.2,1.0,0.3,0.2,1.3,2.5,7.8,willico02
184,Kevin Willis,C,40,SAS,18,0,5.1,1.2,2.2,.525,0.1,0.1,1.000,1.1,2.2,.513,.538,0.2,0.2,1.000,1.1,0.7,1.7,0.1,0.1,0.1,0.4,0.9,2.6,willike02
185,Loren Woods,C,24,MIN,2,0,1.0,0.5,1.5,.333,0.0,0.0,,0.5,1.5,.333,.333,0.0,0.0,,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,woodslo01
186,Qyntel Woods,PF,21,POR,4,0,4.5,0.8,2.3,.333,0.0,0.3,.000,0.8,2.0,.375,.333,0.3,0.5,.500,0.3,0.3,0.5,0.0,0.0,0.0,0.3,0.8,1.8,woodsqy01
187,Metta World Peace,SF,23,IND,6,6,42.0,5.8,15.0,.389,2.0,5.2,.387,3.8,9.8,.390,.456,5.3,6.7,.800,1.8,4.0,5.8,2.2,2.5,1.0,2.7,4.2,19.0,artesro01
