Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
52,Devean George,SF,25,LAL,11,7,28.9,3.2,7.1,.449,0.9,2.7,.333,2.3,4.4,.521,.513,0.7,0.8,.889,1.0,3.5,4.5,2.2,1.0,0.4,1.1,2.6,8.0,georgde01
53,Kendall Gill,SG,34,MIN,6,0,19.7,1.7,4.5,.370,0.3,0.7,.500,1.3,3.8,.348,.407,1.5,2.3,.643,1.0,1.2,2.2,1.2,0.7,0.2,0.7,2.0,5.2,gillke01
54,Manu Ginóbili*,SG,25,SAS,24,0,27.5,3.0,7.7,.386,1.2,3.0,.384,1.8,4.6,.387,.462,2.3,3.1,.757,1.2,2.6,3.8,2.9,1.7,0.4,1.5,2.6,9.4,ginobma01
55,Gordan Giriček,SF,25,ORL,7,7,31.9,3.7,8.0,.464,0.7,2.1,.333,3.0,5.9,.512,.509,1.3,1.6,.818,0.6,2.6,3.1,1.0,0.3,0.1,1.9,3.9,9.4,giricgo01
56,Drew Gooden,PF,21,ORL,7,7,33.4,5.1,12.9,.400,0.0,0.4,.000,5.1,12.4,.414,.400,3.7,5.1,.722,4.0,8.7,12.7,0.6,0.4,0.9,1.7,3.3,14.0,goodedr01
57,Adrian Griffin,SG,28,DAL,15,2,8.7,1.1,2.7,.415,0.1,0.2,.333,1.1,2.5,.421,.427,0.1,0.1,1.000,1.1,1.8,2.9,0.5,0.3,0.0,0.6,1.6,2.5,griffad01
58,Tom Gugliotta,PF,33,PHO,2,0,5.0,1.0,2.0,.500,0.0,0.0,,1.0,2.0,.500,.500,0.5,1.0,.500,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.5,guglito01
59,Marcus Haislip,PF,22,MIL,2,1,12.0,2.0,3.0,.667,0.0,0.0,,2.0,3.0,.667,.667,1.0,2.0,.500,1.0,1.0,2.0,1.0,1.0,0.5,0.5,2.5,5.0,haislma01
60,Richard Hamilton,SG,24,DET,17,17,38.8,7.9,17.8,.442,0.5,1.6,.333,7.4,16.2,.453,.457,6.2,6.9,.906,1.1,2.8,3.9,2.6,0.8,0.1,3.4,3.0,22.5,hamilri01
61,Anfernee Hardaway,SG,31,PHO,6,6,40.7,4.5,11.7,.386,1.5,4.2,.360,3.0,7.5,.400,.450,2.2,3.0,.722,1.5,4.5,6.0,4.3,2.2,0.8,2.2,4.3,12.7,hardaan01
