PLAYER;2013/14
Kobe Bryant;$30,453,000
Dirk Nowitzki;$22,721,381
Gilbert Arenas;$22,346,536
Amare Stoudemire;$21,679,893
Carmelo Anthony;$21,490,000
Joe Johnson;$21,466,718
Dwight Howard;$20,513,178
Pau Gasol;$19,285,850
LeBron James;$19,067,500
Chris Bosh;$19,067,500
Kevin Durant;$18,773,176
Chris Paul;$18,668,431
Dwyane Wade;$18,536,000
Deron Williams;$18,466,130
Rudy Gay;$17,888,932
Zach Randolph;$17,800,000
Brandon Roy;$17,779,458
Derrick Rose;$17,632,688
Blake Griffin;$16,402,500
Paul Pierce;$15,333,334
Carlos Boozer;$15,300,000
Marc Gasol;$14,860,523
Brook Lopez;$14,694,000
Russell Westbrook;$14,693,906
Kevin Love;$14,693,906
Emeka Okafor;$14,544,687
Danny Granger;$14,379,240
Luol Deng;$14,312,125
Eric Gordon;$14,283,844
Roy Hibbert;$14,283,844
Andrew Bogut;$14,200,000
Tyson Chandler;$14,100,538
LaMarcus Aldridge;$14,100,000
Josh Smith;$14,000,000
David Lee;$13,878,000
James Harden;$13,668,750
Al Jefferson;$13,500,000
Ben Gordon;$13,200,000
Nen?;$13,000,000
Andre Iguodala;$12,868,632
Tony Parker;$12,500,000
Serge Ibaka;$12,250,000
Nikola Pekovic;$12,100,000
David West;$12,000,000
Kris Humphries;$12,000,000
Rajon Rondo;$12,000,000
Al Horford;$12,000,000
Tyreke Evans;$11,796,247
Joakim Noah;$11,600,000
Kevin Garnett;$11,532,468
Richard Jefferson;$11,046,000
Andrea Bargnani;$11,000,000
Jrue Holiday;$11,000,000
DeAndre Jordan;$10,986,550
Nicolas Batum;$10,920,250
Ty Lawson;$10,786,517
JaVale McGee;$10,750,000
Tim Duncan;$10,361,446
Danilo Gallinari;$10,146,925
Gerald Wallace;$10,105,855
Tiago Splitter;$10,000,000
Stephen Curry;$9,887,642
DeMar DeRozan;$9,500,000
Paul Millsap;$9,500,000
Metta World Peace;$9,317,280
Shawn Marion;$9,316,796
Steve Nash;$9,300,500
Andray Blatche;$9,170,525
Anderson Varejao;$9,100,000
Andris Biedrins;$9,000,000
Jeff Green;$8,700,000
Tyrus Thomas;$8,694,215
Thaddeus Young;$8,600,000
Jameer Nelson;$8,600,000
Charlie Villanueva;$8,580,000
Al Harrington;$8,548,107
Rodney Stuckey;$8,500,000
Kendrick Perkins;$8,477,437
Caron Butler;$8,386,992
Monta Ellis;$8,360,000
Ryan Anderson;$8,308,500
Marcus Thornton;$8,165,000
OJ Mayo;$8,000,000
George Hill;$8,000,000
Jeff Teague;$8,000,000
Ersan Ilyasova;$7,900,000
Mike Conley;$7,900,000
Marcin Gortat;$7,727,280
Trevor Ariza;$7,727,280
Brandon Jennings;$7,655,503
Mike Miller;$7,599,507
John Salmons;$7,580,000
Arron Afflalo;$7,562,500
Taj Gibson;$7,550,000
Marvin Williams;$7,500,000
Goran Dragic;$7,500,000
John Wall;$7,459,924
Josh Childress;$7,405,833
Tayshaun Prince;$7,235,955
Drew Gooden;$7,091,619
Brendan Haywood;$7,073,500
Michael Beasley;$7,027,424
Manu Ginobili;$7,000,000
Andrew Bynum;$7,000,000
Wesley Matthews;$6,875,480
Jose Calderon;$6,791,570
Kyle Korver;$6,760,563
Carl Landry;$6,750,000
Glen Davis;$6,750,000
Brandon Bass;$6,750,000
Evan Turner;$6,679,866
Hidayet Turkoglu;$6,650,359
Amir Johnson;$6,500,000
Kevin Martin;$6,500,000
JJ Redick;$6,500,000
Spencer Hawes;$6,500,000
Channing Frye;$6,400,000
Wilson Chandler;$6,344,164
Jarrett Jack;$6,300,000
Chris Andersen;$6,217,507
Kyle Lowry;$6,210,000
Jason Richardson;$6,204,250
Derrick Favors;$6,008,106
Gerald Henderson;$6,000,000
Kyrie Irving;$5,915,880
Chuck Hayes;$5,722,500
Jason Thompson;$5,643,750
JR Smith;$5,565,000
Anthony Davis;$5,375,760
Anthony Bennett;$5,324,280
Derrick Williams;$5,293,080
Landry Fields;$5,225,000
Jason Terry;$5,225,000
Courtney Lee;$5,225,000
Jamal Crawford;$5,225,000
Omer Asik;$5,225,000
Jeremy Lin;$5,225,000
Louis Williams;$5,225,000
Zaza Pachulia;$5,200,000
Martell Webster;$5,150,000
JJ Hickson;$5,150,000
Robin Lopez;$5,119,761
Keith Bogans;$5,058,198
Andre Miller;$5,000,000
Chase Budinger;$5,000,000
Ramon Sessions;$5,000,000
Tony Allen;$5,000,000
Brandan Wright;$5,000,000
DeMarcus Cousins;$4,916,973
Michael Kidd-Gilchrist;$4,809,840
Victor Oladipo;$4,763,760
Enes Kanter;$4,753,320
Boris Diaw;$4,702,500
Jose Juan Barea;$4,687,000
Linas Kleiza;$4,600,000
Luc Mbah a Moute;$4,588,384
Corey Brewer;$4,500,000
Luis Scola;$4,500,000
Jonas Jerebko;$4,500,000
Ekpe Udoh;$4,469,547
Timofey Mozgov;$4,400,000
Earl Clark;$4,361,518
Udonis Haslem;$4,340,000
Luke Ridnour;$4,320,000
Bradley Beal;$4,319,280
Tristan Thompson;$4,285,560
Otto Porter;$4,278,000
Jared Dudley;$4,250,000
Quentin Richardson;$4,208,107
Raymond Felton;$4,180,000
Greg Monroe;$4,086,453
Kirk Hinrich;$4,059,000
Ricky Rubio;$4,002,120
Brandon Rush;$4,000,000
Mario Chalmers;$4,000,000
Ian Mahinmi;$4,000,000
Steve Blake;$4,000,000
Elton Brand;$4,000,000
Matt Bonner;$3,945,000
Thabo Sefolosha;$3,900,000
Dion Waiters;$3,894,240
Cody Zeller;$3,857,040
Joel Anthony;$3,800,000
Danny Green;$3,762,500
Steve Novak;$3,750,001
Samuel Dalembert;$3,700,748
Al-Farouq Aminu;$3,700,000
Jonas Valanciunas;$3,526,440
Thomas Robinson;$3,526,440
Jan Vesely;$3,524,880
Gerald Green;$3,500,000
Jordan Hill;$3,500,000
Marreese Speights;$3,500,000
Alex Len;$3,492,720
Gordon Hayward;$3,452,183
Marcus Camby;$3,383,773
Paul George;$3,282,003
Shane Battier;$3,270,000
Carlos Delfino;$3,250,000
Matt Barnes;$3,250,000
Alonzo Gee;$3,250,000
Gary Neal;$3,250,000
Klay Thompson;$3,245,151
Darrell Arthur;$3,231,683
Ray Allen;$3,229,050
Mirza Teletovic;$3,229,050
Bismack Biyombo;$3,217,680
Damian Lillard;$3,202,920
Tyler Hansbrough;$3,183,000
Chris Kaman;$3,183,000
Andrei Kirilenko;$3,183,000
