PLAYER;2007/08
Kevin Garnett;$23,750,000
Michael Finley;$21,696,750
Shaquille O'Neal;$20,000,000
Jermaine O'Neal;$19,728,000
Jason Kidd;$19,728,000
Chris Webber;$19,602,173
Kobe Bryant;$19,490,625
Tim Duncan;$19,014,188
Tracy McGrady;$19,014,187
Stephon Marbury;$19,012,500
Allen Iverson;$19,012,500
Steve Francis;$17,500,000
Shawn Marion;$16,440,000
Baron Davis;$16,440,000
Antawn Jamison;$16,360,094
Dirk Nowitzki;$16,360,094
Paul Pierce;$16,360,094
Ray Allen;$16,000,000
Ben Wallace;$15,500,000
Elton Brand;$15,344,000
Rashard Lewis;$14,880,000
Michael Redd;$14,520,000
Amare Stoudemire;$13,762,775
Yao Ming;$13,762,775
Andrei Kirilenko;$13,735,000
Pau Gasol;$13,735,000
Mike Bibby;$13,500,000
Joe Johnson;$13,488,377
Zach Randolph;$13,333,333
Vince Carter;$13,320,000
Kenyon Martin;$13,250,000
Lamar Odom;$13,248,596
Dwyane Wade;$13,041,250
Carmelo Anthony;$13,041,250
LeBron James;$13,041,250
Wally Szczerbiak;$12,775,000
Rasheed Wallace;$12,540,000
Chris Bosh;$12,455,000
Raef LaFrentz;$12,440,787
Richard Jefferson;$12,200,000
Larry Hughes;$12,000,084
Gilbert Arenas;$11,950,400
Theo Ratliff;$11,666,666
Predrag Stojakovic;$11,664,000
Steve Nash;$11,375,000
Carlos Boozer;$11,260,483
Marcus Camby;$11,250,000
Kirk Hinrich;$11,250,000
Jason Richardson;$11,111,110
Derek Fisher;$10,723,900
David West;$10,650,000
Erick Dampier;$10,590,500
Tony Parker;$10,500,000
Brad Miller;$10,500,000
Samuel Dalembert;$10,250,000
Tyson Chandler;$10,250,000
Adonal Foyle;$10,157,090
Zydrunas Ilgauskas;$10,142,156
Richard Hamilton;$10,000,000
Chauncey Billups;$10,000,000
Gerald Wallace;$9,500,000
Andre Miller;$9,366,666
Bobby Simmons;$9,280,000
Troy Murphy;$9,206,349
Manu Ginobili;$9,079,811
Kwame Brown;$9,075,000
Boris Diaw;$9,000,000
Josh Howard;$9,000,000
Eddy Curry;$8,947,543
Jason Williams;$8,937,500
Jason Terry;$8,898,000
Nen?;$8,840,000
Tayshaun Prince;$8,675,620
Chris Kaman;$8,600,000
Mehmet Okur;$8,500,000
Andres Nocioni;$8,500,000
Al Harrington;$8,425,625
Mike Miller;$8,376,194
Cuttino Mobley;$8,350,000
Antoine Walker;$8,329,640
Darius Miles;$8,250,000
Mike Dunleavy;$8,219,008
Caron Butler;$8,218,990
Quentin Richardson;$8,105,500
Juwan Howard;$8,094,997
Kurt Thomas;$8,091,188
TJ Ford;$8,000,000
Jamal Crawford;$7,920,000
Mark Blount;$7,901,040
Kenny Thomas;$7,875,000
Radoslav Nesterovic;$7,840,000
Maurice Williams;$7,750,000
Aaron McKie;$7,750,000
Jerome Williams;$7,639,400
Metta World Peace;$7,400,000
Troy Hudson;$7,172,590
Malik Rose;$7,101,250
Corey Maggette;$7,000,000
Ricky Davis;$6,819,000
Jerry Stackhouse;$6,750,000
Eric Snow;$6,703,125
Stephen Jackson;$6,630,000
Luke Ridnour;$6,500,000
Chris Wilcox;$6,500,000
Darko Milicic;$6,500,000
Drew Gooden;$6,453,416
Etan Thomas;$6,373,900
Hidayet Turkoglu;$6,373,900
Marquis Daniels;$6,373,900
Antonio McDyess;$6,373,900
Speedy Claxton;$6,306,182
Jamaal Tinsley;$6,300,000
Sam Cassell;$6,150,000
Jason Collins;$6,100,000
Dwight Howard;$6,061,274
Marko Jaric;$6,050,000
Udonis Haslem;$6,050,000
Donyell Marshall;$6,016,965
Matt Harpring;$6,000,000
Shane Battier;$5,883,600
Brian Cardinal;$5,850,000
Greg Buckner;$5,830,000
Antonio Daniels;$5,800,000
Shareef Abdur-Rahim;$5,800,000
Earl Watson;$5,800,000
Jerome James;$5,800,000
Stromile Swift;$5,800,000
Joel Przybilla;$5,762,575
Dan Gadzuric;$5,751,130
Nick Collison;$5,750,000
Bobby Jackson;$5,670,000
Jared Jeffries;$5,632,200
Mike James;$5,632,200
Vladimir Radmanovic;$5,632,200
Tim Thomas;$5,632,200
Nazr Mohammed;$5,632,200
Leandro Barbosa;$5,600,000
Brent Barry;$5,544,370
Jeff Foster;$5,500,000
Matt Carroll;$5,450,000
Emeka Okafor;$5,427,307
Jason Kapono;$5,356,000
Mikki Moore;$5,356,000
Morris Peterson;$5,356,000
Anderson Varejao;$5,356,000
Tony Battie;$5,200,000
Joe Smith;$5,200,000
Brendan Haywood;$5,000,000
Desmond Mason;$5,000,000
Andrew Bogut;$4,991,520
Eduardo Najera;$4,952,380
Damon Stoudamire;$4,906,438
Ben Gordon;$4,881,669
Andrea Bargnani;$4,838,880
John Salmons;$4,752,000
Raja Bell;$4,750,000
Greg Oden;$4,662,000
Rafer Alston;$4,550,000
Alvin Williams;$4,516,484
Kendrick Perkins;$4,480,912
Marvin Williams;$4,466,040
Shaun Livingston;$4,404,629
Kyle Korver;$4,400,000
Anthony Parker;$4,350,000
Trenton Hassell;$4,350,000
LaMarcus Aldridge;$4,329,360
Reggie Evans;$4,320,000
Keith Van Horn;$4,300,000
Steve Blake;$4,250,000
Aleksandar Pavlovic;$4,250,000
Damon Jones;$4,172,432
Kevin Durant;$4,171,200
Bruce Bowen;$4,125,000
Carlos Arroyo;$4,100,000
Deron Williams;$4,010,640
Jorge Garbajosa;$4,000,000
Travis Outlaw;$4,000,000
Gordan Giricek;$4,000,000
Luke Walton;$4,000,000
Jamaal Magloire;$4,000,000
Zaza Pachulia;$4,000,000
Devin Harris;$3,995,003
Marcus Banks;$3,966,207
Darius Songaila;$3,942,000
Dan Dickau;$3,916,706
Adam Morrison;$3,887,880
Bob Sura;$3,840,000
Pat Garrity;$3,818,750
Al Horford;$3,745,800
Amir Johnson;$3,666,666
Josh Childress;$3,631,449
Robert Horry;$3,630,000
Chris Paul;$3,615,960
Fabricio Oberto;$3,600,000
Keyon Dooling;$3,596,000
Tyrus Thomas;$3,505,320
Tyronn Lue;$3,500,000
Brian Cook;$3,500,000
Mickael Pietrus;$3,470,770
Kevin Ollie;$3,441,900
Ira Newble;$3,441,900
Mike Conley;$3,377,160
Luol Deng;$3,320,339
Rasual Butler;$3,315,000
Fred Jones;$3,300,000
Raymond Felton;$3,274,440
Lorenzen Wright;$3,250,000
Steven Hunter;$3,248,000
Chris Duhon;$3,248,000
James Posey;$3,206,000
Shelden Williams;$3,174,240
Michael Doleac;$3,120,000
Charlie Bell;$3,100,000
Trevor Ariza;$3,100,000
Willie Green;$3,094,000
Jeff Green;$3,058,200
Francisco Elson;$3,000,000
Jake Voskuhl;$3,000,000
Matt Barnes;$3,000,000
Chucky Atkins;$3,000,000
Brian Scalabrine;$3,000,000
Martell Webster;$2,974,080
Luis Scola;$2,910,000
James Jones;$2,900,000
Damien Wilkins;$2,900,000
Eddie Griffin;$2,900,000
Brandon Roy;$2,883,120
Anthony Johnson;$2,860,000
Andre Iguodala;$2,804,889
Yi Jianlian;$2,777,760
Alonzo Mourning;$2,762,500
Primoz Brezec;$2,750,000
Charlie Villanueva;$2,715,000
Matt Bonner;$2,678,000
Andris Biedrins;$2,636,696
Randy Foye;$2,631,840
Robert Swift;$2,601,113
Sebastian Telfair;$2,562,426
Juan Dixon;$2,550,000
Corey Brewer;$2,535,720
Beno Udrih;$2,535,445
Kris Humphries;$2,522,913
Chris Mihm;$2,500,000
Bostjan Nachbar;$2,500,000
Channing Frye;$2,487,240
Didier Ilunga-Mbenga;$2,483,569
Al Jefferson;$2,480,885
Jose Calderon;$2,471,604
Andray Blatche;$2,470,000
Keith Bogans;$2,440,000
