PLAYER;2012/13
Kobe Bryant;$27,849,000
Brandon Roy;$21,459,805
Dirk Nowitzki;$20,907,128
Gilbert Arenas;$20,807,922
Amare Stoudemire;$19,948,799
Joe Johnson;$19,752,645
Carmelo Anthony;$19,450,000
Dwight Howard;$19,261,200
Pau Gasol;$19,000,000
Elton Brand;$18,160,354
Chris Paul;$17,779,457
Kevin Durant;$17,548,838
Chris Bosh;$17,545,000
LeBron James;$17,545,000
Deron Williams;$17,177,795
Dwyane Wade;$17,024,000
Paul Pierce;$16,790,345
Zach Randolph;$16,500,000
Andrew Bynum;$16,473,002
Rudy Gay;$16,460,532
Derrick Rose;$16,402,500
Rashard Lewis;$15,052,181
Al Jefferson;$15,000,000
Carlos Boozer;$15,000,000
Baron Davis;$14,850,000
Andre Iguodala;$14,718,250
Manu Ginobili;$14,107,492
Marc Gasol;$13,891,359
Russell Westbrook;$13,668,750
Eric Gordon;$13,668,750
Kevin Love;$13,668,750
Roy Hibbert;$13,668,750
Brook Lopez;$13,668,000
Tyson Chandler;$13,604,188
Emeka Okafor;$13,543,250
Luol Deng;$13,326,700
Josh Smith;$13,200,000
Andrew Bogut;$13,150,000
Danny Granger;$13,058,606
Nen?;$13,000,000
LaMarcus Aldridge;$13,000,000
Kevin Martin;$12,939,675
David Lee;$12,744,000
Tony Parker;$12,500,000
Kevin Garnett;$12,467,532
Ben Gordon;$12,400,000
Kris Humphries;$12,000,000
Al Horford;$12,000,000
Nicolas Batum;$11,950,000
Hidayet Turkoglu;$11,815,850
Joakim Noah;$11,050,000
Jose Calderon;$11,046,591
Monta Ellis;$11,000,000
Rajon Rondo;$11,000,000
Corey Maggette;$10,924,138
DeAndre Jordan;$10,532,977
Richard Hamilton;$10,500,000
Richard Jefferson;$10,164,000
Stephen Jackson;$10,060,000
Andrea Bargnani;$10,000,000
David West;$10,000,000
JaVale McGee;$10,000,000
Andrei Kirilenko;$9,779,349
Gerald Wallace;$9,682,435
Tim Duncan;$9,638,554
Danilo Gallinari;$9,439,000
Andris Biedrins;$9,000,000
Steve Nash;$8,900,000
Ryan Anderson;$8,700,000
Shawn Marion;$8,646,364
Jameer Nelson;$8,600,000
Maurice Williams;$8,500,000
Rodney Stuckey;$8,500,000
Devin Harris;$8,500,000
Anderson Varejao;$8,400,000
Brendan Haywood;$8,349,000
Marvin Williams;$8,287,500
Lamar Odom;$8,200,000
Jeff Green;$8,100,000
John Salmons;$8,080,000
Charlie Villanueva;$8,060,000
Thaddeus Young;$8,039,130
Caron Butler;$8,000,000
George Hill;$8,000,000
Chris Kaman;$8,000,000
Tyrus Thomas;$8,000,000
Andray Blatche;$7,972,891
Ersan Ilyasova;$7,900,000
Beno Udrih;$7,810,000
Kendrick Perkins;$7,800,531
Marcus Thornton;$7,632,500
Arron Afflalo;$7,562,500
Goran Dragic;$7,500,000
DeSagana Diop;$7,372,200
Trevor Ariza;$7,258,960
Marcin Gortat;$7,258,960
Metta World Peace;$7,258,960
Blake Griffin;$7,226,891
Paul Millsap;$7,200,000
Mike Conley;$7,180,000
Travis Outlaw;$7,000,000
Josh Childress;$6,890,056
Tayshaun Prince;$6,764,045
Samuel Dalembert;$6,700,000
Al Harrington;$6,687,400
Drew Gooden;$6,680,000
Wesley Matthews;$6,505,320
Spencer Hawes;$6,500,000
Brandon Bass;$6,500,000
Darko Milicic;$6,457,255
Glen Davis;$6,400,000
Francisco Garcia;$6,100,000
Luke Walton;$6,091,363
Amir Johnson;$6,000,000
Channing Frye;$6,000,000
Nick Young;$6,000,000
JJ Redick;$6,000,000
Wilson Chandler;$5,930,415
John Wall;$5,915,880
James Harden;$5,820,416
Mike Miller;$5,800,000
Jason Richardson;$5,799,625
Kyle Lowry;$5,750,000
Michael Beasley;$5,750,000
Aaron Brooks;$5,750,000
Jarrett Jack;$5,580,000
Kyrie Irving;$5,530,080
Chuck Hayes;$5,486,250
Evan Turner;$5,293,080
Tyreke Evans;$5,251,824
Jason Thompson;$5,250,000
Zaza Pachulia;$5,248,750
Chris Andersen;$5,225,952
Anthony Davis;$5,144,280
Landry Fields;$5,000,000
Jamal Crawford;$5,000,000
Jeremy Lin;$5,000,000
Omer Asik;$5,000,000
Jason Maxiell;$5,000,000
Andre Miller;$5,000,000
Ramon Sessions;$5,000,000
Courtney Lee;$5,000,000
Jason Terry;$5,000,000
Kyle Korver;$5,000,000
Louis Williams;$5,000,000
Derrick Williams;$4,947,840
Robin Lopez;$4,899,293
Luc Mbah a Moute;$4,794,192
Daniel Gibson;$4,792,332
Derrick Favors;$4,753,320
Nikola Pekovic;$4,640,000
Michael Kidd-Gilchrist;$4,602,720
Linas Kleiza;$4,600,000
Marcus Camby;$4,590,338
Boris Diaw;$4,500,000
Luis Scola;$4,500,000
Jonas Jerebko;$4,500,000
Jose Juan Barea;$4,493,000
Enes Kanter;$4,443,360
Wesley Johnson;$4,285,560
Jared Dudley;$4,250,000
Marreese Speights;$4,200,000
Bradley Beal;$4,133,280
Dorell Wright;$4,106,000
Udonis Haslem;$4,060,000
Steve Novak;$4,054,055
OJ Mayo;$4,020,000
Tristan Thompson;$4,006,080
JJ Hickson;$4,000,000
Hakim Warrick;$4,000,000
Raymond Felton;$4,000,000
Luke Ridnour;$4,000,000
Mario Chalmers;$4,000,000
Steve Blake;$4,000,000
Ryan Gomes;$4,000,000
Ian Mahinmi;$4,000,000
Brandon Rush;$4,000,000
Carl Landry;$4,000,000
Anthony Morrow;$4,000,000
Stephen Curry;$3,958,742
Tiago Splitter;$3,944,000
Kirk Hinrich;$3,941,000
DeMarcus Cousins;$3,880,800
Mike Dunleavy;$3,750,000
Joel Anthony;$3,750,000
Ricky Rubio;$3,741,120
Dion Waiters;$3,726,600
Chris Duhon;$3,680,000
Matt Bonner;$3,630,000
Daequan Cook;$3,602,675
Thabo Sefolosha;$3,600,000
Ekpe Udoh;$3,524,880
Danny Green;$3,500,000
Shannon Brown;$3,500,000
Matt Carroll;$3,500,000
Jordan Hill;$3,500,000
Gerald Green;$3,500,000
DJ Augustin;$3,500,000
Will Bynum;$3,500,000
Alonzo Gee;$3,500,000
Johan Petro;$3,500,000
Raja Bell;$3,480,000
Jonas Valanciunas;$3,374,640
Thomas Robinson;$3,374,640
DeMar DeRozan;$3,344,250
Tony Allen;$3,300,000
Jan Vesely;$3,294,960
Corey Brewer;$3,243,000
Greg Monroe;$3,217,680
Brandon Jennings;$3,179,493
Shawne Williams;$3,158,000
Shane Battier;$3,135,000
Josh McRoberts;$3,135,000
Vince Carter;$3,120,000
Gerald Henderson;$3,101,326
Jerryd Bayless;$3,100,000
Jason Kidd;$3,090,000
Ray Allen;$3,090,000
Mirza Teletovic;$3,090,000
Damian Lillard;$3,065,040
Tyler Hansbrough;$3,055,259
Alexey Shved;$3,017,943
Bismack Biyombo;$3,007,920
Darrell Arthur;$3,006,217
Kwame Brown;$3,000,000
Lavoy Allen;$3,000,000
Chauncey Billups;$3,000,000
Carlos Delfino;$3,000,000
Kosta Koufos;$3,000,000
Austin Daye;$2,958,444
Al-Farouq Aminu;$2,947,800
Nick Collison;$2,929,332
Joel Freeland;$2,900,000
Dahntay Jones;$2,900,000
James Johnson;$2,812,006
JR Smith;$2,806,452
Harrison Barnes;$2,798,040
Timofey Mozgov;$2,794,621
Brandon Knight;$2,755,560
Gordon Hayward;$2,709,720
Quentin Richardson;$2,706,940
Jrue Holiday;$2,674,851
Greg Stiemsma;$2,575,000
Paul George;$2,574,120
Terrence Ross;$2,563,320
Ty Lawson;$2,544,528
Kemba Walker;$2,532,960
Randy Foye;$2,500,000
Jason Smith;$2,500,000
Reggie Williams;$2,500,000
Cole Aldrich;$2,445,480
Jeff Teague;$2,433,076
Jimmer Fredette;$2,406,240
Andre Drummond;$2,356,320
Eric Maynor;$2,338,720
Xavier Henry;$2,323,200
Darren Collison;$2,319,344
Omri Casspi;$2,277,306
Serge Ibaka;$2,253,061
BJ Mullens;$2,253,061
DeShawn Stevenson;$2,240,450
Austin Rivers;$2,238,360
Rodrigue Beaubois;$2,227,332
CJ Miles;$2,225,000
Klay Thompson;$2,222,160
Ed Davis;$2,207,040
Martell Webster;$2,200,000
Alec Burks;$2,171,640
Taj Gibson;$2,155,811
Meyers Leonard;$2,126,520
Patrick Patterson;$2,096,760
Dante Cunningham;$2,090,000
Wayne Ellington;$2,083,042
Toney Douglas;$2,067,880
Markieff Morris;$2,063,040
Shaun Livingston;$2,038,446
Jeremy Lamb;$2,020,200
Earl Watson;$2,000,000
Larry Sanders;$1,991,760
Marcus Morris;$1,959,960
Grant Hill;$1,957,000
Marco Belinelli;$1,957,000
Kendall Marshall;$1,919,160
Luke Babbitt;$1,892,280
Kawhi Leonard;$1,861,920
John Henson;$1,823,280
Kevin Seraphin;$1,797,600
Jeremy Evans;$1,795,000
Nikola Vucevic;$1,768,800
Moe Harkless;$1,731,960
Eric Bledsoe;$1,707,720
Iman Shumpert;$1,680,360
Renaldo Balkman;$1,675,000
Anthony Randolph;$1,674,641
Royce White;$1,645,440
Avery Bradley;$1,630,800
Reggie Evans;$1,622,618
Chris Singleton;$1,596,360
Sebastian Telfair;$1,567,500
Tyler Zeller;$1,563,120
Tobias Harris;$1,524,480
Derek Fisher;$1,519,214
John Lucas;$1,500,000
Gustavo Ayon;$1,500,000
Gary Forbes;$1,500,000
Vyacheslav Kravtsov;$1,500,000
Jordan Farmar;$1,500,000
Terrence Jones;$1,485,000
Jared Jeffries;$1,475,106
Keyon Dooling;$1,471,491
Elliot Williams;$1,442,880
Andrew Nicholson;$1,418,160
Nolan Smith;$1,404,960
Nando De Colo;$1,400,000
Jodie Meeks;$1,400,000
Trevor Booker;$1,385,280
Willie Green;$1,375,000
Louis Amundson;$1,365,196
Donatas Motiejunas;$1,361,400
Evan Fournier;$1,361,400
Jason Collins;$1,352,181
Jamaal Tinsley;$1,352,181
Jermaine O'Neal;$1,352,181
Kurt Thomas;$1,352,181
Rasheed Wallace;$1,352,181
Joel Przybilla;$1,352,181
Antawn Jamison;$1,352,181
Vladimir Radmanovic;$1,352,181
Nazr Mohammed;$1,352,181
Jerry Stackhouse;$1,352,181
Chris Wilcox;$1,352,181
Kenneth Faried;$1,348,800
Jeremy Pargo;$1,313,845
Jared Sullinger;$1,306,920
Hamed Haddadi;$1,300,000
Dominique Jones;$1,276,560
Victor Claver;$1,254,720
Fab Melo;$1,254,720
Reggie Jackson;$1,243,080
Earl Clark;$1,240,000
Quincy Pondexter;$1,234,320
Aleksandar Pavlovic;$1,232,713
Leandro Barbosa;$1,229,255
Roger Mason;$1,229,255
Marquis Daniels;$1,229,255
Royal Ivey;$1,223,166
Damien Wilkins;$1,223,166
Delonte West;$1,223,166
Lazar Hayward;$1,209,260
John Jenkins;$1,204,560
Jordan Crawford;$1,198,680
Dominic McGuire;$1,195,578
MarShon Brooks;$1,193,280
Greivis Vasquez;$1,191,240
Christian Eyenga;$1,174,080
Jared Cunningham;$1,156,320
Jordan Hamilton;$1,153,800
Ronnie Price;$1,146,337
Ronny Turiaf;$1,146,337
Nate Robinson;$1,146,337
JaJuan Johnson;$1,120,440
Norris Cole;$1,113,600
Josh Howard;$1,113,560
Tony Wroten;$1,110,120
Cory Joseph;$1,105,560
Jimmy Butler;$1,097,520
Patrick Mills;$1,085,120
Miles Plumlee;$1,073,280
Ronnie Brewer;$1,069,509
Ryan Hollins;$1,069,509
Luke Harangody;$1,054,389
DeJuan Blair;$1,054,000
Arnett Moultrie;$1,042,320
Devin Ebanks;$1,040,000
Perry Jones;$1,035,960
Festus Ezeli;$1,020,960
Mickael Pietrus;$1,005,096
Jon Brockman;$1,000,000
Kyle Singler;$1,000,000
Brandan Wright;$992,680
Kelenna Azubuike;$992,680
CJ Watson;$992,680
Ishmael Smith;$985,000
Gary Neal;$972,000
Ivan Johnson;$962,195
Chase Budinger;$942,293
Darius Morris;$937,195
Cartier Martin;$915,852
Anthony Tolliver;$915,852
