PLAYER;2011/12
Kobe Bryant;$25,244,493
Vince Carter;$21,300,000
Kevin Garnett;$21,247,044
Tim Duncan;$21,164,619
Rashard Lewis;$21,136,631
Gilbert Arenas;$19,269,307
Dirk Nowitzki;$19,092,873
Pau Gasol;$18,714,150
Carmelo Anthony;$18,518,574
Amare Stoudemire;$18,217,705
Dwight Howard;$18,091,770
Joe Johnson;$18,038,573
Richard Hamilton;$17,500,000
Elton Brand;$17,059,727
Chris Paul;$16,359,805
Deron Williams;$16,359,805
Brandon Roy;$16,032,144
Chris Bosh;$16,022,500
LeBron James;$16,022,500
Dwyane Wade;$15,691,000
Kevin Durant;$15,506,632
Paul Pierce;$15,333,334
Baron Davis;$15,252,181
Zach Randolph;$15,200,000
Antawn Jamison;$15,076,715
Rudy Gay;$15,032,144
Andrew Bynum;$14,900,000
Chauncey Billups;$14,200,000
Chris Kaman;$14,030,000
Al Jefferson;$14,000,000
Andre Iguodala;$13,531,750
Carlos Boozer;$13,500,000
Tyson Chandler;$13,107,837
Nen?;$13,000,000
Manu Ginobili;$12,981,038
Marc Gasol;$12,922,194
Emeka Okafor;$12,541,812
Tony Parker;$12,500,000
Josh Smith;$12,400,000
LaMarcus Aldridge;$12,372,000
Luol Deng;$12,325,000
Danny Granger;$12,015,904
Andrew Bogut;$12,000,000
Joakim Noah;$12,000,000
Al Horford;$12,000,000
Steve Nash;$11,689,062
David Lee;$11,610,000
Ben Gordon;$11,600,000
Kevin Martin;$11,519,840
Marcus Camby;$11,227,250
Jason Terry;$11,158,000
Hidayet Turkoglu;$11,015,850
Monta Ellis;$11,000,000
Mehmet Okur;$10,890,000
Corey Maggette;$10,262,069
Jason Kidd;$10,121,000
DeAndre Jordan;$10,079,404
Rajon Rondo;$10,045,455
David West;$10,000,000
Ray Allen;$10,000,000
Jose Calderon;$9,780,992
Gerald Wallace;$9,500,000
Devin Harris;$9,319,000
Richard Jefferson;$9,282,000
Stephen Jackson;$9,256,500
Andrea Bargnani;$9,250,000
Andris Biedrins;$9,000,000
Boris Diaw;$9,000,000
Lamar Odom;$8,900,000
Luis Scola;$8,591,793
John Salmons;$8,500,000
Carl Landry;$8,500,000
Maurice Williams;$8,500,000
Rodney Stuckey;$8,500,000
Paul Millsap;$8,103,435
Kirk Hinrich;$8,100,000
Shawn Marion;$8,022,449
Caron Butler;$8,000,000
Kris Humphries;$8,000,000
Andre Miller;$7,807,728
Jameer Nelson;$7,800,000
Anderson Varejao;$7,700,000
Brendan Haywood;$7,624,500
Leandro Barbosa;$7,600,000
James Posey;$7,595,600
Arron Afflalo;$7,562,500
Raymond Felton;$7,560,000
Charlie Villanueva;$7,540,000
Marvin Williams;$7,500,000
Thaddeus Young;$7,478,261
Tyrus Thomas;$7,305,765
Kendrick Perkins;$7,123,626
Marcus Thornton;$7,000,000
Samuel Dalembert;$7,000,000
Travis Outlaw;$7,000,000
Derrick Rose;$6,993,708
Beno Udrih;$6,925,400
DeSagana Diop;$6,925,400
Marcin Gortat;$6,790,640
Trevor Ariza;$6,790,640
Metta World Peace;$6,790,640
JJ Redick;$6,750,000
Kwame Brown;$6,750,000
Andres Nocioni;$6,650,000
Mike Conley;$6,611,571
Mickael Pietrus;$6,523,166
Grant Hill;$6,500,000
Andray Blatche;$6,442,083
Glen Davis;$6,300,000
Tayshaun Prince;$6,292,135
Michael Beasley;$6,262,347
Drew Gooden;$6,226,200
Al Harrington;$6,226,200
Jermaine O'Neal;$6,226,200
Wesley Matthews;$6,135,160
Josh Childress;$6,000,000
Francisco Garcia;$5,800,000
Kyle Lowry;$5,750,000
Blake Griffin;$5,731,080
Luke Walton;$5,680,000
OJ Mayo;$5,632,637
Channing Frye;$5,600,000
John Wall;$5,530,080
Amir Johnson;$5,500,000
Nate Robinson;$5,483,307
Mike Miller;$5,400,000
Jason Richardson;$5,395,000
Martell Webster;$5,256,000
Chuck Hayes;$5,250,000
Louis Williams;$5,176,000
Kyrie Irving;$5,144,280
Hasheem Thabeet;$5,127,720
Russell Westbrook;$5,082,416
Jamal Crawford;$5,000,000
Jarrett Jack;$5,000,000
Luc Mbah a Moute;$5,000,000
Jason Maxiell;$5,000,000
Kyle Korver;$5,000,000
Evan Turner;$4,947,840
Darko Milicic;$4,776,500
Brad Miller;$4,752,000
Zaza Pachulia;$4,750,000
Ronnie Brewer;$4,710,000
Kevin Love;$4,609,701
Linas Kleiza;$4,605,000
James Harden;$4,604,760
Derrick Williams;$4,602,720
Nikola Pekovic;$4,503,600
Jonas Jerebko;$4,500,000
Derrick Favors;$4,443,360
Daniel Gibson;$4,403,834
Ronny Turiaf;$4,360,000
Jose Juan Barea;$4,300,000
Ramon Sessions;$4,257,973
Jared Dudley;$4,250,000
Randy Foye;$4,250,000
Brandon Bass;$4,250,000
Chris Andersen;$4,234,000
Danilo Gallinari;$4,190,182
Tyreke Evans;$4,151,640
Enes Kanter;$4,133,280
Charlie Bell;$4,099,920
Spencer Hawes;$4,051,024
Wesley Johnson;$4,006,080
Hakim Warrick;$4,000,000
Mario Chalmers;$4,000,000
Steve Blake;$4,000,000
Ryan Gomes;$4,000,000
Anthony Morrow;$4,000,000
Jordan Farmar;$4,000,000
Matt Carroll;$3,900,000
Eric Gordon;$3,831,184
Dorell Wright;$3,823,000
Udonis Haslem;$3,780,000
Nazr Mohammed;$3,750,000
Mike Dunleavy;$3,750,000
Tristan Thompson;$3,726,600
CJ Miles;$3,700,000
Nick Young;$3,695,857
Luke Ridnour;$3,680,000
Tiago Splitter;$3,672,000
DeMarcus Cousins;$3,627,720
Joel Anthony;$3,600,000
Shannon Brown;$3,500,000
Chris Duhon;$3,500,000
Carlos Delfino;$3,500,000
Shaun Livingston;$3,500,000
Ricky Rubio;$3,480,120
Jonny Flynn;$3,414,720
Derek Fisher;$3,400,000
CJ Watson;$3,400,000
Marco Belinelli;$3,377,604
Timofey Mozgov;$3,343,896
Daequan Cook;$3,341,558
Matt Bonner;$3,315,000
Thabo Sefolosha;$3,300,000
Ekpe Udoh;$3,294,960
Nick Collison;$3,272,997
Will Bynum;$3,250,000
Johan Petro;$3,250,000
Raja Bell;$3,240,000
DJ Augustin;$3,236,470
Tony Allen;$3,150,000
Stephen Curry;$3,117,120
Brook Lopez;$3,076,983
Jan Vesely;$3,065,040
Corey Brewer;$3,059,000
Jerryd Bayless;$3,042,280
Greg Monroe;$3,007,920
Jason Thompson;$3,001,284
Shane Battier;$3,000,000
Josh McRoberts;$3,000,000
Jeff Foster;$3,000,000
Shawne Williams;$3,000,000
Chris Wilcox;$3,000,000
Brandon Rush;$2,956,658
Anthony Randolph;$2,911,231
Robin Lopez;$2,862,602
Jordan Hill;$2,855,760
Bismack Biyombo;$2,798,040
Al-Farouq Aminu;$2,755,560
Eduardo Najera;$2,750,000
Marreese Speights;$2,721,255
Dahntay Jones;$2,700,000
Antonio McDyess;$2,640,000
