PLAYER;2016/17
LeBron James;$30,963,450
DeMar DeRozan;$26,540,100
Russell Westbrook;$26,540,100
Mike Conley;$26,540,100
James Harden;$26,540,100
Kevin Durant;$26,540,100
Al Horford;$26,540,100
Dirk Nowitzki;$25,000,000
Carmelo Anthony;$24,559,380
Damian Lillard;$24,328,425
Chris Bosh;$23,741,060
Dwight Howard;$23,500,000
Dwyane Wade;$23,200,000
Chris Paul;$22,868,827
Bradley Beal;$22,116,750
Anthony Davis;$22,116,750
Hassan Whiteside;$22,116,750
Chandler Parsons;$22,116,750
Andre Drummond;$22,116,750
Harrison Barnes;$22,116,750
Derrick Rose;$21,323,252
Marc Gasol;$21,165,675
DeAndre Jordan;$21,165,675
Kevin Love;$21,165,675
Brook Lopez;$21,165,675
Nicolas Batum;$20,869,566
LaMarcus Aldridge;$20,575,005
Blake Griffin;$20,093,064
Paul Millsap;$20,072,033
Ryan Anderson;$18,735,364
Allen Crabbe;$18,500,000
Paul George;$18,100,000
Luol Deng;$18,000,000
Kawhi Leonard;$17,638,063
Kyrie Irving;$17,638,063
Jimmy Butler;$17,552,209
Tobias Harris;$17,200,000
Enes Kanter;$17,145,838
Greg Monroe;$17,145,838
Wesley Matthews;$17,145,838
Bismack Biyombo;$17,000,000
Evan Fournier;$17,000,000
Joakim Noah;$17,000,000
Klay Thompson;$16,663,575
Evan Turner;$16,393,443
Gordon Hayward;$16,073,140
Ian Mahinmi;$16,000,000
Timofey Mozgov;$16,000,000
Goran Dragic;$15,891,725
John Wall;$15,756,438
DeMarcus Cousins;$15,756,438
Kent Bazemore;$15,730,337
Pau Gasol;$15,500,000
Draymond Green;$15,330,435
Tristan Thompson;$15,330,435
Khris Middleton;$15,200,000
Danilo Gallinari;$15,050,000
Jeff Green;$15,000,000
Reggie Jackson;$14,956,522
Deron Williams;$14,885,520
Tony Parker;$14,445,313
Jonas Valanciunas;$14,382,023
DeMarre Carroll;$14,200,000
Manu Ginobili;$14,000,000
Eric Bledsoe;$14,000,000
Rajon Rondo;$14,000,000
Ricky Rubio;$13,400,000
Rudy Gay;$13,333,333
Jamal Crawford;$13,253,012
Robin Lopez;$13,219,250
Michael Kidd-Gilchrist;$13,000,000
JR Smith;$12,800,000
Brandon Knight;$12,606,250
Arron Afflalo;$12,500,000
Jordan Clarkson;$12,500,000
Tyson Chandler;$12,415,000
Miles Plumlee;$12,400,000
Eric Gordon;$12,385,665
John Henson;$12,267,606
Serge Ibaka;$12,250,000
Marvin Williams;$12,250,000
Stephen Curry;$12,112,359
Nikola Pekovic;$12,100,000
Thaddeus Young;$12,078,652
Kenneth Faried;$12,078,652
Marcin Gortat;$12,000,000
Kyle Lowry;$12,000,000
Kemba Walker;$12,000,000
Amir Johnson;$12,000,000
Nikola Vucevic;$11,750,000
Solomon Hill;$11,709,603
Jeremy Lin;$11,483,254
Andrew Bogut;$11,410,378
Courtney Lee;$11,242,000
Wilson Chandler;$11,233,146
Andre Iguodala;$11,131,368
Derrick Favors;$11,050,000
Joe Johnson;$11,000,000
Jrue Holiday;$11,000,000
Austin Rivers;$11,000,000
Jon Leuer;$10,991,957
Anderson Varejao;$10,851,659
Monta Ellis;$10,763,500
Mirza Teletovic;$10,500,000
Jared Dudley;$10,470,000
Al Jefferson;$10,230,179
Tyreke Evans;$10,203,755
Danny Green;$10,000,000
Terrence Ross;$10,000,000
Zach Randolph;$10,000,000
Alec Burks;$9,904,495
Omer Asik;$9,904,494
Iman Shumpert;$9,662,922
Matthew Dellavedova;$9,607,500
Jerryd Bayless;$9,424,084
Trevor Booker;$9,250,000
Meyers Leonard;$9,213,484
Gerald Henderson;$9,000,000
Moe Harkless;$8,988,764
Taj Gibson;$8,950,000
E'Twaun Moore;$8,801,363
Kris Humphries;$8,630,000
Ersan Ilyasova;$8,400,000
Dwight Powell;$8,375,000
Avery Bradley;$8,269,663
Tiago Splitter;$8,250,000
Darrell Arthur;$8,070,175
Kosta Koufos;$8,046,500
George Hill;$8,000,000
Anthony Tolliver;$8,000,000
Garrett Temple;$8,000,000
Kevin Garnett;$8,000,000
Jeff Teague;$8,000,000
Tyler Zeller;$8,000,000
Channing Frye;$7,806,971
Trevor Ariza;$7,800,000
Jose Calderon;$7,708,427
Al-Farouq Aminu;$7,680,965
Cole Aldrich;$7,643,979
Corey Brewer;$7,612,172
Markieff Morris;$7,400,000
Festus Ezeli;$7,400,000
