PLAYER;2008/09
Kevin Garnett;$24,751,934
Jermaine O'Neal;$21,372,000
Jason Kidd;$21,372,000
Kobe Bryant;$21,262,500
Shaquille O'Neal;$21,000,000
Stephon Marbury;$20,840,625
Allen Iverson;$20,840,625
Tim Duncan;$20,598,704
Tracy McGrady;$20,370,437
Steve Francis;$19,816,550
Ray Allen;$18,388,430
Dirk Nowitzki;$18,077,904
Paul Pierce;$18,077,903
Shawn Marion;$17,810,000
Rashard Lewis;$16,447,871
Michael Redd;$15,780,000
Andrei Kirilenko;$15,106,000
Pau Gasol;$15,106,000
Amare Stoudemire;$15,070,550
Yao Ming;$15,070,550
Mike Bibby;$14,983,603
Vince Carter;$14,724,125
Zach Randolph;$14,666,667
Gilbert Arenas;$14,653,466
Ben Wallace;$14,500,000
Kenyon Martin;$14,431,816
Chris Bosh;$14,410,581
Dwyane Wade;$14,410,581
Carmelo Anthony;$14,410,581
LeBron James;$14,410,581
Joe Johnson;$14,232,567
Lamar Odom;$14,148,596
Rasheed Wallace;$13,930,000
Wally Szczerbiak;$13,775,000
Dwight Howard;$13,758,000
Elton Brand;$13,757,844
Richard Jefferson;$13,200,000
Larry Hughes;$12,827,676
Raef LaFrentz;$12,722,500
Jason Richardson;$12,664,335
Predrag Stojakovic;$12,528,000
Steve Nash;$12,250,000
Carlos Boozer;$11,593,817
Erick Dampier;$11,553,000
Tony Parker;$11,550,000
Brad Miller;$11,375,000
Tyson Chandler;$11,350,000
Andre Iguodala;$11,300,000
Baron Davis;$11,250,000
Samuel Dalembert;$11,238,564
Chauncey Billups;$11,050,000
Al Jefferson;$11,000,000
Monta Ellis;$11,000,000
Zydrunas Ilgauskas;$10,841,615
Richard Hamilton;$10,812,500
Bobby Simmons;$10,602,667
Andre Miller;$10,333,334
Troy Murphy;$10,126,984
Marcus Camby;$10,000,000
Kirk Hinrich;$10,000,000
Josh Smith;$10,000,000
Josh Howard;$9,945,000
Antawn Jamison;$9,923,285
Manu Ginobili;$9,905,248
David West;$9,862,500
Eddy Curry;$9,723,983
Darius Miles;$9,704,752
Nen?;$9,680,000
Emeka Okafor;$9,537,500
Chris Kaman;$9,500,000
Tayshaun Prince;$9,500,000
Gerald Wallace;$9,500,000
Luol Deng;$9,385,000
Caron Butler;$9,249,980
Al Harrington;$9,226,250
Jason Terry;$9,196,000
Cuttino Mobley;$9,100,000
Mike Miller;$9,028,575
Mike Dunleavy;$9,000,000
Andris Biedrins;$9,000,000
Boris Diaw;$9,000,000
Antoine Walker;$8,854,475
Kevin Martin;$8,760,335
Quentin Richardson;$8,685,500
Jamal Crawford;$8,640,000
Kenny Thomas;$8,562,500
Mark Blount;$8,513,916
Mehmet Okur;$8,500,000
Radoslav Nesterovic;$8,400,000
Juwan Howard;$8,355,619
Maurice Williams;$8,353,000
Corey Maggette;$8,275,862
Adonal Foyle;$8,062,275
Andres Nocioni;$8,000,000
TJ Ford;$8,000,000
Devin Harris;$7,800,000
Jameer Nelson;$7,700,000
Malik Rose;$7,647,500
Jose Calderon;$7,438,018
Metta World Peace;$7,400,000
Eric Snow;$7,312,500
Donyell Marshall;$7,213,169
Drew Gooden;$7,151,183
Stephen Jackson;$7,140,000
Darko Milicic;$7,020,000
Jerry Stackhouse;$7,000,000
Etan Thomas;$6,864,200
Hidayet Turkoglu;$6,864,200
Marquis Daniels;$6,864,200
Chris Wilcox;$6,750,000
Jamaal Tinsley;$6,750,000
Udonis Haslem;$6,575,000
Marko Jaric;$6,575,000
Luke Ridnour;$6,500,000
Bobby Jackson;$6,487,888
Shane Battier;$6,448,900
Ben Gordon;$6,404,750
Nick Collison;$6,350,000
Joel Przybilla;$6,310,150
Brian Cardinal;$6,300,000
Andrew Bogut;$6,294,310
Dan Gadzuric;$6,250,195
Mike James;$6,244,093
Earl Watson;$6,200,000
Antonio Daniels;$6,200,000
Jason Collins;$6,200,000
Jerome James;$6,200,000
Stromile Swift;$6,200,000
Leandro Barbosa;$6,100,000
Jared Jeffries;$6,049,400
Tim Thomas;$6,049,400
Vladimir Radmanovic;$6,049,400
Nazr Mohammed;$6,049,400
Matt Harpring;$6,000,000
Jason Kapono;$5,784,480
Anderson Varejao;$5,784,480
Speedy Claxton;$5,757,818
Tony Battie;$5,746,000
Marvin Williams;$5,636,143
Mikki Moore;$5,632,200
Morris Peterson;$5,592,240
Beno Udrih;$5,585,000
Chris Duhon;$5,585,000
James Posey;$5,585,000
DeSagana Diop;$5,585,000
Brendan Haywood;$5,500,000
Jeff Foster;$5,500,000
Mickael Pietrus;$5,300,000
Desmond Mason;$5,300,000
Andrea Bargnani;$5,176,440
John Salmons;$5,104,000
Deron Williams;$5,069,449
Matt Carroll;$5,050,000
Greg Oden;$5,011,680
Raja Bell;$5,000,000
JR Smith;$4,985,001
Kyle Korver;$4,956,818
Rafer Alston;$4,900,000
Derrick Rose;$4,822,800
Joe Smith;$4,795,000
Nenad Krstic;$4,778,548
Derek Fisher;$4,700,000
Reggie Evans;$4,640,000
LaMarcus Aldridge;$4,631,400
Kendrick Perkins;$4,578,880
Chris Paul;$4,574,189
Anthony Parker;$4,550,000
Sasha Vujacic;$4,524,887
Louis Williams;$4,500,000
Ronny Turiaf;$4,500,000
Aleksandar Pavlovic;$4,500,000
Kevin Durant;$4,484,040
Damon Jones;$4,460,186
Luke Walton;$4,420,000
Jorge Garbajosa;$4,350,000
Trenton Hassell;$4,350,000
Michael Beasley;$4,314,960
Marcus Banks;$4,260,000
Steve Blake;$4,250,000
Darius Songaila;$4,235,000
Kurt Thomas;$4,200,000
Adam Morrison;$4,159,200
Raymond Felton;$4,148,716
Al Horford;$4,026,720
Greg Buckner;$4,010,005
James Jones;$4,010,000
Bruce Bowen;$4,000,000
Travis Outlaw;$4,000,000
Kwame Brown;$4,000,000
Zaza Pachulia;$4,000,000
Antonio McDyess;$3,950,419
OJ Mayo;$3,875,040
Steven Hunter;$3,862,600
Delonte West;$3,850,000
Martell Webster;$3,771,133
Tyrus Thomas;$3,749,880
CJ Miles;$3,700,000
Daniel Gibson;$3,700,000
Amir Johnson;$3,666,667
Ryan Gomes;$3,650,000
Mike Conley;$3,630,480
Rasual Butler;$3,630,000
DeShawn Stevenson;$3,616,072
Fabricio Oberto;$3,600,000
Robert Swift;$3,579,131
Roger Mason;$3,500,000
Brian Cook;$3,500,000
Russell Westbrook;$3,493,680
Charlie Villanueva;$3,448,050
Shelden Williams;$3,395,760
Willie Green;$3,388,000
Charlie Bell;$3,354,480
Keyon Dooling;$3,300,000
Jeff Green;$3,287,640
Eduardo Najera;$3,250,000
Chucky Atkins;$3,240,000
Brian Scalabrine;$3,206,897
Kris Humphries;$3,200,000
Channing Frye;$3,163,769
Kevin Love;$3,163,680
Luis Scola;$3,100,667
Damien Wilkins;$3,100,000
Trevor Ariza;$3,100,000
Marc Gasol;$3,093,333
Brandon Roy;$3,084,240
Carl Landry;$3,000,000
Matt Bonner;$2,987,000
Yi Jianlian;$2,986,080
Ike Diogu;$2,912,823
Kelenna Azubuike;$2,900,000
Danilo Gallinari;$2,873,520
Didier Ilunga-Mbenga;$2,852,599
Randy Foye;$2,815,560
Andrew Bynum;$2,769,300
Andray Blatche;$2,739,669
Corey Brewer;$2,725,920
Sean May;$2,661,027
Eddie House;$2,650,000
Mark Madsen;$2,630,000
Eric Gordon;$2,623,200
Rashad McCants;$2,620,126
Dorell Wright;$2,612,835
Rudy Gay;$2,579,400
Keith Bogans;$2,565,000
Jackie Butler;$2,552,000
Michael Finley;$2,500,000
Craig Smith;$2,500,000
Chris Mihm;$2,500,000
Tony Allen;$2,500,000
Maurice Evans;$2,500,000
Brandan Wright;$2,497,320
Jason Hart;$2,484,000
Joey Graham;$2,449,184
Joe Alexander;$2,403,120
Danny Granger;$2,329,805
Damon Stoudamire;$2,325,000
Sebastian Telfair;$2,300,000
Ricky Davis;$2,300,000
Joakim Noah;$2,295,480
Maceo Baston;$2,272,860
Saer Sene;$2,252,400
Tyronn Lue;$2,250,000
DJ Augustin;$2,208,960
Spencer Hawes;$2,180,760
JJ Redick;$2,139,720
Hakim Warrick;$2,119,102
Brook Lopez;$2,098,560
Jarron Collins;$2,074,302
Acie Law;$2,071,680
Hilton Armstrong;$2,032,800
Nate Robinson;$2,020,179
Jarrett Jack;$2,002,623
Brevin Knight;$2,000,000
Eddie Jones;$2,000,000
Walter Herrmann;$2,000,000
Jerryd Bayless;$1,993,560
Francisco Garcia;$1,983,454
Grant Hill;$1,976,400
Thaddeus Young;$1,968,120
Luther Head;$1,962,378
Johan Petro;$1,939,893
Thabo Sefolosha;$1,931,160
Anthony Johnson;$1,910,000
Brent Barry;$1,910,000
Jarvis Hayes;$1,910,000
Jason Thompson;$1,893,840
Jason Maxiell;$1,877,572
Julian Wright;$1,869,600
Ronnie Brewer;$1,834,680
Linas Kleiza;$1,824,493
Antoine Wright;$1,800,000
Brandon Rush;$1,799,160
David Lee;$1,788,033
Al Thornton;$1,776,240
Chuck Hayes;$1,768,000
Cedric Simmons;$1,742,760
Adrian Griffin;$1,711,000
Anthony Randolph;$1,709,280
