PLAYER;2010/11
Kobe Bryant;$24,806,250
Rashard Lewis;$19,573,711
Kevin Garnett;$18,800,000
Tim Duncan;$18,700,000
Michael Redd;$18,300,000
Andrei Kirilenko;$17,823,000
Pau Gasol;$17,823,000
Gilbert Arenas;$17,730,694
Yao Ming;$17,686,100
Zach Randolph;$17,666,666
Vince Carter;$17,300,000
Dirk Nowitzki;$17,278,618
Carmelo Anthony;$17,149,243
Dwight Howard;$16,647,180
Kenyon Martin;$16,545,454
Amare Stoudemire;$16,486,611
Joe Johnson;$16,324,500
Elton Brand;$15,959,099
Predrag Stojakovic;$15,532,320
Chris Paul;$14,940,153
Deron Williams;$14,940,152
Chris Bosh;$14,500,000
LeBron James;$14,500,000
Jason Richardson;$14,444,444
Carlos Boozer;$14,400,000
Dwyane Wade;$14,200,000
Paul Pierce;$13,876,321
Andrew Bynum;$13,700,000
Rudy Gay;$13,603,750
Brandon Roy;$13,520,500
Tony Parker;$13,500,000
Samuel Dalembert;$13,428,129
Antawn Jamison;$13,358,905
Nick Collison;$13,250,000
Chauncey Billups;$13,150,000
Al Jefferson;$13,000,000
Baron Davis;$13,000,000
Tyson Chandler;$12,600,000
Richard Hamilton;$12,500,000
Andre Iguodala;$12,345,250
Troy Murphy;$11,968,253
Manu Ginobili;$11,854,584
Chris Kaman;$11,800,000
Marcus Camby;$11,749,832
Josh Smith;$11,600,000
Eddy Curry;$11,530,592
Emeka Okafor;$11,495,000
Nen?;$11,360,000
Luol Deng;$11,345,000
LaMarcus Aldridge;$11,244,000
Tayshaun Prince;$11,148,760
Kevin Martin;$11,100,005
Andrew Bogut;$11,000,000
Monta Ellis;$11,000,000
Danny Granger;$10,973,202
David Lee;$10,800,000
Ben Gordon;$10,800,000
Jamal Crawford;$10,800,000
Jason Terry;$10,650,000
Mike Dunleavy;$10,561,984
Caron Butler;$10,561,960
Gerald Wallace;$10,500,000
Steve Nash;$10,310,938
Hidayet Turkoglu;$10,215,850
Ray Allen;$10,000,000
Mehmet Okur;$9,945,000
Corey Maggette;$9,600,000
Maurice Williams;$9,300,000
Rajon Rondo;$9,090,911
Jose Calderon;$9,000,000
Andris Biedrins;$9,000,000
Boris Diaw;$9,000,000
Kirk Hinrich;$9,000,000
Devin Harris;$8,981,000
Jason Kidd;$8,610,500
Andrea Bargnani;$8,500,000
TJ Ford;$8,500,000
Stephen Jackson;$8,453,250
Richard Jefferson;$8,400,000
David West;$8,287,500
Lamar Odom;$8,200,000
John Salmons;$8,000,000
Jameer Nelson;$7,800,000
Luis Scola;$7,775,378
Marko Jaric;$7,625,000
Paul Millsap;$7,600,000
Raymond Felton;$7,500,000
Joel Przybilla;$7,405,300
Shane Battier;$7,354,500
Shawn Marion;$7,305,500
Anderson Varejao;$7,281,818
Andre Miller;$7,269,264
JJ Redick;$7,250,000
Dan Gadzuric;$7,248,325
James Posey;$7,148,800
Leandro Barbosa;$7,100,000
Charlie Villanueva;$7,020,000
Travis Outlaw;$7,000,000
Brendan Haywood;$6,900,000
Nazr Mohammed;$6,883,800
Jared Jeffries;$6,883,800
Vladimir Radmanovic;$6,883,800
Andres Nocioni;$6,850,000
Greg Oden;$6,760,524
JR Smith;$6,757,851
Marvin Williams;$6,712,500
Morris Peterson;$6,665,000
Jeff Foster;$6,655,000
Jason Kapono;$6,641,440
Tyrus Thomas;$6,611,570
Josh Childress;$6,500,000
Beno Udrih;$6,478,600
DeSagana Diop;$6,478,600
Marcin Gortat;$6,322,320
