PLAYER;2005/06
Shaquille O'Neal;$20,000,000
Chris Webber;$19,125,000
Allan Houston;$19,125,000
Michael Finley;$18,612,500
Kevin Garnett;$18,000,000
Allen Iverson;$16,453,125
Stephon Marbury;$16,453,125
Jermaine O'Neal;$16,440,000
Jason Kidd;$16,440,000
Brian Grant;$16,006,220
Kobe Bryant;$15,946,875
Tim Duncan;$15,845,156
Anfernee Hardaway;$15,750,000
Jalen Rose;$15,694,250
Grant Hill;$15,694,250
Tracy McGrady;$15,694,250
Keith Van Horn;$15,694,250
Eddie Jones;$14,576,250
Tim Thomas;$13,975,000
Antonio Davis;$13,925,000
Antawn Jamison;$13,843,156
Dirk Nowitzki;$13,843,156
Vince Carter;$13,843,156
Paul Pierce;$13,843,156
Shawn Marion;$13,700,000
Steve Francis;$13,700,000
Baron Davis;$13,700,000
Ray Allen;$13,223,140
Elton Brand;$13,152,000
Michael Redd;$12,000,000
Joe Johnson;$12,000,000
Theo Ratliff;$11,666,666
Carlos Boozer;$11,593,816
Mike Bibby;$11,500,000
Lamar Odom;$11,465,333
Pau Gasol;$10,993,000
Andrei Kirilenko;$10,983,000
Rasheed Wallace;$10,860,000
Derek Anderson;$10,763,000
Zach Randolph;$10,666,667
Kenyon Martin;$10,636,364
Raef LaFrentz;$10,623,288
Larry Hughes;$10,344,900
Gilbert Arenas;$10,243,200
Richard Jefferson;$10,200,000
Jamal Mashburn;$10,075,000
Wally Szczerbiak;$10,000,000
Doug Christie;$9,775,000
Steve Nash;$9,625,000
Vin Baker;$9,183,333
Marcus Camby;$9,150,000
Maurice Taylor;$9,100,000
Tyson Chandler;$9,000,000
Shandon Anderson;$8,935,000
Jason Richardson;$8,888,888
Brad Miller;$8,750,000
Zydrunas Ilgauskas;$8,740,000
Erick Dampier;$8,662,500
Kelvin Cato;$8,640,000
Richard Hamilton;$8,625,000
Rashard Lewis;$8,571,429
Jamaal Magloire;$8,533,333
Aaron McKie;$8,500,000
Samuel Dalembert;$8,470,000
Tony Parker;$8,400,000
Jerry Stackhouse;$8,367,187
Mehmet Okur;$8,250,000
Andre Miller;$8,100,000
Bonzi Wells;$8,000,000
PJ Brown;$8,000,000
Bobby Simmons;$8,000,000
Austin Croshere;$7,900,000
Lorenzen Wright;$7,700,000
Jason Williams;$7,562,500
Predrag Stojakovic;$7,500,000
Kwame Brown;$7,500,000
Ben Wallace;$7,500,000
Manu Ginobili;$7,428,937
Eddy Curry;$7,390,000
Troy Murphy;$7,365,079
Desmond Mason;$7,333,333
Adonal Foyle;$7,312,500
Calvin Booth;$7,255,098
Darius Miles;$7,250,000
Cuttino Mobley;$7,200,000
Jonathan Bender;$7,175,000
Corey Maggette;$7,000,000
Al Harrington;$6,957,500
Quentin Richardson;$6,940,000
Antoine Walker;$6,880,000
Sam Cassell;$6,875,000
Metta World Peace;$6,842,105
Mike Miller;$6,750,000
Radoslav Nesterovic;$6,720,000
Jason Terry;$6,666,667
Jerome Williams;$6,620,063
Kurt Thomas;$6,620,062
Kenny Thomas;$6,500,000
Jamal Crawford;$6,480,000
Lamond Murray;$6,388,500
Ruben Patterson;$6,353,200
Todd MacCulloch;$6,353,200
Joe Smith;$6,353,200
Clarence Weatherspoon;$6,353,200
Alvin Williams;$6,300,000
Scot Pollard;$6,274,937
Danny Fortson;$6,207,670
Malik Rose;$6,008,750
Corliss Williamson;$6,000,000
Reggie Miller;$6,000,000
Howard Eisley;$5,926,984
Chauncey Billups;$5,909,800
Ricky Davis;$5,909,800
Michael Olowokandi;$5,900,400
James Posey;$5,900,400
