player,debut_season,contract_length
John Wall,2011,4
Samardo Samuels,2011,3
Evan Turner,2011,4
Derrick Favors,2011,4
DeMarcus Cousins,2011,4
Ekpe Udoh,2011,4
Greg Monroe,2011,4
Nikola Pekovic,2011,3
Wesley Johnson,2011,3
Gordon Hayward,2011,4
Tiago Splitter,2011,3
Paul George,2011,4
Brandon Jennings,2011,4
Timofey Mozgov,2011,3
Ed Davis,2011,4
Patrick Patterson,2011,4
Larry Sanders,2011,4
Al-Farouq Aminu,2011,3
Kevin Seraphin,2011,4
Eric Bledsoe,2011,4
Avery Bradley,2011,4
Cole Aldrich,2011,3
Xavier Henry,2011,3
Trevor Booker,2011,4
Quincy Pondexter,2011,4
Jordan Crawford,2011,4
Greivis Vasquez,2011,4
Luke Babbitt,2011,3
Elliot Williams,2011,3
Dominique Jones,2011,3
Omer Asik,2011,2
Lance Stephenson,2011,4
Lazar Hayward,2011,3
James Anderson,2011,2
Craig Brackins,2011,2
Damion James,2011,2
Daniel Orton,2011,2
Christian Eyenga,2011,2
Dexter Pittman,2011,3
Gary Neal,2011,3
Solomon Alabi,2011,2
Hassan Whiteside,2011,2
Hamady N'Diaye,2011,1
Andy Rautins,2011,2
Da'Sean Butler,2011,2
Magnum Rolle,2011,2
Patrick Beverley,2011,2
Armon Johnson,2011,2
Pape Sy,2011,2
Derrick Caracter,2011,2
Manny Harris,2011,2
Ishmael Smith,2011,2
Landry Fields,2011,2
Devin Ebanks,2011,2
Jeremy Evans,2011,2
Jeremy Lin,2011,2
Luke Harangody,2011,2
Zabian Dowdell,2011,2
Willie Warren,2011,1
Darington Hobson,2011,1
Stanley Robinson,2011,1
