ID,season,salary_cap_perc,games_played_perc,avg_minutes_played,WS48,team_won_finals,team_lost_finals,team_lost_semifinals,team_lost_first_stage,most_valuable
geeal01,2012,0.06,0.9545454545454546,29.0,0.063,0.0,0.0,0.0,0.0,0.0
denglu01,2016,0.191,0.9166666666666666,32.83,0.128,0.0,0.0,0.0,1.0,0.0
