const,ID,season,age,games_played_perc,games_started_perc,minutes_played,avg_minutes_played,WS48,PER,team_won_finals,team_lost_finals,team_lost_semifinals,team_lost_first_match,most_improved,most_valuable,most_valuable_finals,sixth_man,all_league
1.0,novakst01,2012,28.0,0.8309859154929577,0.014084507042253521,1115.0,18.898,0.184,16.347,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,cardibr01,2001,23.0,0.18292682926829268,0.0,126.0,8.4,0.0,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,teletmi01,2016,30.0,0.9634146341463414,0.012195121951219513,1686.0,21.342,0.108,16.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,bynumwi01,2010,27.0,0.7682926829268293,0.24390243902439024,1667.0,26.46,0.055,13.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,webbech01,2001,27.0,0.8666666666666667,0.8666666666666667,3184.0,40.821,0.186,26.492,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,greenda02,2019,31.0,0.9811320754716981,0.9811320754716981,2900.0,27.885,0.128,15.346,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,smithcr01,2011,27.0,0.5853658536585366,0.0,586.0,12.208,0.123,15.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,azubuke01,2007,23.0,0.5053763440860215,0.0967741935483871,684.0,14.553,0.086,13.741,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,butleca01,2015,34.0,0.9512195121951219,0.25609756097560976,1623.0,20.808,0.071,9.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,magloja01,2011,32.0,0.20388349514563106,0.0,176.0,8.381,0.182,13.714,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,perkike01,2007,22.0,0.8780487804878049,0.6463414634146342,1576.0,21.889,0.043,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
