ID,season,salary_cap_perc,age,games_played_perc,games_started_perc,minutes_played,avg_minutes_played,WS48,PER,team_won_finals,team_lost_finals,team_lost_semifinals,team_lost_first_match,most_improved,most_valuable,most_valuable_finals,sixth_man,all_league
fosteje01,2003,0.091,26.0,0.9431818181818182,0.022727272727272728,840.0,10.12,0.096,13.004,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
robincl02,2003,0.107,36.0,0.98989898989899,0.8686868686868687,3350.0,34.184,0.075,14.091,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
odomla01,2003,0.227,23.0,0.5975609756097561,0.573170731707317,1679.0,34.265,0.063,14.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
poseyja01,2003,0.112,26.0,1.0,0.8658536585365854,2518.0,30.337,0.103,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
howarju01,2003,0.112,29.0,0.9390243902439024,0.9390243902439024,2730.0,35.455,0.105,17.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
smithjo02,2003,0.124,27.0,0.6704545454545454,0.25,1157.0,19.61,0.129,14.586,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
maggeco01,2003,0.16,23.0,0.7804878048780488,0.6951219512195121,2006.0,31.344,0.12,17.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hamilri01,2003,0.148,24.0,1.0,1.0,3299.0,33.323,0.133,22.894,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
evansre01,2003,0.016,22.0,0.8170731707317073,0.7317073170731707,1365.0,20.373,0.105,10.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
paytoga01,2003,0.112,34.0,0.9772727272727273,0.9772727272727273,3459.0,40.221,0.136,22.399,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
richaqu01,2003,0.041,22.0,0.7195121951219512,0.15853658536585366,1368.0,23.186,0.035,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alstora01,2003,0.016,26.0,0.573170731707317,0.04878048780487805,980.0,20.851,0.059,14.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bellra01,2003,0.016,26.0,0.9019607843137255,0.38235294117647056,1478.0,16.065,0.07,11.514,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
kiddja01,2003,0.3,29.0,0.9803921568627451,0.9803921568627451,3841.0,38.41,0.181,27.673,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
jacksst02,2003,0.023,24.0,0.9811320754716981,0.7735849056603774,3065.0,29.471,0.102,18.818,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
millebr01,2003,0.16,26.0,0.8977272727272727,0.8863636363636364,2405.0,30.443,0.203,20.257,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
artesro01,2003,0.125,23.0,0.8522727272727273,0.8295454545454546,2569.0,34.253,0.149,19.34,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
millean02,2003,0.182,26.0,0.975609756097561,0.975609756097561,2913.0,36.412,0.076,15.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
onealsh01,2003,0.565,30.0,0.8404255319148937,0.8297872340425532,3016.0,38.177,0.25,35.306,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
mariosh01,2003,0.25,24.0,0.9886363636363636,0.9886363636363636,3655.0,42.011,0.185,22.654,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
pippesc01,2003,0.112,37.0,0.7640449438202247,0.6629213483146067,1986.0,29.206,0.095,15.673,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
arroyca01,2003,0.018,23.0,0.5402298850574713,0.0,314.0,6.681,0.05,15.426,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
anderch01,2003,0.015,24.0,0.7195121951219512,0.036585365853658534,907.0,15.373,0.058,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brandel01,2003,0.25,23.0,0.7560975609756098,0.7439024390243902,2454.0,39.581,0.149,21.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
davisba01,2003,0.25,23.0,0.625,0.5909090909090909,2083.0,37.873,0.114,19.077,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
houseed01,2003,0.017,24.0,0.6707317073170732,0.08536585365853659,1025.0,18.636,0.033,12.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
duncati01,2003,0.289,26.0,0.9905660377358491,0.9905660377358491,4202.0,40.019,0.249,36.015,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
arenagi01,2003,0.195,21.0,1.0,1.0,2866.0,34.951,0.109,18.6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
boozeca01,2004,0.25,22.0,0.9146341463414634,0.9146341463414634,2592.0,34.56,0.174,20.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mcdyean01,2004,0.112,29.0,0.5121951219512195,0.24390243902439024,927.0,22.071,0.062,12.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
okurme01,2004,0.171,24.0,0.8857142857142857,0.3142857142857143,1832.0,19.699,0.179,20.645,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cambyma01,2004,0.194,29.0,0.8850574712643678,0.8850574712643678,2356.0,30.597,0.153,19.334,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
dampier01,2004,0.176,28.0,0.9024390243902439,0.9024390243902439,2403.0,32.473,0.178,20.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
martike01,2004,0.216,26.0,0.8172043010752689,0.7849462365591398,2661.0,35.013,0.143,22.514,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
wallara01,2004,0.222,29.0,0.8666666666666667,0.8476190476190476,3193.0,35.088,0.125,22.941,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fishede01,2004,0.112,29.0,1.0,0.028846153846153848,2276.0,21.885,0.065,15.312,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cardibr01,2004,0.112,26.0,0.926829268292683,0.13414634146341464,1634.0,21.5,0.212,19.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
doolike01,2004,0.017,23.0,0.7073170731707317,0.2926829268292683,1137.0,19.603,0.013,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
thomaet01,2004,0.112,25.0,0.9634146341463414,0.18292682926829268,1901.0,24.063,0.114,16.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stevede01,2004,0.057,22.0,0.975609756097561,0.9512195121951219,2444.0,30.55,0.029,11.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kukocto01,2004,0.068,35.0,0.896551724137931,0.0,1627.0,20.859,0.098,17.073,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
crawfja01,2004,0.131,23.0,0.975609756097561,0.8902439024390244,2811.0,35.138,0.07,15.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
przybjo01,2004,0.034,24.0,0.2073170731707317,0.14634146341463414,347.0,20.412,0.014,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
paytoga01,2004,0.123,35.0,1.0,1.0,3597.0,34.587,0.138,20.333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pargoja01,2004,0.016,24.0,0.3780487804878049,0.012195121951219513,479.0,15.452,0.01,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
richaqu01,2004,0.132,23.0,0.7926829268292683,0.7804878048780488,2338.0,35.969,0.049,15.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alstora01,2004,0.08,27.0,1.0,0.29473684210526313,2876.0,30.274,0.11,14.843,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
nashst01,2004,0.199,29.0,0.9540229885057471,0.9540229885057471,2809.0,33.843,0.162,21.669,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
jacksst02,2004,0.116,25.0,0.975609756097561,0.9512195121951219,2940.0,36.75,0.072,16.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
barrybr01,2004,0.097,32.0,0.7195121951219512,0.6463414634146342,1803.0,30.559,0.152,18.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
thomaku01,2004,0.134,31.0,0.9767441860465116,0.9186046511627907,2687.0,31.988,0.094,14.891,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
bryanko01,2004,0.323,25.0,0.8365384615384616,0.8269230769230769,3420.0,39.31,0.21,32.05,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
butlera01,2004,0.027,24.0,0.5789473684210527,0.0,733.0,13.327,0.114,14.859,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
millemi01,2004,0.137,23.0,0.8023255813953488,0.8023255813953488,1868.0,27.072,0.106,15.404,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
arroyca01,2004,0.091,24.0,0.8658536585365854,0.8658536585365854,2008.0,28.282,0.112,16.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
anderch01,2004,0.036,25.0,0.8735632183908046,0.0,1063.0,13.987,0.112,14.849,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
mournal01,2004,0.123,33.0,0.14634146341463414,0.0,215.0,17.917,0.134,13.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
garneke01,2004,0.365,27.0,1.0,1.0,4014.0,40.14,0.272,35.458,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
daniema01,2004,0.112,23.0,0.7011494252873564,0.22988505747126436,1223.0,20.049,0.148,22.756,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ginobma01,2004,0.151,26.0,0.9456521739130435,0.41304347826086957,2540.0,29.195,0.193,21.25,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
houseed01,2004,0.032,25.0,0.7317073170731707,0.12195121951219512,1188.0,19.8,0.028,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
haywobr01,2005,0.081,25.0,0.8478260869565217,0.8478260869565217,2161.0,27.705,0.134,19.484,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
jefferi01,2005,0.206,24.0,0.43023255813953487,0.3953488372093023,1495.0,40.405,0.085,17.871,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
gasolpa01,2005,0.222,24.0,0.6976744186046512,0.6627906976744186,1923.0,32.05,0.182,24.179,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
iversal01,2005,0.332,29.0,0.9195402298850575,0.9195402298850575,3412.0,42.65,0.136,24.97,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
brownkw01,2005,0.152,22.0,0.4891304347826087,0.15217391304347827,968.0,21.511,0.032,11.034,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scalabr01,2005,0.052,26.0,0.6744186046511628,0.19767441860465115,1228.0,21.172,0.058,11.078,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
blakest01,2005,0.02,24.0,0.5217391304347826,0.010869565217391304,665.0,13.854,0.022,8.376,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
allenma01,2005,0.034,26.0,0.43902439024390244,0.012195121951219513,519.0,14.417,0.102,14.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
robincl02,2005,0.051,38.0,0.872093023255814,0.3372093023255814,1760.0,23.467,0.048,10.8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
parketo01,2005,0.17,22.0,0.9809523809523809,0.9809523809523809,3593.0,34.883,0.142,21.765,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
richaja01,2005,0.18,24.0,0.8780487804878049,0.8780487804878049,2724.0,37.833,0.1,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wallage01,2005,0.101,22.0,0.8536585365853658,0.8292682926829268,2147.0,30.671,0.054,14.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
johnsjo02,2005,0.242,23.0,0.9381443298969072,0.9381443298969072,3595.0,39.505,0.113,17.116,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
finlemi01,2005,0.376,31.0,0.8105263157894737,0.8105263157894737,2849.0,37.0,0.112,16.903,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
marbust01,2005,0.332,27.0,1.0,1.0,3281.0,40.012,0.171,21.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chandty01,2005,0.182,22.0,0.9772727272727273,0.11363636363636363,2361.0,27.453,0.182,17.909,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
tinslja01,2005,0.109,26.0,0.5157894736842106,0.5157894736842106,1548.0,31.592,0.103,20.423,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
randoza01,2005,0.215,23.0,0.5609756097560976,0.45121951219512196,1603.0,34.848,0.093,18.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
watsoea01,2005,0.101,25.0,0.9767441860465116,0.16279069767441862,1882.0,22.405,0.061,13.587,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
curryed01,2005,0.149,22.0,0.7682926829268293,0.7317073170731707,1808.0,28.698,0.114,16.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ratlith01,2005,0.236,31.0,0.7682926829268293,0.5487804878048781,1731.0,27.476,0.064,10.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jonesja02,2005,0.048,24.0,0.9263157894736842,0.25263157894736843,1544.0,17.545,0.09,12.238,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
duhonch01,2005,0.057,22.0,1.0,0.8863636363636364,2336.0,26.545,0.09,10.333,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
hasleud01,2005,0.101,24.0,0.979381443298969,0.979381443298969,3218.0,33.874,0.165,17.936,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
doolike01,2005,0.063,24.0,0.9175257731958762,0.0,1448.0,16.27,0.061,12.932,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
hughela01,2005,0.209,26.0,0.7717391304347826,0.7717391304347826,2759.0,38.859,0.157,24.423,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
walkean02,2005,0.139,28.0,0.9325842696629213,0.9325842696629213,3179.0,38.301,0.015,16.539,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
kukocto01,2005,0.04,36.0,0.6463414634146342,0.07317073170731707,1099.0,20.736,0.066,12.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wilkida02,2005,0.051,25.0,0.3870967741935484,0.07526881720430108,656.0,18.222,0.092,16.042,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
evansre01,2005,0.022,24.0,0.967741935483871,0.967741935483871,2089.0,23.211,0.097,14.15,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
pachuza01,2005,0.081,20.0,0.9024390243902439,0.04878048780487805,1397.0,18.878,0.1,14.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gadzuda01,2005,0.096,26.0,0.9878048780487805,0.9878048780487805,1783.0,22.012,0.14,18.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
collija04,2005,0.111,26.0,0.9767441860465116,0.9767441860465116,2670.0,31.786,0.074,8.615,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
kaponja01,2005,0.022,23.0,0.9878048780487805,0.17073170731707318,1491.0,18.407,0.042,11.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
paytoga01,2005,0.023,36.0,0.9438202247191011,0.9438202247191011,2780.0,33.095,0.102,16.313,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
allenra02,2005,0.267,29.0,0.956989247311828,0.956989247311828,3500.0,39.326,0.168,24.244,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
pargoja01,2005,0.018,25.0,0.42045454545454547,0.0,529.0,14.297,0.021,13.096,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
murphtr01,2005,0.149,24.0,0.8536585365853658,0.8414634146341463,2375.0,33.929,0.107,16.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bellra01,2005,0.086,28.0,0.7682926829268293,0.3902439024390244,1790.0,28.413,0.059,12.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bonnema01,2005,0.04,24.0,1.0,0.0,1553.0,18.939,0.13,14.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ilgauzy01,2005,0.177,29.0,0.9512195121951219,0.9512195121951219,2615.0,33.526,0.149,19.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dalemsa01,2005,0.171,23.0,0.8850574712643678,0.7471264367816092,1977.0,25.675,0.105,15.884,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
thomaku01,2005,0.134,32.0,0.975609756097561,0.975609756097561,2855.0,35.688,0.087,14.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
waltolu01,2005,0.025,24.0,0.7439024390243902,0.06097560975609756,768.0,12.59,0.031,11.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
boganke01,2005,0.018,24.0,0.9024390243902439,0.5121951219512195,1791.0,24.203,0.003,10.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
onealsh01,2005,0.404,32.0,0.8865979381443299,0.8865979381443299,2923.0,33.988,0.212,30.13,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
battish01,2005,0.099,26.0,0.9767441860465116,0.8837209302325582,2635.0,31.369,0.149,15.278,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
