Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Los Angeles Lakers,23,5520,859,1867,.460,157,476,.330,702,1391,.505,450,597,.754,294,693,987,452,154,143,287,534,2325
2,Boston Celtics,24,5785,823,1816,.453,139,383,.363,684,1433,.477,468,620,.755,212,727,939,507,192,110,334,590,2253
3,Phoenix Suns,16,3840,608,1274,.477,150,391,.384,458,883,.519,348,450,.773,171,471,642,333,94,66,201,358,1714
4,Orlando Magic,14,3385,459,991,.463,138,377,.366,321,614,.523,296,422,.701,130,435,565,236,90,77,192,313,1352
5,Cleveland Cavaliers,11,2640,384,819,.469,79,227,.348,305,592,.515,255,344,.741,95,342,437,232,67,73,164,241,1102
6,Utah Jazz,10,2400,381,795,.479,65,174,.374,316,621,.509,244,335,.728,109,287,396,238,59,44,132,270,1071
7,Atlanta Hawks,11,2640,372,876,.425,50,150,.333,322,726,.444,190,242,.785,143,296,439,180,70,56,129,233,984
8,San Antonio Spurs,10,2400,364,785,.464,48,142,.338,316,643,.491,185,266,.695,101,310,411,192,68,43,127,210,961
9,Denver Nuggets,6,1440,224,471,.476,39,109,.358,185,362,.511,169,221,.765,62,176,238,115,49,28,82,185,656
10,Milwaukee Bucks,7,1680,236,557,.424,46,149,.309,190,408,.466,112,139,.806,78,196,274,114,44,23,87,147,630
11,Oklahoma City Thunder,6,1440,184,471,.391,33,111,.297,151,360,.419,162,194,.835,70,190,260,97,39,37,75,137,563
12,Portland Trail Blazers,6,1440,198,461,.430,38,100,.380,160,361,.443,124,168,.738,65,159,224,117,36,26,66,139,558
13,Dallas Mavericks,6,1440,204,476,.429,38,116,.328,166,360,.461,111,140,.793,72,191,263,111,45,30,78,135,557
14,Chicago Bulls,5,1200,189,431,.439,16,54,.296,173,377,.459,91,114,.798,54,151,205,95,29,15,50,107,485
15,Miami Heat,5,1200,168,386,.435,34,91,.374,134,295,.454,68,93,.731,47,141,188,88,35,25,89,114,438
16,Charlotte Bobcats,4,960,125,282,.443,19,68,.279,106,214,.495,73,102,.716,34,112,146,81,22,18,62,107,342
,League Average,10,2463,361,797,.453,68,195,.349,293,603,.486,209,278,.752,109,305,413,199,68,51,135,239,999
