Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Miami Heat,23,5545,914,1997,.458,294,774,.380,620,1223,.507,370,455,.813,212,714,926,542,161,82,269,462,2492
2,Denver Nuggets,20,4825,845,1719,.492,225,600,.375,620,1119,.554,354,442,.801,201,694,895,515,137,84,232,385,2269
3,Boston Celtics,20,4825,817,1710,.478,281,773,.364,536,937,.572,324,400,.810,189,672,861,483,120,127,248,343,2239
4,Los Angeles Lakers,16,3865,657,1394,.471,162,484,.335,495,910,.544,321,397,.809,145,569,714,399,109,102,191,279,1797
5,Golden State Warriors,13,3120,545,1217,.448,188,553,.340,357,664,.538,192,256,.750,163,449,612,366,94,60,187,298,1470
6,Phoenix Suns,11,2640,474,955,.496,103,284,.363,371,671,.553,205,257,.798,101,339,440,270,69,62,133,242,1256
7,Philadelphia 76ers,11,2665,404,924,.437,134,373,.359,270,551,.490,186,210,.886,110,363,473,210,84,58,136,206,1128
8,New York Knicks,11,2640,388,896,.433,105,360,.292,283,536,.528,220,295,.746,142,357,499,206,77,49,161,214,1101
9,Sacramento Kings,7,1680,287,669,.429,85,278,.306,202,391,.517,137,180,.761,98,236,334,154,54,30,99,158,796
10,Atlanta Hawks,6,1440,264,578,.457,84,224,.375,180,354,.508,83,102,.814,73,190,263,147,46,29,77,98,695
11,Memphis Grizzlies,6,1465,230,572,.402,72,231,.312,158,341,.463,96,115,.835,79,200,279,140,40,21,78,123,628
12,Milwaukee Bucks,5,1225,220,463,.475,78,206,.379,142,257,.553,76,107,.710,51,171,222,134,33,18,72,94,594
13,Los Angeles Clippers,5,1200,204,443,.460,61,169,.361,143,274,.522,109,132,.826,59,141,200,108,33,21,70,115,578
14,Minnesota Timberwolves,5,1225,189,413,.458,56,161,.348,133,252,.528,93,121,.769,42,154,196,113,33,24,64,108,527
15,Cleveland Cavaliers,5,1200,176,392,.449,50,153,.327,126,239,.527,69,93,.742,46,140,186,110,34,20,79,102,471
16,Brooklyn Nets,4,960,136,309,.440,45,138,.326,91,171,.532,53,73,.726,23,117,140,89,21,15,49,62,370
17,Oklahoma City Thunder,0,,,,,,,,,,,,,,,,,,,,,,
18,New Orleans Pelicans,0,,,,,,,,,,,,,,,,,,,,,,
19,Chicago Bulls,0,,,,,,,,,,,,,,,,,,,,,,
20,Toronto Raptors,0,,,,,,,,,,,,,,,,,,,,,,
,League Average,8,2533,422,916,,126,360,,295,556,.532,181,227,,108,344,453,249,72,50,134,206,1151
