Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,San Antonio Spurs,20,4800,705,1535,.459,151,393,.384,554,1142,.485,352,486,.724,210,602,812,397,142,110,278,410,1913
2,Cleveland Cavaliers,20,4850,642,1526,.421,108,331,.326,534,1195,.447,384,521,.737,238,628,866,350,144,69,260,414,1776
3,Utah Jazz,17,4105,619,1350,.459,73,214,.341,546,1136,.481,353,471,.749,221,530,751,377,125,81,272,419,1664
4,Detroit Pistons,16,3890,523,1216,.430,93,266,.350,430,950,.453,323,421,.767,189,460,649,322,113,75,213,382,1462
5,Golden State Warriors,11,2665,402,893,.450,122,341,.358,280,552,.507,247,336,.735,126,295,421,189,113,60,164,293,1173
6,Phoenix Suns,11,2640,429,900,.477,78,206,.379,351,694,.506,209,268,.780,101,343,444,257,70,57,152,216,1145
7,New Jersey Nets,12,2880,391,880,.444,92,250,.368,299,630,.475,208,280,.743,103,375,478,276,76,35,193,254,1082
8,Chicago Bulls,10,2400,325,756,.430,59,166,.355,266,590,.451,215,295,.729,116,303,419,206,70,42,153,221,924
9,Houston Rockets,7,1680,208,507,.410,50,156,.321,158,351,.450,145,184,.788,69,222,291,127,49,29,104,135,611
10,Dallas Mavericks,6,1440,205,485,.423,42,133,.316,163,352,.463,139,180,.772,84,182,266,107,50,30,98,143,591
11,Toronto Raptors,6,1440,195,441,.442,32,87,.368,163,354,.460,123,153,.804,44,183,227,97,46,24,88,128,545
12,Los Angeles Lakers,5,1200,190,430,.442,32,99,.323,158,331,.477,78,108,.722,71,146,217,72,29,20,76,115,490
13,Denver Nuggets,5,1200,168,397,.423,23,72,.319,145,325,.446,82,105,.781,65,152,217,88,28,21,76,90,441
14,Washington Wizards,4,960,137,332,.413,25,82,.305,112,250,.448,67,87,.770,41,105,146,75,22,12,35,85,366
15,Miami Heat,4,960,133,299,.445,22,68,.324,111,231,.481,67,109,.615,32,113,145,71,25,21,59,101,355
16,Orlando Magic,4,960,138,289,.478,10,29,.345,128,260,.492,66,114,.579,45,116,161,72,17,14,59,97,352
,League Average,10,2379,338,765,.442,63,181,.350,275,584,.471,191,257,.743,110,297,407,193,70,44,143,219,931
