Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Los Angeles Lakers,23,5570,861,1852,.465,160,424,.377,701,1428,.491,473,633,.747,256,711,967,446,181,144,300,540,2355
2,Orlando Magic,24,5835,828,1810,.457,201,559,.360,627,1251,.501,470,651,.722,200,721,921,453,162,116,316,513,2327
3,Denver Nuggets,16,3840,596,1255,.475,129,337,.383,467,918,.509,406,535,.759,171,473,644,362,147,83,194,413,1727
4,Boston Celtics,14,3535,524,1177,.445,94,261,.360,430,916,.469,288,364,.791,152,453,605,321,109,69,191,340,1430
5,Cleveland Cavaliers,14,3385,487,1052,.463,93,277,.336,394,775,.508,299,403,.742,141,423,564,268,93,64,173,288,1366
6,Houston Rockets,13,3120,442,989,.447,86,262,.328,356,727,.490,219,285,.768,126,401,527,221,80,41,185,261,1189
7,Dallas Mavericks,10,2400,356,757,.470,73,206,.354,283,551,.514,231,284,.813,92,315,407,181,65,38,130,228,1016
8,Atlanta Hawks,11,2640,331,810,.409,67,193,.347,264,617,.428,195,262,.744,118,266,384,186,76,37,133,235,924
9,Chicago Bulls,7,1855,269,610,.441,51,135,.378,218,475,.459,169,209,.809,73,246,319,139,47,57,113,172,758
10,Miami Heat,7,1680,219,487,.450,50,140,.357,169,347,.487,129,158,.816,62,209,271,105,43,40,94,155,617
11,Philadelphia 76ers,6,1440,204,450,.453,35,95,.368,169,355,.476,88,124,.710,48,173,221,107,37,18,88,138,531
12,Portland Trail Blazers,6,1440,200,447,.447,33,85,.388,167,362,.461,90,118,.763,59,159,218,88,36,45,68,130,523
13,Utah Jazz,5,1200,175,405,.432,25,73,.342,150,332,.452,112,151,.742,66,147,213,127,49,17,73,119,487
14,San Antonio Spurs,5,1200,175,383,.457,29,88,.330,146,295,.495,73,103,.709,44,144,188,80,28,15,55,110,452
15,New Orleans Hornets,5,1200,139,351,.396,30,92,.326,109,259,.421,113,140,.807,46,139,185,79,33,13,92,124,421
16,Detroit Pistons,4,960,126,308,.409,12,49,.245,114,259,.440,48,58,.828,30,104,134,66,17,12,45,95,312
,League Average,11,2581,371,821,.451,73,205,.357,298,617,.483,213,280,.760,105,318,423,202,75,51,141,241,1027
