Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Cleveland Cavaliers,18,4320,737,1495,.493,256,610,.420,481,885,.544,362,472,.767,166,593,759,397,133,84,235,338,2092
2,Golden State Warriors,17,4080,730,1479,.494,216,559,.386,514,920,.559,352,432,.815,158,620,778,480,148,104,232,370,2028
3,Boston Celtics,18,4345,691,1513,.457,229,620,.369,462,893,.517,283,366,.773,170,513,683,485,139,74,242,374,1894
4,San Antonio Spurs,16,3890,640,1385,.462,137,391,.350,503,994,.506,296,383,.773,204,507,711,341,124,75,204,300,1713
5,Washington Wizards,13,3145,521,1139,.457,109,344,.317,412,795,.518,254,320,.794,145,414,559,296,103,86,179,299,1405
6,Houston Rockets,11,2665,410,935,.439,141,423,.333,269,512,.525,224,284,.789,109,363,472,215,85,51,154,230,1185
7,Utah Jazz,11,2640,392,862,.455,104,285,.365,288,577,.499,188,257,.732,74,356,430,217,81,35,133,232,1076
8,Toronto Raptors,10,2400,353,795,.444,78,235,.332,275,560,.491,183,225,.813,68,325,393,196,74,44,129,209,967
9,Los Angeles Clippers,7,1680,255,539,.473,57,164,.348,198,375,.528,117,168,.696,54,211,265,129,44,17,85,142,684
10,Atlanta Hawks,6,1440,225,507,.444,50,164,.305,175,343,.510,133,174,.764,68,198,266,134,36,20,96,128,633
11,Chicago Bulls,6,1440,218,495,.440,42,141,.298,176,354,.497,101,119,.849,75,205,280,120,43,31,92,110,579
12,Memphis Grizzlies,6,1465,208,463,.449,56,145,.386,152,318,.478,106,122,.869,46,167,213,113,31,15,68,133,578
13,Milwaukee Bucks,6,1440,209,469,.446,54,130,.415,155,339,.457,87,125,.696,49,179,228,127,49,30,80,128,559
14,Oklahoma City Thunder,5,1200,193,437,.442,42,135,.311,151,302,.500,93,135,.689,61,157,218,99,42,40,64,111,521
15,Indiana Pacers,4,960,162,348,.466,45,115,.391,117,233,.502,66,86,.767,47,121,168,90,32,15,53,91,435
16,Portland Trail Blazers,4,960,142,358,.397,44,136,.324,98,222,.441,78,97,.804,40,136,176,63,29,19,61,87,406
,League Average,10,2379,380,826,.460,104,287,.361,277,539,.513,183,235,.776,96,317,412,219,75,46,132,205,1047
