Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Golden State Warriors,24,5785,934,2055,.455,306,778,.393,628,1277,.492,411,559,.735,252,785,1037,583,191,131,336,527,2585
2,Cleveland Cavaliers,21,5040,805,1717,.469,258,635,.406,547,1082,.506,332,458,.725,225,684,909,446,163,89,262,412,2200
3,Oklahoma City Thunder,18,4320,688,1521,.452,149,448,.333,539,1073,.502,390,496,.786,225,620,845,369,139,97,250,366,1915
4,Toronto Raptors,20,4875,685,1628,.421,137,459,.298,548,1169,.469,361,490,.737,216,591,807,314,150,73,260,437,1868
5,Miami Heat,14,3435,516,1127,.458,96,268,.358,420,859,.489,228,298,.765,127,492,619,229,76,83,184,297,1356
6,Portland Trail Blazers,11,2665,408,980,.416,131,344,.381,277,636,.436,208,281,.740,142,382,524,237,68,43,144,258,1155
7,San Antonio Spurs,10,2400,387,825,.469,82,191,.429,305,634,.481,164,205,.800,79,316,395,213,91,70,116,182,1020
8,Atlanta Hawks,10,2425,366,848,.432,106,318,.333,260,530,.491,163,205,.795,89,354,443,226,75,76,144,202,1001
9,Indiana Pacers,7,1680,231,524,.441,57,149,.383,174,375,.464,137,167,.820,64,211,275,127,53,39,101,156,656
10,Charlotte Hornets,7,1680,223,563,.396,40,130,.308,183,433,.423,146,174,.839,50,208,258,95,40,23,66,122,632
11,Los Angeles Clippers,6,1440,223,510,.437,34,117,.291,189,393,.481,110,176,.625,68,209,277,109,51,28,58,123,590
12,Boston Celtics,6,1465,206,537,.384,52,189,.275,154,348,.443,99,126,.786,64,212,276,126,38,39,88,132,563
13,Dallas Mavericks,5,1200,177,406,.436,31,107,.290,146,299,.488,84,121,.694,46,129,175,103,30,12,59,120,469
14,Houston Rockets,5,1200,165,428,.386,38,142,.268,127,286,.444,88,137,.642,72,165,237,90,42,21,95,128,456
15,Detroit Pistons,4,960,144,301,.478,35,93,.376,109,208,.524,57,88,.648,28,123,151,87,21,13,42,76,380
16,Memphis Grizzlies,4,960,128,325,.394,19,64,.297,109,261,.418,49,70,.700,55,109,164,66,31,16,62,86,324
,League Average,11,2596,393,893,.440,98,277,.354,295,616,.478,189,253,.747,113,349,462,214,79,53,142,227,1073
